metric,value,note
games graded,285,
home teams SU,152-132-1 (53.5%),
closing favourites SU,187-97-1 (65.8%),
home teams ATS,144-140-1 (50.7%),
closing favourites ATS,138-146-1 (48.6%),
dogs of 7+ ATS,44-40 (52.4%),n=84
overs,148-137 (51.9%),
spread MAE (pts),9.67,average miss of the closing spread vs actual margin
spread bias (pts),0.61,positive = home teams beat the number on average
total MAE (pts),10.42,
total bias (pts),1.08,
median |spread|,4.5,
games with moneyline,285,
average hold (vig),4.28%,book's built-in margin on the two-way moneyline
closing ML Brier,0.2104,
closing ML predicted home win rate,54.2%,
closing ML actual home win rate,53.3%,
