feature,gain
opp_roll_OppScore,16.006589889526367
roll_TD_p,11.57800006866455
roll_ANY/A_p,10.427499771118164
opp_roll_ANY/A_p,10.004599571228027
roll_Att_r,9.429059982299805
opp_roll_Rate_p,9.031889915466309
roll_TeamScore,8.711709976196289
opp_roll_Sk_p,8.086190223693848
opp_roll_3DAtt_dn,6.896870136260986
roll_Y/A_r,5.5683698654174805
roll_Rate_p,5.402029991149902
roll_OppScore,3.8724899291992188
opp_roll_TeamScore,1.0972199440002441
Over/Under_vg,0.0
Spread_vg,0.0
qb_change,0.0
div_game,0.0
wind,0.0
temp,0.0
total_line,0.0
