feature,gain
Spread_vg,1553.8322069644928
roll_QBKD_ad,259.01769483089447
opp_roll_3D%_dn,257.571666456759
Over/Under_vg,246.40605115890503
roll_3D%_dn,246.22393181920052
opp_roll_QBKD_ad,231.77430939674377
roll_TeamScore,203.17969691753387
roll_Y/A_r,198.7630201280117
opp_roll_TeamScore,194.03188870847225
opp_roll_Cmp%_p,187.69412982463837
roll_OppScore,186.58122992515564
opp_roll_OppScore,177.31183210015297
roll_Hrry_ad,151.91175043582916
opp_roll_Rate_p,147.70520055294037
roll_TD_r,139.41601967811584
roll_Yds_p,137.60310995578766
opp_roll_TD_r,134.7984877228737
opp_roll_Yds_r,133.66472113132477
roll_Yds_r,126.78533244132996
opp_roll_Att_r,124.53300945460796
