model,n,accuracy,log_loss,brier,auc,top3_hit,top3_conf,weeks_swept,model_kind,n_features,features
logistic/top5,3018,0.6617,0.6146,0.213,0.7164,0.7881,0.7872,0.5254,logistic,5,spread_line|market_home_prob|elo_diff|roll_margin_diff|elo_vs_spread
logistic/top8,3018,0.6643,0.6144,0.213,0.7163,0.7881,0.7883,0.5169,logistic,8,spread_line|market_home_prob|elo_diff|roll_margin_diff|elo_vs_spread|elo_spread|away_roll_pf|home_roll_margin
logistic/top10,3018,0.6647,0.614,0.2128,0.7168,0.7822,0.7885,0.5042,logistic,10,spread_line|market_home_prob|elo_diff|roll_margin_diff|elo_vs_spread|elo_spread|away_roll_pf|home_roll_margin|elo_home_prob|away_ppg_diff_std
logistic/top12,3018,0.663,0.6142,0.2128,0.7163,0.7807,0.788,0.5085,logistic,12,spread_line|market_home_prob|elo_diff|roll_margin_diff|elo_vs_spread|elo_spread|away_roll_pf|home_roll_margin|elo_home_prob|away_ppg_diff_std|travel_miles|home_roll_total_vs_line
logistic/top15,3018,0.661,0.6144,0.2129,0.7167,0.7837,0.7894,0.5127,logistic,15,spread_line|market_home_prob|elo_diff|roll_margin_diff|elo_vs_spread|elo_spread|away_roll_pf|home_roll_margin|elo_home_prob|away_ppg_diff_std|travel_miles|home_roll_total_vs_line|total_line|market_vig|away_roll_total_vs_line
logistic/full45,3018,0.6567,0.6178,0.2144,0.7118,0.7689,0.7828,0.4915,logistic,45,spread_line|total_line|market_home_prob|market_vig|elo_diff|elo_home_prob|elo_spread|elo_vs_spread|home_roll_margin|away_roll_margin|roll_margin_diff|home_roll_pf|away_roll_pf|home_roll_pa|away_roll_pa|home_roll_ats|away_roll_ats|roll_ats_diff|home_roll_total_vs_line|away_roll_total_vs_line|home_std_margin|away_std_margin|home_winpct_std|away_winpct_std|winpct_diff|home_ppg_diff_std|away_ppg_diff_std|week|home_rest|away_rest|rest_diff|home_short_week|away_short_week|home_off_bye|away_off_bye|div_game|is_neutral|is_primetime|is_playoff|travel_miles|indoor|temp|wind|home_qb_change|away_qb_change
rf/top5,3018,0.6421,0.6298,0.2198,0.6923,0.7719,0.775,0.4703,rf,5,spread_line|market_home_prob|elo_diff|roll_margin_diff|elo_vs_spread
rf/top8,3018,0.6511,0.6254,0.2178,0.7004,0.7822,0.7787,0.5127,rf,8,spread_line|market_home_prob|elo_diff|roll_margin_diff|elo_vs_spread|elo_spread|away_roll_pf|home_roll_margin
rf/top10,3018,0.6547,0.6264,0.2181,0.6998,0.7733,0.7766,0.4915,rf,10,spread_line|market_home_prob|elo_diff|roll_margin_diff|elo_vs_spread|elo_spread|away_roll_pf|home_roll_margin|elo_home_prob|away_ppg_diff_std
rf/top12,3018,0.6534,0.624,0.2172,0.7022,0.7763,0.7815,0.4788,rf,12,spread_line|market_home_prob|elo_diff|roll_margin_diff|elo_vs_spread|elo_spread|away_roll_pf|home_roll_margin|elo_home_prob|away_ppg_diff_std|travel_miles|home_roll_total_vs_line
rf/top15,3018,0.6521,0.624,0.2171,0.7027,0.7763,0.7817,0.5085,rf,15,spread_line|market_home_prob|elo_diff|roll_margin_diff|elo_vs_spread|elo_spread|away_roll_pf|home_roll_margin|elo_home_prob|away_ppg_diff_std|travel_miles|home_roll_total_vs_line|total_line|market_vig|away_roll_total_vs_line
rf/full45,3018,0.66,0.6225,0.2164,0.7053,0.7807,0.7819,0.5127,rf,45,spread_line|total_line|market_home_prob|market_vig|elo_diff|elo_home_prob|elo_spread|elo_vs_spread|home_roll_margin|away_roll_margin|roll_margin_diff|home_roll_pf|away_roll_pf|home_roll_pa|away_roll_pa|home_roll_ats|away_roll_ats|roll_ats_diff|home_roll_total_vs_line|away_roll_total_vs_line|home_std_margin|away_std_margin|home_winpct_std|away_winpct_std|winpct_diff|home_ppg_diff_std|away_ppg_diff_std|week|home_rest|away_rest|rest_diff|home_short_week|away_short_week|home_off_bye|away_off_bye|div_game|is_neutral|is_primetime|is_playoff|travel_miles|indoor|temp|wind|home_qb_change|away_qb_change
extratrees/top5,3018,0.662,0.6182,0.2146,0.7104,0.7881,0.7798,0.5212,extratrees,5,spread_line|market_home_prob|elo_diff|roll_margin_diff|elo_vs_spread
extratrees/top8,3018,0.6624,0.6169,0.2141,0.7127,0.7881,0.7789,0.5169,extratrees,8,spread_line|market_home_prob|elo_diff|roll_margin_diff|elo_vs_spread|elo_spread|away_roll_pf|home_roll_margin
extratrees/top10,3018,0.6604,0.6193,0.2151,0.7094,0.7852,0.7822,0.5085,extratrees,10,spread_line|market_home_prob|elo_diff|roll_margin_diff|elo_vs_spread|elo_spread|away_roll_pf|home_roll_margin|elo_home_prob|away_ppg_diff_std
extratrees/top12,3018,0.6643,0.6181,0.2146,0.7113,0.7837,0.7834,0.5042,extratrees,12,spread_line|market_home_prob|elo_diff|roll_margin_diff|elo_vs_spread|elo_spread|away_roll_pf|home_roll_margin|elo_home_prob|away_ppg_diff_std|travel_miles|home_roll_total_vs_line
extratrees/top15,3018,0.6604,0.6181,0.2145,0.7115,0.7807,0.7811,0.5,extratrees,15,spread_line|market_home_prob|elo_diff|roll_margin_diff|elo_vs_spread|elo_spread|away_roll_pf|home_roll_margin|elo_home_prob|away_ppg_diff_std|travel_miles|home_roll_total_vs_line|total_line|market_vig|away_roll_total_vs_line
extratrees/full45,3018,0.6604,0.6205,0.2157,0.7083,0.7837,0.7783,0.5127,extratrees,45,spread_line|total_line|market_home_prob|market_vig|elo_diff|elo_home_prob|elo_spread|elo_vs_spread|home_roll_margin|away_roll_margin|roll_margin_diff|home_roll_pf|away_roll_pf|home_roll_pa|away_roll_pa|home_roll_ats|away_roll_ats|roll_ats_diff|home_roll_total_vs_line|away_roll_total_vs_line|home_std_margin|away_std_margin|home_winpct_std|away_winpct_std|winpct_diff|home_ppg_diff_std|away_ppg_diff_std|week|home_rest|away_rest|rest_diff|home_short_week|away_short_week|home_off_bye|away_off_bye|div_game|is_neutral|is_primetime|is_playoff|travel_miles|indoor|temp|wind|home_qb_change|away_qb_change
xgb/top5,3018,0.6541,0.6241,0.2172,0.7018,0.7852,0.7765,0.5254,xgb,5,spread_line|market_home_prob|elo_diff|roll_margin_diff|elo_vs_spread
xgb/top8,3018,0.6488,0.6234,0.2169,0.7035,0.7733,0.7755,0.5,xgb,8,spread_line|market_home_prob|elo_diff|roll_margin_diff|elo_vs_spread|elo_spread|away_roll_pf|home_roll_margin
xgb/top10,3018,0.6488,0.6241,0.2172,0.703,0.7793,0.775,0.5254,xgb,10,spread_line|market_home_prob|elo_diff|roll_margin_diff|elo_vs_spread|elo_spread|away_roll_pf|home_roll_margin|elo_home_prob|away_ppg_diff_std
xgb/top12,3018,0.6557,0.6248,0.2174,0.7027,0.7733,0.7769,0.5127,xgb,12,spread_line|market_home_prob|elo_diff|roll_margin_diff|elo_vs_spread|elo_spread|away_roll_pf|home_roll_margin|elo_home_prob|away_ppg_diff_std|travel_miles|home_roll_total_vs_line
xgb/top15,3018,0.6521,0.6242,0.2172,0.7028,0.76,0.7782,0.4831,xgb,15,spread_line|market_home_prob|elo_diff|roll_margin_diff|elo_vs_spread|elo_spread|away_roll_pf|home_roll_margin|elo_home_prob|away_ppg_diff_std|travel_miles|home_roll_total_vs_line|total_line|market_vig|away_roll_total_vs_line
xgb/full45,3018,0.6441,0.6272,0.2186,0.6973,0.7644,0.776,0.4788,xgb,45,spread_line|total_line|market_home_prob|market_vig|elo_diff|elo_home_prob|elo_spread|elo_vs_spread|home_roll_margin|away_roll_margin|roll_margin_diff|home_roll_pf|away_roll_pf|home_roll_pa|away_roll_pa|home_roll_ats|away_roll_ats|roll_ats_diff|home_roll_total_vs_line|away_roll_total_vs_line|home_std_margin|away_std_margin|home_winpct_std|away_winpct_std|winpct_diff|home_ppg_diff_std|away_ppg_diff_std|week|home_rest|away_rest|rest_diff|home_short_week|away_short_week|home_off_bye|away_off_bye|div_game|is_neutral|is_primetime|is_playoff|travel_miles|indoor|temp|wind|home_qb_change|away_qb_change
lgbm/top5,3018,0.6349,0.6336,0.2215,0.6871,0.7585,0.7675,0.4492,lgbm,5,spread_line|market_home_prob|elo_diff|roll_margin_diff|elo_vs_spread
