model,n,accuracy,log_loss,brier,auc,top3_hit,top3_conf,weeks_swept,model_kind,n_features,features
logistic/exh8,1954,0.6663,0.6108,0.2115,0.7234,0.8138,0.7956,0.5789,logistic,1,spread_line
logistic/exh8,1954,0.6689,0.6124,0.2119,0.7228,0.8023,0.7865,0.5592,logistic,1,market_home_prob
logistic/exh8,1954,0.651,0.6391,0.2234,0.6901,0.7494,0.7536,0.4474,logistic,1,elo_diff
logistic/exh8,1954,0.6218,0.6505,0.2294,0.6647,0.7356,0.722,0.4342,logistic,1,roll_margin_diff
logistic/exh8,1954,0.5563,0.6813,0.2441,0.582,0.646,0.6199,0.2895,logistic,1,elo_vs_spread
logistic/exh8,1954,0.651,0.6391,0.2234,0.6901,0.7494,0.7536,0.4474,logistic,1,elo_spread
logistic/exh8,1954,0.5681,0.6788,0.2429,0.5943,0.6414,0.6372,0.2632,logistic,1,away_roll_pf
logistic/exh8,1954,0.5942,0.6673,0.2374,0.6217,0.6621,0.6789,0.3289,logistic,1,home_roll_margin
logistic/exh8,1954,0.6663,0.6111,0.2115,0.7237,0.8046,0.7932,0.5724,logistic,2,spread_line|market_home_prob
logistic/exh8,1954,0.6658,0.612,0.2119,0.7232,0.8069,0.7957,0.5592,logistic,2,spread_line|elo_diff
logistic/exh8,1954,0.6643,0.6111,0.2116,0.7232,0.8115,0.7953,0.5855,logistic,2,spread_line|roll_margin_diff
logistic/exh8,1954,0.6668,0.6112,0.2116,0.7236,0.8092,0.7957,0.5658,logistic,2,spread_line|elo_vs_spread
logistic/exh8,1954,0.6658,0.612,0.2119,0.7232,0.8069,0.7957,0.5592,logistic,2,spread_line|elo_spread
logistic/exh8,1954,0.6648,0.6109,0.2115,0.7235,0.8184,0.7948,0.5855,logistic,2,spread_line|away_roll_pf
logistic/exh8,1954,0.6668,0.6109,0.2115,0.7234,0.8092,0.7964,0.5724,logistic,2,spread_line|home_roll_margin
logistic/exh8,1954,0.6679,0.6136,0.2123,0.7218,0.7885,0.7882,0.5263,logistic,2,market_home_prob|elo_diff
logistic/exh8,1954,0.674,0.6125,0.212,0.7226,0.8023,0.7869,0.5592,logistic,2,market_home_prob|roll_margin_diff
logistic/exh8,1954,0.6699,0.6125,0.2119,0.7227,0.8023,0.7863,0.5526,logistic,2,market_home_prob|elo_vs_spread
logistic/exh8,1954,0.6679,0.6136,0.2123,0.7218,0.7885,0.7882,0.5263,logistic,2,market_home_prob|elo_spread
logistic/exh8,1954,0.6704,0.6124,0.2119,0.7225,0.8069,0.7857,0.5658,logistic,2,market_home_prob|away_roll_pf
logistic/exh8,1954,0.6704,0.6124,0.2119,0.7226,0.8069,0.7879,0.5658,logistic,2,market_home_prob|home_roll_margin
logistic/exh8,1954,0.6484,0.6357,0.222,0.6935,0.7333,0.7572,0.4539,logistic,2,elo_diff|roll_margin_diff
logistic/exh8,1954,0.6658,0.6115,0.2116,0.7236,0.8092,0.7956,0.5658,logistic,2,elo_diff|elo_vs_spread
logistic/exh8,1954,0.651,0.6391,0.2234,0.6901,0.7494,0.7538,0.4474,logistic,2,elo_diff|elo_spread
logistic/exh8,1954,0.6443,0.6381,0.2231,0.6909,0.7402,0.7535,0.4408,logistic,2,elo_diff|away_roll_pf
logistic/exh8,1954,0.651,0.6371,0.2226,0.6915,0.7494,0.7583,0.4474,logistic,2,elo_diff|home_roll_margin
logistic/exh8,1954,0.6366,0.6396,0.2245,0.6816,0.7678,0.7436,0.4934,logistic,2,roll_margin_diff|elo_vs_spread
logistic/exh8,1954,0.6484,0.6357,0.222,0.6935,0.7333,0.7572,0.4539,logistic,2,roll_margin_diff|elo_spread
logistic/exh8,1954,0.6203,0.6505,0.2294,0.665,0.7356,0.7206,0.4276,logistic,2,roll_margin_diff|away_roll_pf
logistic/exh8,1954,0.6269,0.65,0.2292,0.6651,0.7448,0.7244,0.4605,logistic,2,roll_margin_diff|home_roll_margin
