season,bets,wins,win_pct,units,roi
2010,174,80,0.45977011494252873,-21.27,-0.1223
2011,79,42,0.5316455696202531,1.18,0.015
2012,8,2,0.25,-4.18,-0.5227
2013,221,107,0.4841628959276018,-16.73,-0.0757
2014,261,127,0.48659003831417624,-18.55,-0.0711
2015,177,93,0.5254237288135594,0.55,0.0031
2016,179,84,0.4692737430167598,-18.64,-0.1041
2017,77,36,0.4675324675324675,-8.27,-0.1074
2018,8,2,0.25,-4.18,-0.5227
2019,205,118,0.5756097560975609,20.27,0.0989
2020,269,136,0.5055762081784386,-9.36,-0.0348
2021,49,28,0.5714285714285714,4.45,0.0909
2022,143,72,0.5034965034965035,-5.55,-0.0388
2023,142,66,0.4647887323943662,-16.0,-0.1127
2024,87,44,0.5057471264367817,-3.0,-0.0345
2025,131,64,0.48854961832061067,-8.82,-0.0673
ALL,2210,1101,0.4982,-108.1,-0.0489
