season,bets,wins,win_pct,units,roi
2010,160,65,0.40625,-35.91,-0.2244
2011,264,133,0.5037878787878788,-10.09,-0.0382
2012,80,31,0.3875,-20.82,-0.2602
2013,198,99,0.5,-9.0,-0.0455
2014,141,72,0.5106382978723404,-3.55,-0.0251
2015,190,96,0.5052631578947369,-6.73,-0.0354
2016,183,93,0.5081967213114754,-5.45,-0.0298
2017,171,75,0.43859649122807015,-27.82,-0.1627
2018,209,114,0.5454545454545454,8.64,0.0413
2019,260,130,0.5,-11.82,-0.0455
2020,135,62,0.45925925925925926,-16.64,-0.1232
2021,1,0,0.0,-1.0,-1.0
2022,255,144,0.5647058823529412,19.91,0.0781
2023,281,151,0.5373665480427047,7.27,0.0259
2024,218,103,0.4724770642201835,-21.36,-0.098
2025,265,138,0.5207547169811321,-1.55,-0.0058
ALL,3011,1506,0.5002,-135.92,-0.0451
