model,n,accuracy,log_loss,brier,auc,top3_hit,top3_conf,weeks_swept
logistic/top10,3018,0.6647,0.614,0.2128,0.7168,0.7822,0.7885,0.5042
logistic/top10+squad,3018,0.6634,0.6155,0.2134,0.7143,0.7867,0.7881,0.5339
logistic/full45,3018,0.6567,0.6178,0.2144,0.7118,0.7689,0.7828,0.4915
logistic/full45+squad,3018,0.6594,0.6196,0.2152,0.709,0.763,0.7815,0.4831
rf/top10,3018,0.6547,0.6264,0.2181,0.6998,0.7733,0.7766,0.4915
rf/top10+squad,3018,0.6567,0.6208,0.2157,0.7078,0.7896,0.7841,0.5042
rf/full45,3018,0.66,0.6225,0.2164,0.7053,0.7807,0.7819,0.5127
rf/full45+squad,3018,0.6571,0.6204,0.2154,0.7089,0.7852,0.7851,0.5212
extratrees/top10,3018,0.6604,0.6193,0.2151,0.7094,0.7852,0.7822,0.5085
extratrees/top10+squad,3018,0.6627,0.6178,0.2144,0.712,0.7911,0.7849,0.5127
extratrees/full45,3018,0.6604,0.6205,0.2157,0.7083,0.7837,0.7783,0.5127
extratrees/full45+squad,3018,0.6614,0.6198,0.2153,0.7097,0.7881,0.7801,0.5127
xgb/top10,3018,0.6488,0.6241,0.2172,0.703,0.7793,0.775,0.5254
xgb/top10+squad,3018,0.6541,0.6234,0.2168,0.7049,0.7793,0.78,0.4958
xgb/full45,3018,0.6441,0.6272,0.2186,0.6973,0.7644,0.776,0.4788
xgb/full45+squad,3018,0.6524,0.6256,0.2179,0.6995,0.7659,0.7766,0.4873
lgbm/top10,3018,0.6435,0.6324,0.221,0.6898,0.7733,0.7669,0.4958
lgbm/top10+squad,3018,0.6428,0.6311,0.2205,0.6916,0.7763,0.7716,0.4958
lgbm/full45,3018,0.6349,0.6339,0.2218,0.6855,0.7793,0.7671,0.5085
lgbm/full45+squad,3018,0.6428,0.6314,0.2207,0.6892,0.7719,0.772,0.5042
