model,n,accuracy,log_loss,brier,auc,top3_hit,top3_conf,weeks_swept
logistic/top10,3018,0.6647,0.614,0.2128,0.7168,0.7822,0.7885,0.5042
logistic/top10+squad,3018,0.6637,0.6156,0.2135,0.7141,0.7837,0.7878,0.5297
extratrees/top10,3018,0.6604,0.6193,0.2151,0.7094,0.7852,0.7822,0.5085
extratrees/top10+squad,3018,0.6594,0.6179,0.2145,0.7118,0.7881,0.7826,0.5127
rf/top10,3018,0.6547,0.6264,0.2181,0.6998,0.7733,0.7766,0.4915
rf/top10+squad,3018,0.6567,0.6203,0.2154,0.7094,0.7822,0.7853,0.5042
xgb/top10,3018,0.6488,0.6241,0.2172,0.703,0.7793,0.775,0.5254
xgb/top10+squad,3018,0.6567,0.6227,0.2166,0.7052,0.7896,0.7795,0.5169
lgbm/top10,3018,0.6435,0.6324,0.221,0.6898,0.7733,0.7669,0.4958
lgbm/top10+squad,3018,0.6441,0.6301,0.2202,0.6916,0.7719,0.7719,0.4831
