feature,perm_importance,perm_std,shap_mean_abs
spread_line,0.021514503744486536,0.0037190547348672225,0.23650827526474108
elo_vs_spread,0.012432714227911612,0.003964428730483605,0.1781265677511523
elo_spread,0.009612070417995134,0.002008138812269594,0.15091196962477674
elo_diff,0.009612070417995089,0.002008138812269578,0.15091196962477635
roll_margin_diff,0.008511822758080767,0.002312597670460218,0.11381803528304255
market_home_prob,0.004484059431314391,0.001292883742017806,0.09583243910120426
away_ppg_diff_std,0.0030579337060356983,0.0027399224127205844,0.10269433441115396
home_roll_pa,0.0030548926322509383,0.000907496787868004,0.058583699214819276
away_roll_pf,0.0030241381908103658,0.002565689247439328,0.10244052045267671
home_rest,0.0025767123227437793,0.001033043433618277,0.03779312488033928
home_roll_margin,0.0021784466938496783,0.0006051867347090085,0.04048962856626647
away_roll_total_vs_line,0.0017994701009959035,0.0019591708753197304,0.060133886351447965
away_roll_margin,0.0015193932506831986,0.0009888722648578382,0.053241686779605016
travel_miles,0.0010774529131559185,0.0006282127447975162,0.03577672076823959
away_roll_ats,0.0010041120076042965,0.0015157908796616226,0.07971596565918972
away_rest,0.000828843721418182,0.0010057690493167051,0.036176709725126086
week,0.0008084560995692102,0.0008268009838777195,0.043017011219164306
home_qb_change,0.0007349070553498982,0.0005499282282882534,0.022741476833906316
away_qb_change,0.0005057978803306385,0.00036085228685421214,0.012749329805690103
away_winpct_std,0.0004782810147821004,0.0003889522947393766,0.024360756810443626
elo_home_prob,0.00026571300635657157,0.0001648736673045295,0.013700705869616739
rest_diff,0.0002591805919908485,0.0001562989465768853,0.005454306593581039
market_vig,0.00013038866324487363,0.00011266874540962241,0.0887653126995778
wind,0.00010066918195147378,0.00013806071515361023,0.00606718585254976
home_roll_total_vs_line,7.967159022354009e-05,0.00042543802465723837,0.01990111227841298
indoor,4.883563652222644e-05,0.0010176346233023645,0.045382202338115116
home_roll_pf,2.2293428796749117e-05,1.4689912794236497e-05,0.0007388186778327661
total_line,8.941919358540495e-06,6.603787377652289e-05,0.00393963995081156
away_off_bye,7.60335092295783e-06,2.9622355458699335e-05,0.0011314319839900175
is_primetime,5.96779410390047e-06,6.4576370762202345e-06,0.00028901635232285255
temp,2.290664382642582e-06,4.851054661689325e-05,0.0015358450433216636
away_short_week,-0.00015535474675034688,0.000361468337976753,0.007342333675368283
home_short_week,-0.00019484109292586816,0.0003726472115566587,0.007211593124982866
div_game,-0.00021898045221878658,0.001313083752932894,0.059179256239575075
home_winpct_std,-0.00025852898248689414,7.688108316286606e-05,0.006808208113552485
away_roll_pa,-0.00035655545581295687,0.0005932346479271785,0.02491970894813776
home_std_margin,-0.0004576155097232526,0.0004649921426092423,0.027387614091123495
is_playoff,-0.0005248112117000492,0.0008997616904715674,0.016049236754634804
home_off_bye,-0.0005458790084970966,0.001366268174079419,0.05585529820267182
home_roll_ats,-0.0006444644723632709,0.0004512985191392594,0.02234388285688615
winpct_diff,-0.0007794199518661449,0.0002607890007357266,0.022504604865169916
roll_ats_diff,-0.000850126708575627,0.0016546805232447357,0.06949792539933367
home_ppg_diff_std,-0.000988705180318028,0.0006681475395695893,0.04971684811737641
away_std_margin,-0.0011377860480660917,0.0012550828465155027,0.04946894735951804
is_neutral,-0.002640322989614774,0.0011577268606068785,0.00924050397598325
