feature,perm_importance,perm_std,shap_mean_abs
market_home_prob,0.040844351053237915,0.004856990664912561,0.33904096
spread_line,0.02191140055656433,0.003939304668223713,0.2555145
roll_margin_diff,0.0030203163623809814,0.0014519103723863104,0.06456389
elo_diff,0.00256270170211792,0.0014624562025770053,0.08312587
total_line,0.0017991185188293457,0.0010420813746730051,0.054375153
travel_miles,0.0013770043849945068,0.001279867897414484,0.050635245
home_roll_total_vs_line,0.001268380880355835,0.001330933541606388,0.04379753
away_roll_pf,0.0005799949169158936,0.000909298529749488,0.04356622
away_roll_pa,0.0005574047565460206,0.0018232045111546578,0.051990926
away_roll_ats,0.0002257823944091797,0.0009064193239805025,0.048490107
home_rest,0.00016824007034301757,4.200433836182447e-05,0.001449802
home_qb_change,0.00013725161552429198,0.00014638996388487228,0.005759424
away_rest,7.535815238952636e-05,0.00010935994114064494,0.0036131507
elo_spread,7.033348083496094e-05,0.00018841947622412483,0.010714141
away_qb_change,4.743337631225586e-05,4.039787895719237e-05,0.0011658149
away_winpct_std,3.461837768554687e-05,0.0008552732607994467,0.029745948
away_short_week,0.0,0.0,0.0
home_off_bye,0.0,0.0,0.0
away_off_bye,0.0,0.0,0.0
home_short_week,0.0,0.0,0.0
is_neutral,0.0,0.0,0.0
is_playoff,0.0,0.0,0.0
is_primetime,-1.8477439880371094e-06,4.163323637819451e-05,0.0013631483
market_vig,-3.409385681152344e-06,1.2773006970856031e-05,0.05640428
week,-2.524256706237793e-05,0.00055285979039967,0.023367874
roll_ats_diff,-4.220008850097656e-05,0.0008136734604801341,0.03279327
indoor,-6.499290466308594e-05,7.4105638654708e-05,0.002284274
elo_home_prob,-0.00010572671890258789,0.0003901721347263165,0.01910307
rest_diff,-0.00015267133712768555,0.0001076545235375243,0.0036893284
temp,-0.00020028948783874513,0.0005005878262199378,0.018773379
home_roll_margin,-0.0003449678421020508,0.0009119962011025656,0.07827482
elo_vs_spread,-0.0003684043884277344,0.0018665732279365085,0.09863891
away_ppg_diff_std,-0.00040920376777648927,0.0009654164207734583,0.03465695
div_game,-0.00045993924140930176,0.0009304530166970288,0.036646415
away_roll_margin,-0.00048240423202514646,0.0007280336879816823,0.024271498
home_roll_pf,-0.0005137026309967041,0.0002855774606107483,0.011959805
home_ppg_diff_std,-0.0008106052875518799,0.0008730616687081227,0.036593035
home_winpct_std,-0.0008541703224182129,0.001168033892049836,0.05054762
away_roll_total_vs_line,-0.0011424481868743896,0.0015413179269165693,0.057320252
home_roll_pa,-0.0011831343173980713,0.0008665175642854936,0.038574025
home_std_margin,-0.0012488126754760741,0.0025558228707871153,0.06948182
home_roll_ats,-0.001852482557296753,0.0008341451024169852,0.025113968
away_std_margin,-0.0021586894989013674,0.0020683908798958474,0.048432585
wind,-0.0025810956954956054,0.0014211560728063205,0.027594743
winpct_diff,-0.002698361873626709,0.0010681869594379532,0.050177205
