uniform_rank,feature,rank_logistic,rank_rf,rank_extratrees,rank_xgb,rank_lgbm,avg_rank,avg_norm_score
1,spread_line,1.0,2.0,2.0,2.0,1.0,1.6,0.8560277994438291
2,market_home_prob,6.5,1.0,1.0,1.0,2.0,2.3,0.8473133169279808
3,elo_diff,2.75,4.5,4.5,3.0,4.5,3.85,0.35911889708422196
4,roll_margin_diff,5.0,6.5,6.0,6.0,6.5,6.0,0.21187842938925333
5,elo_vs_spread,4.0,8.0,12.0,7.0,20.5,10.3,0.2265316920727055
6,elo_spread,2.25,3.0,4.5,24.5,28.5,12.55,0.2791781284214493
7,elo_home_prob,17.5,4.5,3.0,27.0,15.0,13.4,0.2398027890212287
8,away_roll_pf,8.5,10.0,12.0,15.5,23.0,13.8,0.11011100245079246
9,away_ppg_diff_std,7.0,9.5,17.5,19.5,26.0,15.9,0.10301601834910087
10,total_line,34.5,13.5,22.0,8.0,9.0,17.4,0.06803424561423906
11,home_roll_total_vs_line,26.0,14.0,24.0,11.0,13.0,17.6,0.06498077174824284
12,travel_miles,19.0,22.0,27.5,11.0,10.5,18.0,0.06913952394770417
13,home_roll_margin,18.0,25.0,8.5,21.5,18.0,18.2,0.11879221570915463
14,away_roll_ats,14.5,18.5,29.0,14.0,19.0,19.0,0.06902610161506349
15,away_winpct_std,26.0,16.5,13.0,17.5,25.0,19.6,0.0540495792796251
16,market_vig,16.5,18.0,26.0,19.5,19.0,19.8,0.08620986264719241
17,away_roll_total_vs_line,13.0,28.5,29.0,23.5,8.5,20.5,0.08438387965634535
18,home_qb_change,24.0,23.5,7.5,22.0,26.0,20.6,0.04801907045155547
19,home_roll_pa,10.0,27.0,19.5,23.0,25.5,21.0,0.08781214108300583
20,home_ppg_diff_std,31.0,17.5,18.5,30.0,17.0,22.8,0.06622452930954008
21,away_roll_pa,30.5,25.5,24.5,8.0,25.5,22.8,0.06163815444124453
22,away_roll_margin,15.0,26.5,15.0,32.0,31.5,24.0,0.056652791521994296
23,div_game,23.0,29.5,24.0,22.0,22.5,24.2,0.05250682315922238
24,home_winpct_std,35.5,27.5,15.0,23.0,25.5,25.3,0.06400377231611724
25,home_roll_pf,35.0,16.5,13.5,31.5,30.5,25.4,0.033476723274785715
26,winpct_diff,34.0,26.0,11.0,29.0,28.0,25.6,0.06690454128293197
27,away_rest,19.5,25.5,37.0,23.0,23.0,25.6,0.029556300562670158
28,away_qb_change,27.0,28.5,16.5,26.5,30.5,25.8,0.02094272489913051
29,indoor,22.0,31.5,26.5,26.0,31.0,27.4,0.03059194782798273
30,home_std_margin,32.5,28.5,30.5,23.5,23.0,27.6,0.06926520789281407
31,week,19.0,33.5,26.0,31.5,29.5,27.9,0.04272890435373837
32,home_rest,16.0,34.5,41.0,32.5,23.0,29.4,0.03100441269211891
33,temp,36.5,28.5,35.5,31.5,17.0,29.8,0.02847697496554059
34,roll_ats_diff,26.5,30.5,36.0,29.0,30.5,30.5,0.05778983164491199
35,away_std_margin,30.0,30.0,37.5,29.0,27.0,30.7,0.06763223222045378
36,home_off_bye,27.5,33.5,33.5,32.5,31.5,31.7,0.025704259152931903
37,is_primetime,37.5,34.5,33.5,32.5,26.5,32.9,0.004344556573602875
38,home_short_week,35.5,31.0,34.5,32.5,31.5,33.0,0.003321460644535633
39,away_short_week,34.5,31.5,35.5,32.5,31.5,33.1,0.0033373289805891542
40,away_off_bye,35.5,33.0,33.0,32.5,31.5,33.1,0.002948096657332943
41,is_playoff,35.5,33.0,36.5,32.5,31.5,33.8,0.007400989144908018
42,home_roll_ats,35.5,37.0,31.5,34.5,35.5,34.8,0.03152179391756009
43,rest_diff,31.5,37.0,38.5,33.5,33.5,34.8,0.013283785552319294
44,wind,32.5,35.5,41.5,35.0,34.0,35.7,0.0282728407679936
45,is_neutral,40.5,33.5,40.5,32.5,32.5,35.9,0.004860967990486427
