feature,gain,split
away_std_margin,1645.2676124572754,295
away_roll_total_vs_line,1400.5141533613205,257
home_std_margin,1367.4741513729095,253
away_ppg_diff_std,1334.2080198526382,247
home_roll_ats,1295.403068780899,241
home_ppg_diff_std,1277.3470907211304,234
home_roll_total_vs_line,1198.6601507663727,226
home_roll_pf,1159.5517683029175,213
home_roll_pa,1137.971748828888,211
away_roll_pf,1119.8228769302368,194
market_vig,1106.8642723560333,210
roll_ats_diff,1095.6945606470108,196
wind,1053.4939818382263,168
travel_miles,1039.400820016861,202
elo_diff,1029.2038249969482,194
winpct_diff,1026.5932893753052,194
elo_vs_spread,1013.5708527565002,192
away_roll_ats,985.7205903530121,186
away_roll_margin,861.123498916626,157
total_line,848.1116192340851,160
away_roll_pa,847.6823078393936,160
temp,844.0729489326477,169
home_roll_margin,757.2519302368164,143
away_winpct_std,748.8824996948242,135
home_winpct_std,721.0653319358826,125
market_home_prob,651.8477592468262,121
roll_margin_diff,646.2433097362518,118
week,479.63215708732605,92
elo_home_prob,407.4971618652344,76
spread_line,328.081689119339,61
rest_diff,299.896919965744,54
home_rest,141.41857933998108,26
home_qb_change,123.07859992980957,24
away_rest,74.75081014633179,18
elo_spread,68.6782591342926,13
is_primetime,51.035189628601074,11
away_qb_change,41.83579969406128,8
div_game,37.62462019920349,7
indoor,16.940110206604004,4
home_off_bye,10.905789852142334,3
away_off_bye,4.162769794464111,1
is_playoff,2.426179885864258,1
is_neutral,0.0,0
home_short_week,0.0,0
away_short_week,0.0,0
