feature,gain,split
spread_line,6707.698037147522,148
market_home_prob,6693.721581220627,247
away_std_margin,1629.6177468299866,292
travel_miles,1527.575500011444,282
home_std_margin,1416.116629600525,260
away_roll_total_vs_line,1400.0649604797363,261
home_roll_total_vs_line,1372.8121682405472,255
home_roll_margin,1332.1240985393524,228
market_vig,1292.0636281967163,230
roll_ats_diff,1258.2493183612823,226
home_ppg_diff_std,1219.4932832717896,230
away_roll_pa,1171.1854293346405,201
elo_vs_spread,967.4647779464722,177
winpct_diff,957.7469234466553,176
elo_diff,945.7206599712372,151
home_roll_pa,939.9500730037689,175
temp,934.551539182663,173
away_roll_ats,897.994845032692,173
away_ppg_diff_std,882.7986907958984,170
roll_margin_diff,871.8715872764587,143
away_roll_pf,834.8145680427551,151
home_roll_pf,832.0539925098419,159
home_winpct_std,822.4022219181061,148
home_roll_ats,790.5024511814117,151
wind,771.5621297359467,139
total_line,765.8349468708038,138
away_roll_margin,701.3566317558289,133
away_winpct_std,662.2796103954315,120
week,417.6918318271637,80
elo_home_prob,377.3239920139313,58
div_game,147.28500962257385,26
away_rest,100.87559008598328,22
rest_diff,86.88987994194031,18
home_qb_change,83.1220190525055,17
home_rest,70.35446095466614,17
elo_spread,48.730390548706055,10
away_qb_change,25.264689683914185,5
is_primetime,23.58253002166748,4
indoor,16.20723009109497,3
away_off_bye,6.4484100341796875,2
is_playoff,4.862430095672607,1
is_neutral,0.0,0
home_off_bye,0.0,0
home_short_week,0.0,0
away_short_week,0.0,0
