model,n,mae,rmse,r2,bias,cal_slope,cal_intercept,corr_with_vegas,mean_abs_disagreement,closer_than_vegas
closing spread (Vegas),3028,9.807,12.721,0.193,0.046,1.038,-0.024,1.0,0.0,
extratrees (uncalibrated),3028,10.083,13.02,0.1546,-0.456,1.129,-0.76,0.8769,2.29,0.4541
extratrees,3028,10.092,13.012,0.1556,-0.03,0.96,0.048,0.8628,2.42,0.4524
ridge,3028,10.101,13.011,0.1558,-0.073,0.968,-0.01,0.8627,2.42,0.4541
rf,3028,10.102,13.059,0.1495,-0.036,0.951,0.059,0.851,2.49,0.4495
rf (uncalibrated),3028,10.105,13.047,0.151,-0.482,0.962,-0.393,0.866,2.4,0.4607
ridge (uncalibrated),3028,10.109,13.01,0.1558,-0.449,0.916,-0.252,0.8747,2.41,0.4577
xgb,3028,10.118,13.111,0.1426,-0.126,0.96,-0.045,0.8081,2.82,0.4627
huber (uncalibrated),3028,10.144,13.168,0.1352,-0.246,0.838,0.102,0.8188,2.46,0.4544
xgb (uncalibrated),3028,10.173,13.143,0.1385,-0.59,0.84,-0.193,0.8214,2.98,0.461
huber,3028,10.182,13.232,0.1268,-0.088,0.872,0.165,0.7779,2.64,0.4567
lgbm,3028,10.222,13.203,0.1306,-0.109,0.937,0.018,0.7877,2.96,0.4554
lgbm (uncalibrated),3028,10.294,13.253,0.1241,-0.613,0.792,-0.092,0.803,3.2,0.4548
