feature,perm_importance,perm_std,shap_mean_abs
elo_diff,0.47535222556197015,0.09572749048442698,2.373393
roll_margin_diff,0.17041767428245222,0.0366660099896413,1.0741235
away_ppg_diff_std,0.08627396552758189,0.028381136257069093,0.8454315
travel_miles,0.05668127647343777,0.010055318493245646,0.31577736
away_std_margin,0.05315957802948361,0.023868800744759045,0.39343792
home_roll_margin,0.03278330066907191,0.03690162845262477,0.6895227
away_qb_change,0.025647057470490432,0.03204327359651088,0.37821978
home_qb_change,0.024605052503185832,0.015071396415579124,0.2886078
away_roll_pf,0.022830674552865915,0.023440330633920425,0.61934215
away_roll_ats,0.021724936918176497,0.022932657584188873,0.5056655
elo_home_prob,0.021173258506522075,0.028374401032562453,0.70236975
home_std_margin,0.020779637064164545,0.023065390809723176,0.3898449
home_roll_ats,0.019663303012290356,0.02454905409822376,0.39649898
div_game,0.019344163512027456,0.016876475072723596,0.26796928
away_winpct_std,0.013321489677193021,0.03482846010408119,0.40091047
elo_spread,0.008440969035585688,0.017872595475423695,0.42663407
week,0.008079875124529323,0.01587060941991456,0.22062942
home_roll_total_vs_line,0.007417095814293262,0.016279533931472738,0.2813525
roll_ats_diff,0.006233272862563766,0.02745300677470489,0.41976
home_ppg_diff_std,0.005441885442195727,0.04148155414786354,0.83859646
away_rest,0.0031704441529884163,0.009062057320001095,0.11021952
home_winpct_std,0.0014528685557381848,0.026308749185273844,0.35531628
indoor,0.0012796076903486054,0.0027602146665658667,0.02729758
home_rest,0.0007576447191016911,0.003687920686119602,0.043207
is_playoff,0.0,0.0,0.0
is_neutral,0.0,0.0,0.0
home_off_bye,0.0,0.0,0.0
away_off_bye,0.0,0.0,0.0
away_short_week,0.0,0.0,0.0
home_short_week,0.0,0.0,0.0
is_primetime,-0.001243008664694223,0.002259033265914396,0.028021866
away_roll_total_vs_line,-0.0024534024884754757,0.021574156381012084,0.3983061
winpct_diff,-0.0027032310049975193,0.016778175893430388,0.20616402
away_roll_margin,-0.0037766710176990515,0.009914123144482806,0.17252068
temp,-0.0073826725632272884,0.020957025468422423,0.1704174
home_roll_pf,-0.007951747805794617,0.010884356014425105,0.17847283
rest_diff,-0.010077589321594615,0.006275943981572306,0.104009435
wind,-0.012421050682140411,0.009181264776236885,0.14454187
away_roll_pa,-0.018447149328666156,0.028326844786947265,0.40128604
home_roll_pa,-0.04591643961044305,0.017366400287201808,0.37946814
