uniform_rank,feature,rank_ridge,rank_huber,rank_rf,rank_extratrees,rank_xgb,rank_lgbm,avg_rank,avg_norm_score
1,roll_margin_diff,1.0,1.0,4.0,4.0,2.0,2.5,2.4166666666666665,0.5666466819465589
2,elo_diff,2.5,13.0,3.0,2.0,1.0,1.0,3.75,0.6770814659204903
3,elo_home_prob,11.0,17.5,1.5,1.0,8.0,3.5,7.083333333333333,0.45631482383244454
4,elo_spread,3.5,14.0,1.5,3.0,12.5,26.5,10.166666666666666,0.38373171987526894
5,away_roll_pf,3.0,10.0,20.0,7.5,8.0,13.0,10.25,0.19134691533565618
6,away_ppg_diff_std,8.0,18.0,19.0,15.5,3.0,4.5,11.333333333333334,0.1766543837098702
7,home_roll_margin,21.5,5.0,22.5,15.0,6.0,8.0,13.0,0.16505797019377833
8,away_qb_change,12.5,20.5,19.5,8.0,12.5,11.5,14.083333333333334,0.0948793143302981
9,away_roll_ats,9.0,4.0,24.0,27.0,9.0,13.0,14.333333333333334,0.17390113242307512
10,away_std_margin,16.0,22.5,10.5,15.5,10.0,11.5,14.333333333333334,0.09066861475417037
11,roll_ats_diff,14.5,2.0,21.5,30.0,14.5,10.5,15.5,0.21461432447606046
12,home_roll_ats,8.5,3.0,26.0,30.0,13.5,13.5,15.75,0.16782156235119747
13,home_ppg_diff_std,8.0,18.5,22.5,17.0,12.0,21.0,16.5,0.16987309197455183
14,away_roll_total_vs_line,5.0,16.0,19.0,23.5,22.5,13.0,16.5,0.1110450061695654
15,home_qb_change,18.5,24.0,19.5,7.5,14.5,15.0,16.5,0.07879386370065951
16,home_std_margin,21.0,24.0,10.5,25.5,14.0,10.0,17.5,0.07960647498666683
17,away_roll_margin,17.0,6.0,22.5,14.0,30.5,17.5,17.916666666666668,0.09858396086830896
18,week,19.5,23.0,13.5,12.5,20.5,18.5,17.916666666666668,0.06906372312988611
19,travel_miles,23.0,27.0,14.5,21.0,12.0,10.5,18.0,0.07923314477135932
20,away_roll_pa,16.0,7.5,18.0,23.0,25.0,23.5,18.833333333333332,0.0979805094023064
21,div_game,18.0,23.5,23.0,12.5,18.5,19.0,19.083333333333332,0.06180300142838618
22,away_winpct_std,33.0,15.0,22.5,17.0,13.5,16.0,19.5,0.06415616403812781
23,winpct_diff,7.5,11.0,23.5,23.0,29.0,27.5,20.25,0.11310084976103911
24,home_roll_pa,17.0,9.0,25.5,19.0,28.5,26.5,20.916666666666668,0.09073534562413506
25,home_roll_pf,32.5,7.5,11.5,15.0,31.0,32.0,21.583333333333332,0.07053419226807446
26,home_winpct_std,32.0,12.0,24.0,23.0,20.5,20.0,21.916666666666668,0.07232743935511174
27,away_rest,18.5,23.5,21.0,22.5,25.5,25.5,22.75,0.03450376457063109
28,home_roll_total_vs_line,26.0,34.5,14.0,24.0,20.0,27.0,24.25,0.04890630321821978
29,away_off_bye,29.5,33.5,28.0,22.5,32.5,31.0,29.5,0.00998493805397602
30,temp,34.0,36.0,19.0,26.5,31.5,31.5,29.75,0.025730542979137284
31,rest_diff,26.0,28.5,27.0,34.5,34.0,32.0,30.333333333333332,0.019731216085358005
32,is_primetime,37.0,36.0,29.0,17.0,32.0,32.0,30.5,0.009257280014857198
33,indoor,33.5,36.5,30.5,27.0,28.5,27.5,30.583333333333332,0.013318768897868547
34,is_playoff,30.5,34.0,27.0,31.0,32.5,29.5,30.75,0.0066923988122863974
35,home_off_bye,34.5,30.5,30.5,31.0,32.5,32.0,31.833333333333332,0.0022789131390343995
36,home_rest,36.0,32.5,32.0,34.5,28.0,32.0,32.5,0.004976264768666157
37,home_short_week,35.0,35.5,29.0,31.5,32.5,32.0,32.583333333333336,0.003123660910006673
38,away_short_week,33.5,34.0,29.0,35.0,32.5,32.0,32.666666666666664,0.0026785110564333248
39,wind,31.0,36.5,30.5,35.0,33.5,34.5,33.5,0.018814752978871616
40,is_neutral,36.0,34.0,30.5,36.0,32.5,32.5,33.583333333333336,0.004636811982795433
