,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,,,
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
1,Oklahoma City Thunder,25.2,38,11,40,9,12.33,-0.79,11.53,119.4,107.2,+12.2,99.7,.271,.414,.604,,.564,11.0,21.1,.224,,.514,15.0,74.0,.198,,Paycom Center,473594,18203
2,Boston Celtics,26.7,30,18,33,15,6.56,-1.18,5.39,121.2,114.4,+6.8,95.5,.207,.465,.583,,.555,10.8,29.0,.164,,.528,12.3,73.7,.207,,TD Garden,440588,19156
3,Detroit Pistons,25.9,35,12,33,14,6.66,-1.00,5.66,116.4,109.8,+6.6,100.1,.299,.354,.576,,.540,13.4,30.8,.225,,.518,15.1,73.8,.264,,Little Caesars Arena,468398,19479
4,Houston Rockets,26.6,29,17,31,15,6.07,-0.38,5.68,119.0,112.8,+6.2,96.0,.270,.339,.571,,.538,13.2,36.5,.204,,.529,12.1,74.6,.188,,Toyota Center,361165,18058
5,New York Knicks,28.3,30,18,32,16,5.40,-0.64,4.75,120.0,114.5,+5.5,98.1,.244,.437,.586,,.552,12.2,30.3,.193,,.543,12.9,76.3,.215,,Madison Square Garden (IV),494878,19795
6,San Antonio Spurs,25.7,32,15,31,16,5.15,0.07,5.22,117.1,112.0,+5.1,99.9,.289,.422,.585,,.546,12.0,25.8,.227,,.530,12.1,76.9,.185,,Frost Bank Center,411166,18689
7,Minnesota Timberwolves,28.0,30,19,32,17,4.96,-0.55,4.41,117.4,112.5,+4.9,100.8,.289,.428,.594,,.561,12.7,26.1,.216,,.528,13.0,75.1,.213,,Target Center,418726,16749
8,Denver Nuggets,27.7,33,16,31,18,4.51,-1.25,3.26,122.2,117.7,+4.5,97.4,.290,.401,.615,,.576,11.4,23.1,.236,,.539,10.6,73.5,.199,,Ball Arena,456166,19833
9,Phoenix Suns,27.3,30,19,29,20,2.96,0.17,3.13,115.9,112.9,+3.0,98.3,.236,.442,.577,,.543,13.5,29.1,.188,,.537,14.9,71.5,.219,,Mortgage Matchup Center,392633,17071
10,Cleveland Cavaliers,26.6,29,21,29,21,2.78,0.13,2.91,117.4,114.7,+2.7,101.0,.249,.450,.585,,.552,12.5,27.1,.194,,.543,13.6,74.1,.216,,Rocket Arena,544096,19432
11,Golden State Warriors,29.2,27,23,29,21,2.68,0.10,2.78,115.8,113.2,+2.6,100.3,.249,.503,.589,,.552,13.6,24.9,.203,,.541,14.1,73.4,.200,,Chase Center,451600,18064
12,Charlotte Hornets,23.9,21,28,27,22,1.59,-0.75,0.84,117.9,116.3,+1.6,98.0,.255,.461,.588,,.550,13.7,29.4,.207,,.548,11.3,76.2,.181,,Spectrum Center,398559,18116
13,Miami Heat,26.5,26,23,27,22,1.51,0.72,2.23,114.9,113.4,+1.5,104.0,.262,.390,.573,,.535,12.1,25.1,.207,,.535,13.2,73.9,.193,,Kaseya Center,452360,19668
14,Toronto Raptors,24.7,29,21,27,23,1.26,-0.26,1.01,114.6,113.3,+1.3,98.4,.254,.374,.571,,.535,12.3,26.0,.198,,.538,13.9,74.4,.233,,Scotiabank Arena,448772,18699
15,Philadelphia 76ers,25.6,26,21,25,22,0.72,-0.31,0.42,115.7,115.0,+0.7,98.9,.282,.400,.574,,.531,12.1,26.9,.229,,.539,13.4,72.0,.209,,Xfinity Mobile Arena,508728,18842
16,Los Angeles Lakers,27.7,29,18,24,23,0.04,-0.55,-0.51,118.0,118.0,0.0,98.7,.323,.405,.608,,.569,13.5,24.9,.250,,.563,13.0,74.4,.197,,Crypto.com Arena,378208,18910
17,Orlando Magic,24.6,25,22,24,23,0.02,0.29,0.31,115.2,115.2,0.0,99.8,.308,.372,.573,,.528,12.1,26.3,.245,,.550,13.3,75.4,.222,,Kia Center,440879,18657
18,Los Angeles Clippers,30.9,22,25,23,24,-0.36,0.18,-0.18,116.7,117.0,-0.3,95.9,.293,.433,.601,,.555,13.8,23.9,.247,,.545,12.3,72.9,.201,,Intuit Dome,386902,17586
19,Atlanta Hawks,24.8,24,26,23,27,-1.02,0.53,-0.49,114.2,115.2,-1.0,102.1,.228,.431,.583,,.553,12.7,22.2,.177,,.548,13.6,73.4,.212,,State Farm Arena,373261,16229
20,Memphis Grizzlies,25.4,18,28,21,25,-1.72,-0.01,-1.72,112.7,114.4,-1.7,101.2,.253,.420,.565,,.526,13.2,26.5,.203,,.541,12.8,74.2,.191,,FedExForum,366597,15138
21,Chicago Bulls,25.9,23,25,21,27,-2.08,-0.54,-2.62,115.6,117.6,-2.0,101.3,.238,.436,.588,,.556,12.4,23.2,.187,,.548,10.7,76.5,.194,,United Center,526301,20242
22,Dallas Mavericks,26.3,19,29,20,28,-2.48,-0.39,-2.87,111.0,113.4,-2.4,101.8,.280,.359,.568,,.534,13.1,22.6,.210,,.526,11.6,74.0,.192,,American Airlines Center,538253,19223
23,Portland Trail Blazers,24.8,23,26,21,28,-2.49,1.08,-1.41,113.6,116.1,-2.5,100.9,.291,.461,.565,,.525,14.2,30.6,.225,,.541,13.1,72.1,.219,,Moda Center,404933,16872
24,Milwaukee Bucks,27.5,18,28,17,29,-4.00,-0.17,-4.17,113.2,117.2,-4.0,98.4,.241,.437,.591,,.566,13.3,20.0,.176,,.547,12.1,74.3,.221,,Fiserv Forum,357717,17034
25,New Orleans Pelicans,23.9,13,37,16,34,-6.46,1.09,-5.37,113.2,119.6,-6.4,100.2,.275,.349,.560,,.519,12.4,27.9,.216,,.562,12.9,71.6,.202,,Smoothie King Center,445470,16499
26,Brooklyn Nets,23.7,13,34,14,33,-6.66,0.22,-6.44,111.5,118.3,-6.8,96.0,.273,.477,.565,,.526,13.7,25.0,.213,,.565,12.6,74.2,.206,,Barclays Center,400973,17434
27,Indiana Pacers,26.1,12,36,13,35,-8.04,0.84,-7.20,109.0,117.0,-8.0,100.7,.268,.409,.551,,.513,12.4,23.0,.206,,.548,12.3,74.4,.238,,Gainbridge Fieldhouse,413140,16526
28,Utah Jazz,24.4,15,34,13,36,-9.02,1.30,-7.72,115.0,123.8,-8.8,101.6,.287,.414,.582,,.541,13.4,25.8,.230,,.580,11.5,73.2,.226,,Delta Center,491022,18186
29,Sacramento Kings,29.2,12,38,11,39,-10.32,1.67,-8.65,110.2,120.5,-10.3,99.3,.262,.341,.561,,.525,13.0,24.1,.201,,.562,12.3,72.0,.220,,Golden 1 Center,410187,16407
