season,team,cluster
2000,Air Force,9
2000,Akron,0
2000,Alabama,1
2000,Alabama-Birmingham,6
2000,Arizona,4
2000,Arizona State,4
2000,Arkansas,1
2000,Arkansas State,10
2000,Army,6
2000,Auburn,1
2000,Ball State,0
2000,Baylor,2
2000,Boise State,10
2000,Boston College,5
2000,Bowling Green,0
2000,Brigham Young,9
2000,Buffalo,0
2000,California,4
2000,Central Florida,0
2000,Central Michigan,0
2000,Cincinnati,6
2000,Clemson,8
2000,Colorado,2
2000,Colorado State,9
2000,Connecticut,0
2000,Duke,8
2000,East Carolina,6
2000,Eastern Michigan,0
2000,Florida,1
2000,Florida State,8
2000,Fresno State,7
2000,Georgia,1
2000,Georgia Tech,8
2000,Hawaii,7
2000,Houston,6
2000,Idaho,10
2000,Illinois,3
2000,Indiana,3
2000,Iowa,3
2000,Iowa State,2
2000,Kansas,2
2000,Kansas State,2
2000,Kent State,0
2000,Kentucky,1
2000,Louisiana,11
2000,Louisiana State,1
2000,Louisiana Tech,11
2000,Louisiana-Monroe,11
2000,Louisville,6
2000,Marshall,0
2000,Maryland,8
2000,Memphis,6
2000,Miami (FL),5
2000,Miami (OH),0
2000,Michigan,3
2000,Michigan State,3
2000,Middle Tennessee State,11
2000,Minnesota,3
2000,Mississippi,1
2000,Mississippi State,1
2000,Missouri,2
2000,Navy,5
2000,Nebraska,2
2000,Nevada,7
2000,Nevada-Las Vegas,9
2000,New Mexico,9
2000,New Mexico State,10
2000,North Carolina,8
2000,North Carolina State,8
2000,North Texas,10
2000,Northern Illinois,0
2000,Northwestern,3
2000,Notre Dame,5
2000,Ohio,0
2000,Ohio State,3
2000,Oklahoma,2
2000,Oklahoma State,2
2000,Oregon,4
2000,Oregon State,4
2000,Penn State,3
2000,Pittsburgh,5
2000,Purdue,3
2000,Rice,7
2000,Rutgers,5
2000,San Diego State,9
2000,San Jose State,7
2000,South Carolina,1
2000,South Florida,11
2000,Southern California,4
2000,Southern Methodist,7
2000,Southern Mississippi,6
2000,Stanford,4
2000,Syracuse,5
2000,Temple,5
2000,Tennessee,1
2000,Texas,2
2000,Texas A&M,2
2000,Texas Christian,7
2000,Texas Tech,2
2000,Texas-El Paso,7
2000,Toledo,0
2000,Tulane,6
2000,Tulsa,7
2000,UCLA,4
2000,Utah,9
2000,Utah State,10
2000,Vanderbilt,1
2000,Virginia,8
2000,Virginia Tech,5
2000,Wake Forest,8
2000,Washington,4
2000,Washington State,4
2000,West Virginia,5
2000,Western Michigan,0
2000,Wisconsin,3
2000,Wyoming,9
2001,Air Force,6
2001,Akron,0
2001,Alabama,2
2001,Alabama-Birmingham,4
2001,Arizona,5
2001,Arizona State,5
2001,Arkansas,2
2001,Arkansas State,8
2001,Army,4
2001,Auburn,2
2001,Ball State,0
2001,Baylor,1
2001,Boise State,7
2001,Boston College,3
2001,Bowling Green,0
2001,Brigham Young,6
2001,Buffalo,0
2001,California,5
2001,Central Florida,8
2001,Central Michigan,0
2001,Cincinnati,4
2001,Clemson,9
2001,Colorado,1
2001,Colorado State,6
2001,Connecticut,3
2001,Duke,9
2001,East Carolina,4
2001,Eastern Michigan,0
2001,Florida,2
2001,Florida State,9
2001,Fresno State,7
2001,Georgia,2
2001,Georgia Tech,9
2001,Hawaii,7
2001,Houston,4
2001,Idaho,8
2001,Illinois,10
2001,Indiana,11
2001,Iowa,11
2001,Iowa State,1
2001,Kansas,1
2001,Kansas State,1
2001,Kent State,0
2001,Kentucky,2
2001,Louisiana,8
2001,Louisiana State,2
2001,Louisiana Tech,7
2001,Louisiana-Monroe,8
2001,Louisville,4
2001,Marshall,0
2001,Maryland,9
2001,Memphis,4
2001,Miami (FL),3
2001,Miami (OH),0
2001,Michigan,10
2001,Michigan State,11
2001,Middle Tennessee State,8
2001,Minnesota,10
2001,Mississippi,2
2001,Mississippi State,2
2001,Missouri,1
2001,Navy,3
2001,Nebraska,1
2001,Nevada,7
2001,Nevada-Las Vegas,6
2001,New Mexico,6
2001,New Mexico State,8
2001,North Carolina,9
2001,North Carolina State,9
2001,North Texas,8
2001,Northern Illinois,0
2001,Northwestern,11
2001,Notre Dame,3
2001,Ohio,0
2001,Ohio State,10
2001,Oklahoma,1
2001,Oklahoma State,1
2001,Oregon,5
2001,Oregon State,5
2001,Penn State,11
2001,Pittsburgh,3
2001,Purdue,10
2001,Rice,7
2001,Rutgers,3
2001,San Diego State,6
2001,San Jose State,7
2001,South Carolina,2
2001,South Florida,6
2001,Southern California,5
2001,Southern Methodist,7
2001,Southern Mississippi,4
2001,Stanford,5
2001,Syracuse,3
2001,Temple,3
2001,Tennessee,2
