season,team,games,wins,losses,win_pct,pts_for,pts_against,pt_diff,td_allowed,xpa_allowed,xpm_allowed,fga_allowed,fgm_allowed,safeties_allowed,td_allowed_pg,pts_allowed_pg
2002,Army,12,1,11,0.083,226.0,491.0,-265.0,61.0,59.0,58.0,28.0,19.0,3.0,5.08,40.92
2002,Baylor,12,3,9,0.25,202.0,496.0,-294.0,67.0,65.0,58.0,21.0,12.0,0.0,5.58,41.33
2002,Buffalo,12,1,11,0.083,214.0,416.0,-202.0,55.0,54.0,51.0,17.0,11.0,0.0,4.58,34.67
2002,Eastern Michigan,12,3,9,0.25,286.0,566.0,-280.0,76.0,73.0,68.0,18.0,12.0,0.0,6.33,47.17
2002,Indiana,12,3,9,0.25,258.0,445.0,-187.0,58.0,57.0,52.0,19.0,15.0,0.0,4.83,37.08
2002,Kansas,12,2,10,0.167,248.0,507.0,-259.0,67.0,59.0,57.0,18.0,12.0,2.0,5.58,42.25
2002,Kent State,12,3,9,0.25,202.0,424.0,-222.0,55.0,53.0,48.0,20.0,14.0,1.0,4.58,35.33
2002,Louisiana Tech,12,4,8,0.333,320.0,426.0,-106.0,57.0,52.0,48.0,16.0,10.0,1.0,4.75,35.5
2002,Louisiana-Monroe,12,3,9,0.25,236.0,451.0,-215.0,59.0,55.0,51.0,20.0,14.0,0.0,4.92,37.58
2002,Navy,12,2,10,0.167,290.0,436.0,-146.0,57.0,51.0,47.0,15.0,13.0,1.0,4.75,36.33
2002,North Carolina,12,3,9,0.25,223.0,421.0,-198.0,58.0,56.0,53.0,19.0,6.0,0.0,4.83,35.08
2002,Northwestern,12,3,9,0.25,272.0,493.0,-221.0,65.0,62.0,59.0,13.0,12.0,2.0,5.42,41.08
2002,San Jose State,13,6,7,0.462,376.0,467.0,-91.0,59.0,56.0,53.0,24.0,18.0,1.0,4.54,35.92
2002,Texas Tech,14,9,5,0.643,537.0,439.0,98.0,59.0,55.0,51.0,13.0,8.0,3.0,4.21,31.36
2002,Tulsa,12,1,11,0.083,233.0,417.0,-184.0,55.0,53.0,50.0,19.0,11.0,0.0,4.58,34.75
2002,UTEP,12,2,10,0.167,220.0,511.0,-291.0,70.0,68.0,64.0,18.0,9.0,0.0,5.83,42.58
2002,Utah State,11,4,7,0.364,305.0,432.0,-127.0,57.0,54.0,51.0,18.0,13.0,0.0,5.18,39.27
2003,Arizona,12,2,10,0.167,181.0,429.0,-248.0,56.0,55.0,55.0,18.0,12.0,1.0,4.67,35.75
2003,Army,13,0,13,0.0,206.0,476.0,-270.0,60.0,56.0,53.0,26.0,19.0,0.0,4.62,36.62
2003,Baylor,12,3,9,0.25,191.0,455.0,-264.0,62.0,62.0,59.0,11.0,8.0,0.0,5.17,37.92
2003,Buffalo,12,1,11,0.083,177.0,445.0,-268.0,59.0,58.0,53.0,26.0,12.0,1.0,4.92,37.08
2003,East Carolina,12,1,11,0.083,217.0,428.0,-211.0,55.0,53.0,50.0,18.0,14.0,1.0,4.58,35.67
2003,Houston,13,7,6,0.538,448.0,468.0,-20.0,62.0,58.0,57.0,18.0,11.0,1.0,4.77,36.0
2003,Iowa State,12,2,10,0.167,173.0,437.0,-264.0,57.0,54.0,50.0,18.0,15.0,0.0,4.75,36.42
2003,Louisiana-Monroe,12,1,11,0.083,239.0,467.0,-228.0,64.0,63.0,60.0,10.0,5.0,3.0,5.33,38.92
2003,Mississippi State,12,2,10,0.167,225.0,471.0,-246.0,63.0,63.0,63.0,16.0,10.0,0.0,5.25,39.25
2003,North Carolina,12,2,10,0.167,317.0,459.0,-142.0,57.0,54.0,48.0,26.0,21.0,0.0,4.75,38.25
2003,Texas A&M,12,4,8,0.333,304.0,465.0,-161.0,64.0,56.0,52.0,11.0,7.0,1.0,5.33,38.75
2003,Texas Tech,13,8,5,0.615,552.0,442.0,110.0,57.0,54.0,54.0,18.0,14.0,0.0,4.38,34.0
2003,UTEP,13,2,11,0.154,288.0,498.0,-210.0,63.0,62.0,59.0,30.0,19.0,1.0,4.85,38.31
2004,Ball State,11,2,9,0.182,225.0,405.0,-180.0,55.0,53.0,52.0,9.0,7.0,1.0,5.0,36.82
2004,Baylor,11,3,8,0.273,224.0,406.0,-182.0,55.0,53.0,53.0,13.0,7.0,1.0,5.0,36.91
2004,East Carolina,11,2,9,0.182,231.0,439.0,-208.0,60.0,56.0,54.0,10.0,7.0,2.0,5.45,39.91
2004,Eastern Michigan,11,4,7,0.364,328.0,458.0,-130.0,60.0,58.0,58.0,16.0,12.0,0.0,5.45,41.64
2004,Florida A&M,11,3,8,0.273,253.0,408.0,-155.0,55.0,52.0,48.0,11.0,8.0,1.0,5.0,37.09
2004,Hawaii,13,8,5,0.615,467.0,499.0,-32.0,65.0,62.0,56.0,20.0,17.0,0.0,5.0,38.38
2004,Idaho,12,3,9,0.25,245.0,473.0,-228.0,63.0,60.0,54.0,13.0,13.0,0.0,5.25,39.42
