team,elo,w,l,pts_vs_avg,games,small_sample
Oklahoma,1883.0,13,0,13.7,13,False
Miami (FL),1877.0,11,1,13.5,12,False
Virginia Tech,1815.1,11,1,11.3,12,False
Oregon State,1805.3,11,1,10.9,12,False
Florida State,1791.4,11,2,10.4,13,False
Nebraska,1760.1,10,2,9.3,12,False
Washington,1744.4,11,1,8.7,12,False
Toledo,1724.8,10,1,8.0,11,False
Florida,1722.6,10,3,7.9,13,False
Boise State,1721.2,10,2,7.9,12,False
Michigan,1717.5,9,3,7.8,12,False
Oregon,1716.1,10,2,7.7,12,False
Kansas State,1709.6,11,3,7.5,14,False
Texas,1696.4,9,3,7.0,12,False
Colorado State,1692.7,10,2,6.9,12,False
Texas Christian,1684.7,10,2,6.6,12,False
Louisiana State,1673.9,8,4,6.2,12,False
Louisville,1673.1,9,3,6.2,12,False
Southern Mississippi,1651.7,8,4,5.4,12,False
Western Michigan,1645.9,9,3,5.2,12,False
Georgia Tech,1645.2,9,3,5.2,12,False
Wisconsin,1644.5,9,4,5.2,13,False
Georgia,1641.2,8,4,5.0,12,False
South Carolina,1638.9,8,4,5.0,12,False
Notre Dame,1638.9,9,3,5.0,12,False
Clemson,1631.1,9,3,4.7,12,False
Marshall,1627.9,8,5,4.6,13,False
Iowa State,1627.5,9,3,4.6,12,False
Air Force,1619.7,9,3,4.3,12,False
East Carolina,1619.3,8,4,4.3,12,False
Texas-El Paso,1610.6,8,4,3.9,12,False
Texas A&M,1608.2,7,5,3.9,12,False
Boston College,1603.7,7,5,3.7,12,False
Ohio,1593.7,7,4,3.3,11,False
Nevada-Las Vegas,1592.2,8,5,3.3,13,False
Purdue,1592.1,8,4,3.3,12,False
Mississippi State,1584.5,8,4,3.0,12,False
Auburn,1583.7,9,4,3.0,13,False
Middle Tennessee State,1580.5,6,5,2.9,11,False
Fresno State,1580.0,7,5,2.9,12,False
North Carolina State,1578.5,8,4,2.8,12,False
Tennessee,1578.3,8,4,2.8,12,False
Syracuse,1576.4,6,5,2.7,11,False
South Florida,1573.8,7,4,2.6,11,False
West Virginia,1570.0,7,5,2.5,12,False
Portland State,1564.5,1,0,2.3,1,True
Central Florida,1564.4,7,4,2.3,11,False
Pittsburgh,1562.1,7,5,2.2,12,False
Northwestern,1561.2,8,4,2.2,12,False
Northeastern,1548.5,1,0,1.7,1,True
Ohio State,1545.7,8,4,1.6,12,False
Cincinnati,1544.7,7,5,1.6,12,False
Sam Houston,1541.2,1,0,1.5,1,True
Alabama-Birmingham,1540.8,7,4,1.5,11,False
Montana,1536.6,1,0,1.3,1,True
Appalachian State,1531.9,1,0,1.1,1,True
Brigham Young,1531.8,6,6,1.1,12,False
Youngstown State,1531.1,1,0,1.1,1,True
Northern Illinois,1530.2,6,5,1.1,11,False
Idaho State,1526.2,1,0,0.9,1,True
Stephen F. Austin,1522.6,1,0,0.8,1,True
Rhode Island,1522.3,1,0,0.8,1,True
Wofford,1520.0,1,0,0.7,1,True
Texas State,1517.3,1,1,0.6,2,True
Tulane,1513.6,6,5,0.5,11,False
Akron,1513.0,6,5,0.5,11,False
North Carolina,1509.2,6,5,0.3,11,False
Western Illinois,1505.4,1,1,0.2,2,True
Mississippi,1502.1,7,5,0.1,12,False
Penn State,1498.1,5,7,-0.1,12,False
Arkansas,1497.3,6,6,-0.1,12,False
Minnesota,1495.5,6,6,-0.2,12,False
Stanford,1495.3,5,6,-0.2,11,False
Texas Tech,1489.5,7,6,-0.4,13,False
Virginia,1488.1,6,6,-0.4,12,False
Jacksonville State,1486.7,1,1,-0.5,2,True
Eastern Illinois,1484.5,0,1,-0.6,1,True
