Rk,Season,Team,TD,G,W,L,T,W-L%,Pts,PtsO,PtDif,TD,XPA,XPM,FGA,FGM,Sfty
1,2008,North Texas,78,12,1,11,0,.083,240,571,-331,78,78,71,13,10,0
2,2010,East Carolina,76,13,6,7,0,.462,478,572,-94,76,73,71,20,15,0
3,2008,Washington State,76,13,2,11,0,.154,165,570,-405,76,76,73,22,13,1
4,2002,Eastern Michigan,76,12,3,9,0,.250,286,566,-280,76,73,68,18,12,0
5,2012,Colorado,73,12,1,11,0,.083,214,552,-338,73,71,67,18,15,0
6,2006,Louisiana Tech,73,13,3,10,0,.231,242,542,-300,73,72,68,15,12,0
7,2022,Colorado,72,12,1,11,0,.083,185,534,-349,72,69,69,13,9,2
8,2010,Eastern Michigan,71,12,2,10,0,.167,228,527,-299,71,70,66,13,11,0
9,2007,North Texas,71,12,2,10,0,.167,298,541,-243,71,69,66,19,13,4
10,2011,New Mexico,70,12,1,11,0,.083,144,500,-356,70,69,68,10,4,0
11,2009,Rice,70,12,2,10,0,.167,219,517,-298,70,66,64,15,11,0
12,2002,UTEP,70,12,2,10,0,.167,220,511,-291,70,68,64,18,9,0
13,2024,Tulsa,69,12,3,9,0,.250,300,510,-210,69,67,65,13,7,0
14,2013,New Mexico State,69,12,2,10,0,.167,251,535,-284,69,68,64,1,13,0
15,2012,Idaho,69,12,1,11,0,.083,190,509,-319,69,67,66,14,9,0
16,2012,Marshall,69,12,5,7,0,.417,491,517,-26,69,66,62,15,13,0
17,2010,New Mexico,69,12,1,11,0,.083,190,532,-342,69,69,67,23,17,0
18,2008,Idaho,69,12,2,10,0,.167,235,513,-278,69,68,67,16,10,1
19,2011,Kansas,68,12,2,10,0,.167,268,525,-257,68,67,66,18,15,2
20,2007,Central Michigan,68,14,8,6,0,.571,487,517,-30,68,66,62,24,15,1
21,2007,Rice,68,12,3,9,0,.250,377,515,-138,68,63,61,18,12,1
22,2010,Nevada-Las Vegas,67,13,2,11,0,.154,239,516,-277,67,67,63,19,17,0
23,2002,Baylor,67,12,3,9,0,.250,202,496,-294,67,65,58,21,12,0
24,2002,Kansas,67,12,2,10,0,.167,248,507,-259,67,59,57,18,12,2
25,2024,Kent State,66,12,0,12,0,.000,167,529,-362,66,63,63,26,22,1
26,2005,Temple,66,11,0,11,0,.000,107,498,-391,66,66,64,18,12,0
27,2012,Baylor,65,13,8,5,0,.615,578,484,94,65,64,64,13,10,0
28,2011,New Mexico State,65,13,4,9,0,.308,319,478,-159,65,62,59,16,9,1
29,2007,SMU,65,12,1,11,0,.083,340,477,-137,65,62,61,11,8,0
30,2006,Temple,65,12,1,11,0,.083,131,496,-365,65,64,61,22,15,0
31,2004,Hawaii,65,13,8,5,0,.615,467,499,-32,65,62,56,20,17,0
32,2004,San Jose State,65,11,2,9,0,.182,312,469,-157,65,62,58,10,5,0
33,2002,Northwestern,65,12,3,9,0,.250,272,493,-221,65,62,59,13,12,2
34,2024,Purdue,64,12,1,11,0,.083,189,479,-290,64,62,62,18,11,0
35,2022,South Florida,64,12,1,11,0,.083,336,494,-158,64,62,61,18,15,1
36,2012,West Virginia,64,13,7,6,0,.538,513,495,18,64,61,61,22,14,3
37,2011,Baylor,64,13,10,3,0,.769,589,484,105,64,58,55,19,13,0
38,2011,Nevada-Las Vegas,64,12,2,10,0,.167,217,481,-264,64,59,56,19,13,0
39,2007,Toledo,64,12,5,7,0,.417,395,470,-75,64,61,58,11,6,2
40,2003,Louisiana-Monroe,64,12,1,11,0,.083,239,467,-228,64,63,60,10,5,3
41,2003,Texas A&M,64,12,4,8,0,.333,304,465,-161,64,56,52,11,7,1
42,2024,Ball State,63,12,3,9,0,.250,304,481,-177,63,56,53,15,14,0
43,2011,Colorado,63,13,3,10,0,.231,257,475,-218,63,59,56,19,13,0
44,2010,Memphis,63,12,1,11,0,.083,173,478,-305,63,63,61,20,13,0
45,2009,Idaho,63,13,8,5,0,.615,425,468,-43,63,57,54,17,10,0
46,2009,Western Kentucky,63,12,0,12,0,.000,245,475,-230,63,62,59,17,12,1
47,2004,Idaho,63,12,3,9,0,.250,245,473,-228,63,60,54,13,13,0
48,2003,Mississippi State,63,12,2,10,0,.167,225,471,-246,63,63,63,16,10,0
49,2003,UTEP,63,13,2,11,0,.154,288,498,-210,63,62,59,30,19,1
50,2025,Massachusetts,62,12,0,12,0,.000,133,463,-330,62,61,59,13,10,0
51,2023,Stanford,62,12,3,9,0,.250,247,452,-205,62,59,58,9,4,0
52,2022,Charlotte,62,12,3,9,0,.250,293,473,-180,62,55,53,18,14,0
53,2011,Texas Tech,62,12,5,7,0,.417,406,471,-65,62,62,60,20,13,0
54,2011,Tulane,62,13,2,11,0,.154,274,487,-213,62,60,58,20,19,0
55,2009,Eastern Michigan,62,12,0,12,0,.000,197,459,-262,62,61,56,13,9,1
56,2006,Utah State,62,12,1,11,0,.083,130,462,-332,62,62,61,14,9,1
57,2003,Baylor,62,12,3,9,0,.250,191,455,-264,62,62,59,11,8,0
58,2003,Houston,62,13,7,6,0,.538,448,468,-20,62,58,57,18,11,1
59,2023,Massachusetts,61,12,3,9,0,.250,278,454,-176,61,57,55,17,11,0
60,2014,Old Dominion,61,12,6,6,0,.500,392,456,-64,61,59,59,0,9,0
61,2012,Louisiana Tech,61,12,9,3,0,.750,618,462,156,61,59,56,15,12,0
62,2012,New Mexico State,61,12,1,11,0,.083,224,473,-249,61,61,56,26,17,0
63,2010,New Mexico State,61,12,2,10,0,.167,188,464,-276,61,61,61,22,15,1
64,2007,Navy,61,13,8,5,0,.615,511,473,38,61,57,55,24,16,0
65,2002,Army,61,12,1,11,0,.083,226,491,-265,61,59,58,28,19,3
66,2025,UAB,60,12,4,8,0,.333,317,459,-142,60,57,57,13,12,0
67,2023,North Texas,60,12,5,7,0,.417,414,445,-31,60,55,52,13,9,0
68,2022,Arizona,60,12,5,7,0,.417,370,438,-68,60,60,57,12,7,0
69,2012,Arizona,60,13,8,5,0,.615,496,459,37,60,56,56,15,13,0
70,2012,Duke,60,13,6,7,0,.462,410,468,-58,60,58,57,24,17,0
71,2012,Hawaii,60,12,3,9,0,.250,254,428,-174,60,57,54,4,4,0
72,2012,Southern Mississippi,60,12,0,12,0,.000,236,454,-218,60,59,55,19,13,0
73,2011,Fresno State,60,13,4,9,0,.308,371,457,-86,60,56,49,21,14,0
74,2010,Rice,60,12,4,8,0,.333,344,462,-118,60,59,56,19,14,1
75,2009,Toledo,60,12,5,7,0,.417,356,452,-96,60,58,54,17,12,0
