Rk,Season,Team,TD,G,W,L,T,W-L%,Pts,PtsO,PtDif,TD,XPA,XPM,FGA,FGM,Sfty
1801,2006,Georgia,28,13,9,4,0,.692,327,229,98,28,25,24,16,11,1
1802,2006,Kent State,28,12,6,6,0,.500,214,241,-27,28,25,24,18,15,0
1803,2005,Connecticut,28,11,5,6,0,.455,272,211,61,28,28,26,8,5,1
1804,2005,Georgia Tech,28,12,7,5,0,.583,222,241,-19,28,27,26,17,15,0
1805,2005,Michigan,28,12,7,5,0,.583,345,244,101,28,25,24,23,16,0
1806,2005,South Florida,28,12,6,6,0,.500,276,216,60,28,27,25,12,7,1
1807,2005,Texas Tech,28,12,9,3,0,.750,473,226,247,28,28,28,17,10,0
1808,2004,Georgia Tech,28,12,7,5,0,.583,264,227,37,28,25,23,21,10,1
1809,2004,Oklahoma,28,13,12,1,0,.923,452,219,233,28,28,27,11,8,0
1810,2004,South Carolina,28,11,6,5,0,.545,243,229,14,28,25,24,16,11,0
1811,2004,Stanford,28,11,4,7,0,.364,242,233,9,28,26,25,19,12,1
1812,2003,Boise State,28,14,13,1,0,.929,602,239,363,28,27,26,18,13,2
1813,2003,Ohio State,28,13,11,2,0,.846,322,229,93,28,26,25,19,12,0
1814,2003,South Florida,28,11,7,4,0,.636,276,224,52,28,27,23,20,11,0
1815,2003,Tennessee,28,13,10,3,0,.769,365,239,126,28,24,24,24,15,0
1816,2002,Georgia,28,14,13,1,0,.929,450,212,238,28,23,21,17,7,0
1817,2025,Washington,27,13,9,4,0,.692,443,243,200,27,25,25,22,18,0
1818,2024,Iowa,27,13,8,5,0,.615,360,232,128,27,25,25,21,15,0
1819,2024,Northern Illinois,27,13,8,5,0,.615,319,241,78,27,25,23,28,18,0
1820,2024,Texas,27,16,13,3,0,.813,528,245,283,27,23,23,25,18,1
1821,2023,Duke,27,13,8,5,0,.615,350,247,103,27,24,24,26,19,0
1822,2023,Oregon,27,14,12,2,0,.857,619,231,388,27,22,20,17,15,0
1823,2023,Troy,27,14,11,3,0,.786,415,240,175,27,25,25,19,17,0
1824,2022,Alabama,27,13,11,2,0,.846,534,236,298,27,23,22,19,16,0
1825,2021,Alabama,27,15,13,2,0,.867,598,302,296,27,34,33,17,17,0
1826,2021,Kansas,27,12,2,10,0,.167,249,506,-257,27,67,67,13,10,0
1827,2021,Massachusetts,27,12,1,11,0,.083,196,517,-321,27,66,62,13,9,1
1828,2021,Rice,27,12,4,8,0,.333,258,434,-176,27,55,55,15,11,2
1829,2021,Rutgers,27,13,5,8,0,.385,256,333,-77,27,42,40,18,11,0
1830,2021,San Diego State,27,14,12,2,0,.857,383,277,106,27,32,30,18,13,1
1831,2021,San Jose State,27,12,5,7,0,.417,240,318,-78,27,35,34,31,22,1
1832,2021,South Florida,27,12,2,10,0,.167,278,416,-138,27,52,51,18,11,1
1833,2021,Virginia,27,12,6,6,0,.500,415,382,33,27,46,45,23,15,1
1834,2020,LSU,27,10,5,5,0,.500,320,349,-29,27,44,43,19,12,0
1835,2020,Mississippi State,27,11,4,7,0,.364,235,309,-74,27,35,35,15,14,0
1836,2019,Arizona,27,12,4,8,0,.333,323,429,-106,27,53,52,19,17,0
1837,2019,Charlotte,27,13,7,6,0,.538,388,421,-33,27,53,51,16,10,0
1838,2019,Coastal Carolina,27,12,5,7,0,.417,364,366,-2,27,48,48,13,6,0
1839,2019,South Alabama,27,12,2,10,0,.167,221,368,-147,27,43,42,28,20,0
1840,2019,South Carolina,27,12,4,8,0,.333,269,313,-44,27,36,35,26,18,0
1841,2018,Colorado,27,12,5,7,0,.417,325,327,-2,27,36,34,23,19,0
1842,2018,Missouri,27,13,8,5,0,.615,476,331,145,27,36,35,25,20,1
1843,2018,New Mexico,27,12,3,9,0,.250,319,434,-115,27,54,54,18,14,0
1844,2018,Pitt,27,14,7,7,0,.500,359,389,-30,27,47,46,17,13,1
1845,2018,UTEP,27,12,1,11,0,.083,212,393,-181,27,46,40,21,17,1
1846,2018,UTSA,27,12,3,9,0,.250,170,374,-204,27,47,47,21,15,0
1847,2017,UCF,27,13,13,0,0,1.000,627,329,298,27,39,36,18,11,0
1848,2017,Cincinnati,27,12,4,8,0,.333,251,382,-131,27,43,42,27,20,1
1849,2017,Nevada,27,12,3,9,0,.250,338,407,-69,27,51,50,23,17,0
1850,2017,North Carolina,27,12,3,9,0,.250,312,375,-63,27,43,41,20,14,1
1851,2017,Oregon,27,13,7,6,0,.538,468,377,91,27,47,47,21,16,0
1852,2017,Pitt,27,12,5,7,0,.417,287,319,-32,27,41,41,16,10,1
1853,2017,Texas State,27,12,2,10,0,.167,207,403,-196,27,47,45,24,22,1
1854,2016,Rice,27,12,3,9,0,.250,303,448,-145,27,58,57,19,13,1
1855,2016,Rutgers,27,12,2,10,0,.167,188,450,-262,27,57,55,21,11,0
1856,2016,San Diego State,27,14,11,3,0,.786,493,283,210,27,36,35,9,8,0
1857,2016,Western Kentucky,27,14,11,3,0,.786,637,344,293,27,43,41,19,15,0
1858,2015,Florida Atlantic,27,12,3,9,0,.250,270,345,-75,27,42,41,20,12,2
1859,2015,Kansas,27,12,0,12,0,.000,183,553,-370,27,65,64,24,16,1
1860,2015,Kansas State,27,13,6,7,0,.462,389,409,-20,27,48,47,23,16,0
1861,2015,Louisiana Tech,27,13,9,4,0,.692,488,349,139,27,34,33,19,17,1
1862,2015,Louisville,27,13,8,5,0,.615,373,313,60,27,39,38,18,12,1
1863,2015,Nebraska,27,13,6,7,0,.462,427,362,65,27,41,40,24,16,0
1864,2015,Texas Tech,27,13,7,6,0,.538,586,567,19,27,69,68,18,9,1
1865,2015,Virginia,27,12,4,8,0,.333,309,386,-77,27,39,39,28,22,3
1866,2012,Boise State,27,13,11,2,0,.846,393,205,188,27,23,23,15,6,0
1867,2012,Connecticut,27,12,5,7,0,.417,213,238,-25,27,27,25,21,17,0
1868,2012,South Carolina,27,13,11,2,0,.846,410,237,173,27,25,24,20,17,0
1869,2012,Vanderbilt,27,13,9,4,0,.692,390,243,147,27,23,23,21,18,0
1870,2011,Michigan,27,13,11,2,0,.846,433,226,207,27,26,26,15,12,0
1871,2011,South Carolina,27,13,11,2,0,.846,391,239,152,27,25,22,24,17,1
1872,2010,Clemson,27,13,6,7,0,.462,312,244,68,27,27,25,24,19,0
1873,2010,Iowa,27,13,8,5,0,.615,376,221,155,27,26,26,14,11,0
1874,2010,Oregon,27,13,12,1,0,.923,611,243,368,27,24,24,21,17,2
1875,2010,Temple,27,12,8,4,0,.667,300,229,71,27,25,23,26,14,0
1876,2009,Texas,27,14,13,1,0,.929,550,234,316,27,26,25,21,15,0
1877,2008,Auburn,27,12,5,7,0,.417,208,216,-8,27,22,19,20,11,1
1878,2008,Virginia Tech,27,14,10,4,0,.714,309,234,75,27,25,23,21,15,1
1879,2008,Wake Forest,27,13,8,5,0,.615,273,238,35,27,24,23,20,17,0
1880,2008,West Virginia,27,13,9,4,0,.692,319,221,98,27,24,24,18,11,1
1881,2007,BYU,27,13,11,2,0,.846,391,241,150,27,22,21,21,18,0
1882,2007,Kansas,27,13,12,1,0,.923,556,213,343,27,25,24,11,7,1
1883,2007,Penn State,27,13,9,4,0,.692,394,228,166,27,27,27,19,13,0
