Rk,Season,Team,TD,G,W,L,T,W-L%,Pts,PtsO,PtDif,TD,XPA,XPM,XP%,FGA,FGM,FG%,2PM,Sfty
1,2008,Oklahoma,99,14,12,2,0,.857,716,343,373,99,99,94,94.9,13,8,61.5,1,1
2,2019,LSU,94,15,15,0,0,1.000,726,328,398,94,93,89,95.7,27,21,77.8,0,1
3,2011,Houston,93,14,13,1,0,.929,690,314,376,93,92,91,98.9,17,13,76.5,1,0
4,2018,Alabama,92,15,14,1,0,.933,684,271,413,92,92,83,90.2,20,15,75.0,0,2
5,2013,Florida State,91,14,14,0,0,1.000,723,170,553,91,94,94,100.0,22,21,95.5,0,0
6,2018,Clemson,90,15,15,0,0,1.000,664,197,467,90,90,88,97.8,18,12,66.7,0,0
7,2013,Baylor,90,13,11,2,0,.846,681,306,375,90,89,88,98.9,23,15,65.2,1,1
8,2008,Tulsa,90,14,11,3,0,.786,661,391,270,90,88,86,97.7,15,11,73.3,1,0
9,2012,Oregon,89,13,12,1,0,.923,645,281,364,89,83,81,97.6,14,7,50.0,4,0
10,2006,Hawaii,89,14,11,3,0,.786,656,337,319,89,82,75,91.5,17,13,76.5,3,1
11,2019,Clemson,88,15,14,1,0,.933,659,203,456,88,86,85,98.8,23,14,60.9,2,0
12,2019,Ohio State,88,14,13,1,0,.929,656,192,464,88,88,87,98.9,15,13,86.7,0,1
13,2014,Oregon,88,15,13,2,0,.867,681,354,327,88,83,79,95.2,21,18,85.7,4,0
14,2011,Oregon,88,14,12,2,0,.857,645,345,300,88,81,80,98.8,14,9,64.3,5,0
15,2005,Texas,88,13,13,0,0,1.000,652,213,439,88,85,76,89.4,18,14,77.8,2,1
16,2025,Indiana,87,16,16,0,0,1.000,666,187,479,87,87,87,100.0,21,19,90.5,0,0
17,2018,Oklahoma,87,14,12,2,0,.857,677,466,211,87,89,88,98.9,19,17,89.5,0,1
18,2005,USC,87,13,12,1,0,.923,638,297,341,87,86,83,96.5,12,11,91.7,0,0
19,2015,Baylor,86,13,10,3,0,.769,625,368,257,86,83,83,100.0,14,8,57.1,1,0
20,2014,Ohio State,86,15,14,1,0,.933,672,330,342,86,89,89,100.0,20,13,65.0,1,0
21,2013,Ohio State,86,14,12,2,0,.857,637,317,320,86,82,80,97.6,10,9,90.0,2,0
22,2025,North Texas,85,14,12,2,0,.857,631,371,260,85,77,77,100.0,14,12,85.7,4,0
23,2011,Wisconsin,85,14,11,3,0,.786,618,266,352,85,82,80,97.6,11,8,72.7,2,0
24,2020,Alabama,84,13,13,0,0,1.000,630,252,378,84,84,84,100.0,14,14,100.0,0,0
25,2017,UCF,84,13,13,0,0,1.000,627,329,298,84,81,80,98.8,18,13,72.2,1,1
26,2012,Louisiana Tech,84,12,9,3,0,.750,618,462,156,84,80,76,95.0,18,12,66.7,1,0
27,2023,Oregon,83,14,12,2,0,.857,619,231,388,83,75,75,100.0,18,12,66.7,5,0
28,2017,Oklahoma,83,14,12,2,0,.857,632,379,253,83,80,80,100.0,21,17,81.0,1,0
29,2014,Marshall,83,14,13,1,0,.929,638,294,344,83,83,83,100.0,21,17,81.0,0,0
30,2015,Bowling Green,82,14,10,4,0,.714,591,405,186,82,81,75,92.6,15,8,53.3,0,0
31,2015,Western Kentucky,82,14,12,2,0,.857,620,363,257,82,80,79,98.8,16,15,93.8,2,0
32,2008,Florida,82,14,13,1,0,.929,611,181,430,82,82,81,98.8,13,12,92.3,0,1
33,2003,Miami (OH),82,14,13,1,0,.929,602,272,330,82,82,80,97.6,15,10,66.7,0,0
34,2019,Alabama,81,13,11,2,0,.846,614,242,372,81,83,80,96.4,18,12,66.7,0,0
35,2016,Western Kentucky,81,14,11,3,0,.786,637,344,293,81,80,78,97.5,30,21,70.0,0,1
36,2014,Baylor,81,13,11,2,0,.846,627,332,295,81,82,81,98.8,26,18,69.2,0,0
37,2011,Boise State,81,13,12,1,0,.923,575,243,332,81,79,71,89.9,9,6,66.7,0,0
38,2011,Oklahoma State,81,13,12,1,0,.923,633,348,285,81,80,79,98.8,25,22,88.0,1,0
39,2010,Oregon,81,13,12,1,0,.923,611,243,368,81,73,72,98.6,17,13,76.5,7,0
40,2018,Memphis,80,14,8,6,0,.571,601,447,154,80,79,76,96.2,20,15,75.0,0,0
41,2013,Marshall,80,14,10,4,0,.714,590,321,269,80,80,77,96.3,14,11,78.6,0,0
42,2013,Oregon,80,13,11,2,0,.846,591,266,325,80,74,71,95.9,14,10,71.4,2,0
43,2011,Baylor,80,13,10,3,0,.769,589,484,105,80,78,75,96.2,17,10,58.8,2,0
44,2007,Oklahoma,80,14,11,3,0,.786,592,284,308,80,76,71,93.4,15,13,86.7,0,1
45,2004,Louisville,80,12,11,1,0,.917,597,236,361,80,77,77,100.0,15,12,80.0,1,1
46,2023,LSU,79,13,10,3,0,.769,592,364,228,79,78,78,100.0,15,12,80.0,1,1
47,2022,Tennessee,79,13,11,2,0,.846,599,296,303,79,78,75,96.2,20,16,80.0,1,0
48,2021,Western Kentucky,79,14,9,5,0,.643,619,411,208,79,73,72,98.6,29,23,79.3,2,0
49,2017,Memphis,79,13,10,3,0,.769,592,422,170,79,77,76,98.7,19,14,73.7,0,0
50,2016,Louisiana Tech,79,14,9,5,0,.643,620,470,150,79,79,78,98.7,27,22,81.5,0,1
51,2008,Texas Tech,79,13,11,2,0,.846,569,362,207,79,76,70,92.1,13,7,53.8,1,1
52,2007,Tulsa,79,14,10,4,0,.714,576,467,109,79,76,73,96.1,12,7,58.3,3,1
53,2002,Boise State,79,13,12,1,0,.923,593,240,353,79,78,75,96.2,21,14,66.7,0,1
54,2002,Kansas State,79,13,11,2,0,.846,582,154,428,79,74,65,87.8,16,11,68.8,4,1
55,2018,Houston,78,13,8,5,0,.615,571,483,88,78,76,75,98.7,11,8,72.7,2,0
56,2018,Ohio State,78,14,13,1,0,.929,593,357,236,78,76,76,100.0,18,13,72.2,0,2
57,2018,Utah State,78,13,11,2,0,.846,618,289,329,78,78,78,100.0,28,22,78.6,0,0
58,2016,Clemson,78,15,14,1,0,.933,588,270,318,78,74,72,97.3,19,14,73.7,2,1
59,2012,Texas A&M,78,13,11,2,0,.846,578,283,295,78,77,69,89.6,22,13,59.1,1,0
60,2003,Oklahoma,78,14,12,2,0,.857,601,214,387,78,76,74,97.4,22,19,86.4,1,0
61,2016,Oklahoma,77,13,11,2,0,.846,571,375,196,77,74,72,97.3,16,11,68.8,2,0
62,2016,South Florida,77,13,11,2,0,.846,569,411,158,77,76,75,98.7,13,10,76.9,0,0
63,2016,Washington,77,14,12,2,0,.857,585,248,337,77,76,75,98.7,20,16,80.0,0,0
64,2015,Texas Tech,77,13,7,6,0,.538,586,567,19,77,73,72,98.6,19,16,84.2,1,0
65,2013,Texas A&M,77,13,9,4,0,.692,575,419,156,77,77,73,94.8,13,10,76.9,0,0
66,2010,Boise State,77,13,12,1,0,.923,586,166,420,77,72,70,97.2,24,16,66.7,3,0
67,2010,Nevada,77,14,13,1,0,.929,574,300,274,77,77,76,98.7,17,12,70.6,0,0
68,2009,Houston,77,14,10,4,0,.714,591,421,170,77,73,65,89.0,25,20,80.0,2,0
69,2003,Boise State,77,14,13,1,0,.929,602,239,363,77,76,75,98.7,25,19,76.0,1,3
70,2024,Notre Dame,76,16,14,2,0,.875,578,248,330,76,74,73,98.6,27,15,55.6,2,0
71,2024,Ohio State,76,16,14,2,0,.875,571,206,365,76,76,76,100.0,17,13,76.5,0,0
72,2022,USC,76,14,11,3,0,.786,579,409,170,76,74,74,100.0,22,15,68.2,1,1
73,2022,Texas Christian,76,15,13,2,0,.867,582,435,147,76,71,68,95.8,21,18,85.7,2,0
74,2021,Pitt,76,14,11,3,0,.786,580,331,249,76,73,69,94.5,21,17,81.0,0,1
75,2014,Texas Christian,76,13,12,1,0,.923,604,247,357,76,77,76,98.7,28,22,78.6,0,0
76,2012,Baylor,76,13,8,5,0,.615,578,484,94,76,72,72,100.0,27,16,59.3,1,0
77,2009,Boise State,76,14,14,0,0,1.000,591,240,351,76,68,66,97.1,26,19,73.1,5,1
78,2008,Missouri,76,14,10,4,0,.714,591,381,210,76,73,73,100.0,27,20,74.1,0,1
79,2007,Hawaii,76,13,12,1,0,.923,564,331,233,76,74,70,94.6,17,12,70.6,0,1
80,2003,Texas Tech,76,13,8,5,0,.615,552,442,110,76,71,66,93.0,13,8,61.5,3,0
81,2022,Georgia,75,15,15,0,0,1.000,616,214,402,75,74,73,98.6,32,27,84.4,2,1
82,2022,Ohio State,75,13,11,2,0,.846,575,273,302,75,75,74,98.7,20,17,85.0,0,0
83,2021,Ohio State,75,13,11,2,0,.846,594,296,298,75,76,76,100.0,21,20,95.2,0,1
84,2019,Oklahoma,75,14,12,2,0,.857,590,382,208,75,75,75,100.0,21,19,90.5,1,0
85,2018,UCF,75,13,12,1,0,.923,562,295,267,75,74,74,100.0,14,12,85.7,1,0
86,2017,Florida Atlantic,75,14,11,3,0,.786,568,318,250,75,69,65,94.2,21,15,71.4,4,0
87,2017,Ohio State,75,14,12,2,0,.857,576,266,310,75,71,71,100.0,21,17,81.0,1,1
88,2016,Western Michigan,75,14,13,1,0,.929,582,277,305,75,73,71,97.3,24,19,79.2,1,1
89,2015,Houston,75,14,13,1,0,.929,566,290,276,75,74,75,101.4,17,13,76.5,0,1
90,2015,Southern Mississippi,75,14,9,5,0,.643,559,358,201,75,74,70,94.6,19,13,68.4,0,0
91,2014,Western Kentucky,75,13,8,5,0,.615,577,519,58,75,72,71,98.6,21,16,76.2,2,0
92,2013,Fresno State,75,13,11,2,0,.846,564,394,170,75,75,71,94.7,16,11,68.8,1,0
93,2010,Auburn,75,14,14,0,0,1.000,577,337,240,75,75,74,98.7,22,17,77.3,0,1
94,2007,Florida,75,13,9,4,0,.692,552,331,221,75,74,72,97.3,15,10,66.7,0,0
95,2004,Utah,75,12,12,0,0,1.000,544,234,310,75,75,71,94.7,7,7,100.0,0,1
96,2023,USC,74,13,8,5,0,.615,544,447,97,74,68,66,97.1,15,10,66.7,2,0
97,2019,UCF,74,13,10,3,0,.769,564,299,265,74,72,71,98.6,17,15,88.2,1,1
98,2017,Oklahoma State,74,13,10,3,0,.769,585,382,203,74,70,70,100.0,29,23,79.3,1,0
99,2014,Michigan State,74,13,11,2,0,.846,559,280,279,74,73,73,100.0,22,14,63.6,0,0
100,2008,Rice,74,13,10,3,0,.769,537,433,104,74,73,73,100.0,10,6,60.0,1,0
101,2008,Texas,74,13,12,1,0,.923,551,244,307,74,72,72,100.0,14,11,78.6,1,0
102,2004,Boise State,74,12,11,1,0,.917,587,308,279,74,71,69,97.2,27,24,88.9,0,1
103,2024,Miami (FL),73,13,10,3,0,.769,571,329,242,73,66,66,100.0,20,19,95.0,5,0
104,2023,Liberty,73,14,13,1,0,.929,536,340,196,73,73,71,97.3,15,9,60.0,0,0
105,2022,Utah,73,14,10,4,0,.714,541,300,241,73,70,69,98.6,14,10,71.4,2,0
106,2021,Alabama,73,15,13,2,0,.867,598,302,296,73,72,71,98.6,29,23,79.3,2,0
107,2016,Alabama,73,15,14,1,0,.933,582,195,387,73,73,72,98.6,29,22,75.9,0,0
