Rk,Season,Team,TD,G,W,L,T,W-L%,Pts,PtsO,PtDif,TD,XPA,XPM,XP%,FGA,FGM,FG%,2PM,Sfty
2801,2025,UCLA,24,12,3,9,0,.250,218,401,-183,24,22,22,100.0,20,16,80.0,2,0
2802,2023,Akron,24,12,2,10,0,.167,195,336,-141,24,24,24,100.0,16,9,56.3,0,0
2803,2022,Georgia Tech,24,12,5,7,0,.417,206,341,-135,24,21,20,95.2,19,14,73.7,0,0
2804,2021,Temple,24,12,3,9,0,.250,196,450,-254,24,23,23,100.0,16,9,56.3,1,0
2805,2020,Eastern Michigan,24,6,2,4,0,.333,199,216,-17,24,19,18,94.7,13,11,84.6,1,0
2806,2020,San Diego State,24,8,4,4,0,.500,197,142,55,24,24,23,95.8,14,10,71.4,0,0
2807,2020,Syracuse,24,11,1,10,0,.091,196,360,-164,24,24,23,95.8,11,9,81.8,0,1
2808,2020,UTEP,24,8,3,5,0,.375,184,248,-64,24,23,23,100.0,9,5,55.6,1,0
2809,2019,Vanderbilt,24,12,3,9,0,.250,198,381,-183,24,22,22,100.0,12,10,83.3,1,0
2810,2017,San Jose State,24,13,2,11,0,.154,206,542,-336,24,24,20,83.3,17,14,82.4,0,0
2811,2016,Buffalo,24,12,2,10,0,.167,198,388,-190,24,23,21,91.3,18,11,61.1,0,0
2812,2016,Fresno State,24,12,1,11,0,.083,212,371,-159,24,23,23,100.0,17,15,88.2,0,0
2813,2015,Charlotte,24,12,2,10,0,.167,210,435,-225,24,0,24,,27,14,51.9,0,0
2814,2015,Kansas,24,12,0,12,0,.000,183,553,-370,24,7,21,300.0,11,6,54.5,0,0
2815,2014,Southern Mississippi,24,12,3,9,0,.250,228,425,-197,24,23,21,91.3,25,19,76.0,0,0
2816,2014,Tulane,24,12,3,9,0,.250,192,341,-149,24,24,22,91.7,16,8,50.0,0,0
2817,2014,Vanderbilt,24,12,3,9,0,.250,206,399,-193,24,22,22,100.0,12,8,66.7,2,0
2818,2013,Southern Mississippi,24,12,1,11,0,.083,205,503,-298,24,24,24,100.0,18,11,61.1,0,1
2819,2012,Connecticut,24,12,5,7,0,.417,213,238,-25,24,24,24,100.0,22,15,68.2,0,0
2820,2011,Kent State,24,12,5,7,0,.417,205,291,-86,24,23,18,78.3,17,13,76.5,1,1
2821,2011,Ole Miss,24,12,2,10,0,.167,193,385,-192,24,22,20,90.9,11,9,81.8,1,0
2822,2010,New Mexico,24,12,1,11,0,.083,190,532,-342,24,22,22,100.0,9,8,88.9,0,0
2823,2010,San Jose State,24,13,1,12,0,.077,209,451,-242,24,22,21,95.5,22,14,63.6,1,0
2824,2009,Eastern Michigan,24,12,0,12,0,.000,197,459,-262,24,22,21,95.5,17,10,58.8,1,0
2825,2009,Tulane,24,12,3,9,0,.250,193,440,-247,24,23,22,95.7,13,9,69.2,0,0
2826,2008,Virginia,24,12,5,7,0,.417,193,260,-67,24,23,22,95.7,15,9,60.0,0,0
2827,2007,UAB,24,12,2,10,0,.167,235,421,-186,24,23,21,91.3,28,22,78.6,1,1
2828,2007,Nevada-Las Vegas,24,12,2,10,0,.167,218,343,-125,24,22,21,95.5,22,17,77.3,1,0
2829,2007,Syracuse,24,12,2,10,0,.167,197,418,-221,24,24,23,95.8,14,10,71.4,0,0
2830,2006,Duke,24,12,0,12,0,.000,179,406,-227,24,20,15,75.0,11,4,36.4,2,2
2831,2006,Idaho,24,12,4,8,0,.333,203,417,-214,24,23,23,100.0,17,12,70.6,0,0
2832,2004,Penn State,24,11,4,7,0,.364,195,168,27,24,23,22,95.7,13,7,53.8,1,3
2833,2003,Baylor,24,12,3,9,0,.250,191,455,-264,24,24,24,100.0,13,7,53.8,0,1
2834,2003,Stanford,24,11,4,7,0,.364,186,324,-138,24,22,21,95.5,13,7,53.8,0,0
2835,2003,Troy,24,12,6,6,0,.500,185,272,-87,24,24,21,87.5,13,6,46.2,0,1
2836,2002,Kent State,24,12,3,9,0,.250,202,424,-222,24,24,22,91.7,14,12,85.7,0,0
2837,2025,Ball State,23,12,4,8,0,.333,190,358,-168,23,20,19,95.0,16,9,56.3,2,1
2838,2024,Northwestern,23,12,4,8,0,.333,214,316,-102,23,21,21,100.0,24,17,70.8,1,1
2839,2024,Purdue,23,12,1,11,0,.083,189,479,-290,23,20,20,100.0,15,9,60.0,2,0
2840,2024,UCLA,23,12,5,7,0,.417,221,303,-82,23,21,21,100.0,25,20,80.0,1,0
2841,2023,Nevada,23,12,2,10,0,.167,208,401,-193,23,19,19,100.0,20,15,75.0,2,1
2842,2021,Indiana,23,12,2,10,0,.167,207,399,-192,23,22,22,100.0,18,13,72.2,1,0
2843,2020,Central Michigan,23,6,3,3,0,.500,188,181,7,23,17,16,94.1,8,8,100.0,4,1
2844,2020,Louisiana-Monroe,23,10,0,10,0,.000,163,420,-257,23,20,15,75.0,5,2,40.0,1,1
2845,2020,Michigan,23,6,2,4,0,.333,170,207,-37,23,21,21,100.0,9,3,33.3,1,0
2846,2020,Wisconsin,23,7,4,3,0,.571,176,122,54,23,23,23,100.0,8,5,62.5,0,0
2847,2019,Northwestern,23,12,3,9,0,.250,196,283,-87,23,19,18,94.7,14,10,71.4,0,2
2848,2017,Charlotte,23,12,1,11,0,.083,170,393,-223,23,19,16,84.2,13,4,30.8,2,0
2849,2016,Rutgers,23,12,2,10,0,.167,188,450,-262,23,22,20,90.9,14,10,71.4,0,0
2850,2014,South Florida,23,12,4,8,0,.333,206,324,-118,23,23,23,100.0,17,13,76.5,0,1
2851,2013,Kansas,23,12,3,9,0,.250,184,382,-198,23,22,19,86.4,15,11,73.3,0,0
2852,2013,Purdue,23,12,1,11,0,.083,179,456,-277,23,22,21,95.5,12,6,50.0,0,1
2853,2010,Akron,23,12,1,11,0,.083,187,421,-234,23,23,19,82.6,15,10,66.7,0,0
2854,2009,New Mexico,23,12,1,11,0,.083,196,431,-235,23,21,19,90.5,21,13,61.9,0,0
2855,2008,Miami (OH),23,12,2,10,0,.167,221,392,-171,23,23,23,100.0,23,20,87.0,0,0
2856,2008,Mississippi State,23,12,4,8,0,.333,183,296,-113,23,23,22,95.7,13,7,53.8,0,1
2857,2007,Florida International,23,12,1,11,0,.083,181,469,-288,23,17,14,82.4,12,7,58.3,3,1
2858,2007,Temple,23,12,4,8,0,.333,197,315,-118,23,19,18,94.7,21,13,61.9,1,0
2859,2006,Syracuse,23,12,4,8,0,.333,209,295,-86,23,21,21,100.0,18,16,88.9,1,0
2860,2005,North Carolina,23,11,5,6,0,.455,198,288,-90,23,23,23,100.0,21,11,52.4,0,2
2861,2005,Tennessee,23,11,5,6,0,.455,205,205,0,23,21,21,100.0,19,14,73.7,1,1
2862,2004,Utah State,23,11,3,8,0,.273,184,333,-149,23,19,16,84.2,10,8,80.0,3,0
2863,2003,Eastern Michigan,23,12,3,9,0,.250,205,371,-166,23,23,23,100.0,17,14,82.4,0,1
2864,2003,Illinois,23,12,1,11,0,.083,203,398,-195,23,21,21,100.0,23,14,60.9,1,0
2865,2025,Nevada,22,12,3,9,0,.250,211,330,-119,22,20,20,100.0,25,19,76.0,1,0
2866,2024,Kennesaw State,22,12,2,10,0,.167,198,374,-176,22,21,20,95.2,18,14,77.8,1,1
2867,2024,Kent State,22,12,0,12,0,.000,167,529,-362,22,20,20,100.0,9,5,55.6,0,0
2868,2023,East Carolina,22,12,2,10,0,.167,208,269,-61,22,21,20,95.2,25,18,72.0,1,0
2869,2023,Iowa,22,14,10,4,0,.714,216,207,9,22,20,19,95.0,27,19,70.4,1,3
2870,2023,Michigan State,22,12,4,8,0,.333,191,340,-149,22,20,20,100.0,18,13,72.2,0,0
2871,2022,Colorado,22,12,1,11,0,.083,185,534,-349,22,21,20,95.2,13,11,84.6,0,0
2872,2021,Connecticut,22,12,1,11,0,.083,187,462,-275,22,19,19,100.0,17,12,70.6,0,0
2873,2020,Arizona State,22,4,2,2,0,.500,161,93,68,22,18,18,100.0,5,3,60.0,0,1
2874,2020,Charlotte,22,6,2,4,0,.333,162,195,-33,22,18,18,100.0,7,4,57.1,0,0
2875,2020,Colorado,22,6,4,2,0,.667,171,190,-19,22,21,21,100.0,10,6,60.0,0,0
2876,2020,Stanford,22,6,4,2,0,.667,176,190,-14,22,18,17,94.4,11,7,63.6,3,0
2877,2015,North Texas,22,12,1,11,0,.083,182,495,-313,22,21,21,100.0,14,9,64.3,0,0
2878,2014,Eastern Michigan,22,12,2,10,0,.167,182,491,-309,22,22,20,90.9,12,8,66.7,0,0
2879,2014,Kent State,22,12,2,9,0,.182,180,319,-139,22,18,16,88.9,18,10,55.6,1,0
2880,2014,UTSA,22,12,4,8,0,.333,205,311,-106,22,22,20,90.9,21,17,81.0,0,0
2881,2013,Western Michigan,22,12,1,11,0,.083,206,425,-219,22,20,20,100.0,20,16,80.0,0,0
2882,2011,Kentucky,22,12,5,7,0,.417,190,296,-106,22,21,20,95.2,14,12,85.7,1,0
2883,2010,Colorado State,22,12,3,9,0,.250,198,416,-218,22,21,18,85.7,22,16,72.7,0,0
2884,2008,Army,22,12,3,9,0,.250,177,284,-107,22,22,21,95.5,12,8,66.7,0,0
2885,2008,UCLA,22,12,4,8,0,.333,212,348,-136,22,22,21,95.5,22,19,86.4,1,0
2886,2006,Arizona,22,12,6,6,0,.500,199,235,-36,22,22,22,100.0,20,15,75.0,0,0
2887,2006,Florida Atlantic,22,12,5,7,0,.417,181,299,-118,22,20,18,90.0,14,9,64.3,1,1
2888,2005,Duke,22,11,1,10,0,.091,177,408,-231,22,21,20,95.2,10,7,70.0,1,1
2889,2005,Kent State,22,11,1,10,0,.091,180,331,-151,22,21,20,95.2,11,8,72.7,1,1
2890,2004,Ole Miss,22,11,4,7,0,.364,215,278,-63,22,19,19,100.0,27,20,74.1,2,0
2891,2004,Mississippi State,22,11,3,8,0,.273,173,280,-107,22,21,21,100.0,10,6,60.0,0,1
2892,2002,Rutgers,22,12,1,11,0,.083,167,397,-230,22,19,18,94.7,13,5,38.5,1,0
2893,2024,Southern Mississippi,21,12,1,11,0,.083,183,453,-270,21,18,15,83.3,16,10,62.5,3,0
2894,2022,Northwestern,21,12,1,11,0,.083,165,340,-175,21,18,18,100.0,10,7,70.0,0,0
2895,2021,Vanderbilt,21,12,2,10,0,.167,189,430,-241,21,15,15,100.0,19,14,73.7,3,0
2896,2020,Florida Atlantic,21,9,5,4,0,.556,170,157,13,21,21,20,95.2,10,8,80.0,0,0
2897,2020,Navy,21,10,3,7,0,.300,166,303,-137,21,18,16,88.9,10,6,60.0,2,1
2898,2020,Nebraska,21,8,3,5,0,.375,185,235,-50,21,20,20,100.0,15,13,86.7,0,0
2899,2019,Old Dominion,21,12,1,11,0,.083,195,358,-163,21,18,18,100.0,20,15,75.0,3,0
