season,team_id,team,through_week,division,conference,adj_off_epa,adj_def_epa,net_adj_epa,EPAplay_off,EPAplay_def,success_off,success_def,early_down_EPA_off,early_down_EPA_def,explosive_off,explosive_def,havoc_off,havoc_def,EPAdrive_off,EPAdrive_def,drivesgame_off,drivesgame_def,playsdrive_off,playsdrive_def,yardsdrive_off,yardsdrive_def,passrate_off,rushrate_off,red_zone_success_off,red_zone_success_def,third_down_success_off,third_down_success_def,third_down_distance_off,third_down_distance_def,plays_off,plays_def,EPAplay_off_pass,EPAplay_off_rush,EPAplay_def_pass,EPAplay_def_rush,success_off_pass,success_off_rush,success_def_pass,success_def_rush,explosive_off_pass,explosive_off_rush,explosive_def_pass,explosive_def_rush
2004,5,UAB,1,fbs,Conference USA,,,,0.14303,0.28016,0.43038,0.51667,0.08283,0.38090,0.07595,0.08333,0.10127,0.03333,0.70620,1.40082,16.00000,12.00000,4.93750,5.00000,26.06250,37.08333,0.62025,0.37975,0.60000,0.62500,0.40000,0.50000,8.00000,5.16667,79,60,0.11729,0.18506,0.25828,0.34582,0.38776,0.50000,0.48889,0.60000,0.10204,0.03333,0.08889,0.06667
2004,25,California,1,fbs,Pac-10,,,,0.05440,0.15497,0.51351,0.44444,0.12465,0.04505,0.05405,0.05556,0.06757,0.02778,0.30965,0.85830,13.00000,13.00000,5.69231,5.53846,31.53846,30.92308,0.52703,0.47297,0.70000,0.53333,0.38462,0.50000,5.61538,6.78571,74,72,-0.03055,0.14906,0.19492,0.04354,0.41026,0.62857,0.41509,0.52632,0.10256,0.00000,0.05660,0.05263
2004,26,UCLA,1,fbs,Pac-10,,,,-0.07161,-0.09983,0.40984,0.35385,0.03733,-0.12401,0.08197,0.09231,0.13115,0.13846,-0.33604,-0.46351,13.00000,14.00000,4.69231,4.64286,21.00000,26.28571,0.39344,0.60656,0.50000,0.25000,0.38462,0.28571,7.84615,9.71429,61,65,-0.12111,-0.03951,-0.04693,-0.17919,0.33333,0.45946,0.38462,0.30769,0.12500,0.05405,0.15385,0.00000
2004,30,USC,1,fbs,Pac-10,,,,0.00435,-0.23665,0.40000,0.29310,-0.02830,-0.37746,0.07273,0.08621,0.10909,0.17241,0.02177,-1.14379,11.00000,12.00000,5.00000,4.83333,27.36364,19.91667,0.52727,0.47273,0.00000,0.25000,0.50000,0.38462,7.57143,10.00000,55,58,0.06157,-0.05946,-0.47024,0.05085,0.41379,0.38462,0.28125,0.30769,0.10345,0.03846,0.03125,0.15385
2004,38,Colorado,1,fbs,Big 12,,,,0.09127,-0.14010,0.38028,0.38095,0.18898,-0.21870,0.05634,0.04762,0.16901,0.17460,0.49847,-0.67896,13.00000,13.00000,5.46154,4.84615,31.38462,16.38462,0.50704,0.49296,0.33333,0.53846,0.33333,0.38462,8.40000,8.15385,71,63,0.36995,-0.19537,-0.11434,-0.17926,0.50000,0.25714,0.36842,0.40000,0.08333,0.02857,0.07895,0.00000
2004,41,Connecticut,1,fbs,Big East,,,,0.07070,-0.26885,0.43478,0.29730,-0.05452,-0.45741,0.08696,0.08108,0.05797,0.21622,0.40654,-1.53038,12.00000,13.00000,5.75000,5.69231,31.41667,16.69231,0.56522,0.43478,0.30769,0.40000,0.47059,0.50000,6.41176,8.83333,69,74,0.07551,0.06445,-0.44988,-0.03126,0.41026,0.46667,0.23810,0.37500,0.07692,0.10000,0.07143,0.09375
2004,59,Georgia Tech,1,fbs,ACC,,,,0.24038,-0.21748,0.53846,0.35484,0.17672,-0.34179,0.07692,0.08065,0.07692,0.22581,1.20192,-0.84273,13.00000,16.00000,5.00000,3.87500,32.07692,13.81250,0.29231,0.70769,0.63158,0.00000,0.69231,0.41667,5.46154,8.25000,65,62,0.70992,0.04645,-0.25486,-0.16216,0.57895,0.52174,0.35135,0.36000,0.21053,0.02174,0.08108,0.08000
2004,62,Hawai'i,1,fbs,Western Athletic,,,,0.28016,0.14303,0.51667,0.43038,0.38090,0.08283,0.08333,0.07595,0.03333,0.10127,1.40082,0.70620,12.00000,16.00000,5.00000,4.93750,37.08333,26.06250,0.75000,0.25000,0.62500,0.60000,0.50000,0.40000,5.16667,8.00000,60,79,0.25828,0.34582,0.11729,0.18506,0.48889,0.60000,0.38776,0.50000,0.08889,0.06667,0.10204,0.03333
2004,66,Iowa State,1,fbs,Big 12,,,,-0.09494,-0.42841,0.36585,0.30645,-0.09862,-0.21545,0.06098,0.01613,0.08537,0.11290,-0.55609,-2.04317,14.00000,13.00000,5.85714,4.76923,24.21429,18.84615,0.32927,0.67073,0.33333,0.66667,0.45000,0.23077,5.80000,8.69231,82,62,-0.40149,0.05554,-0.51157,-0.24021,0.22222,0.43636,0.27907,0.36842,0.03704,0.07273,0.02326,0.00000
2004,87,Notre Dame,1,fbs,FBS Independents,,,,-0.12897,0.12358,0.26984,0.45614,-0.29343,0.22768,0.11111,0.03509,0.15873,0.08772,-0.67711,0.54183,12.00000,13.00000,5.25000,4.38462,20.83333,20.15385,0.50794,0.49206,0.50000,0.71429,0.43750,0.50000,8.87500,5.14286,63,57,0.05049,-0.31422,0.20764,-0.11181,0.31250,0.22581,0.50000,0.33333,0.15625,0.06452,0.02381,0.06667
2004,103,Boston College,1,fbs,Big East,,,,0.25672,-0.06313,0.48000,0.38806,0.10926,-0.13653,0.08000,0.08955,0.04000,0.11940,1.60450,-0.35246,12.00000,12.00000,6.25000,5.58333,36.75000,24.00000,0.42667,0.57333,0.50000,0.33333,0.57895,0.43750,4.84211,8.50000,75,67,0.45430,0.10968,0.11656,-0.34648,0.56250,0.41860,0.43902,0.30769,0.09375,0.06977,0.12195,0.03846
