p_pred,p_actual,n
0.31426011071460364,0.2537313432835821,67
0.3394910650879964,0.3125,144
0.3641060628542074,0.34472934472934474,351
0.3885464165692096,0.3543788187372709,491
0.4139516430328269,0.41866913123844735,1082
0.43859304405042926,0.43610967408173823,1933
0.4631235961683596,0.4566178972439605,2939
0.487921148924096,0.4829560949004636,3667
0.5126670239741831,0.518461874590343,4577
0.5374803222972991,0.5353898161842383,4733
0.5620938014240717,0.5597512216792536,4502
0.5868119350927516,0.5887721238938053,3616
0.6115785452684572,0.6105527638190955,2786
0.6363047989270872,0.6463119709794438,1654
0.6610755261328234,0.6644144144144144,888
0.6867365536552917,0.714902807775378,463
0.7110368750350964,0.725,200
0.7352430915437036,0.704225352112676,71
