stat,group,outcome,pearson_r,pearson_p,spearman_r,spearman_p,n
RBI/G,hitting,wl,0.6566,6.5454257524253095e-68,0.6534,4.808272976069445e-67,540
RBI/G,hitting,elo_delta,0.648,1.2548456180966019e-65,0.6401,1.3875657108424857e-63,540
RBI/G,hitting,elo_end,0.6788,3.6517241649110026e-74,0.6734,1.3236747934512243e-72,540
TB/G,hitting,wl,0.5292,2.6965828165392195e-40,0.5269,6.6066988615998105e-40,540
TB/G,hitting,elo_delta,0.5265,7.768521354455297e-40,0.5196,1.124322291939092e-38,540
TB/G,hitting,elo_end,0.548,1.2102614046105456e-43,0.5443,5.561593128315668e-43,540
GIDP/G,hitting,wl,0.0071,0.8693227683279011,0.0031,0.9422798400173942,540
GIDP/G,hitting,elo_delta,-0.0675,0.11710769865631347,-0.069,0.10902079798532237,540
GIDP/G,hitting,elo_end,0.0397,0.35665753493809504,0.0384,0.37312730499074725,540
HBP%,hitting,wl,0.1785,3.0099218708596373e-05,0.1791,2.8267197335645328e-05,540
HBP%,hitting,elo_delta,0.1319,0.0021327691958563434,0.1234,0.004084315782748209,540
HBP%,hitting,elo_end,0.1849,1.534171759005285e-05,0.184,1.68623604092014e-05,540
SH/G,hitting,wl,-0.0909,0.03469892644057042,-0.1057,0.014003069436716122,540
SH/G,hitting,elo_delta,-0.045,0.2971010687624929,-0.067,0.12003352768832799,540
SH/G,hitting,elo_end,-0.1405,0.0010585661558169645,-0.1527,0.00037022409211947004,540
SF/G,hitting,wl,0.2778,5.0165569005151216e-11,0.2716,1.3811715084577629e-10,540
SF/G,hitting,elo_delta,0.2678,2.527240025078119e-10,0.2632,5.209859460832894e-10,540
SF/G,hitting,elo_end,0.3085,2.259774276413881e-13,0.2992,1.25258156915558e-12,540
IBB_bat%,hitting,wl,0.2999,1.0905289192351457e-12,0.2951,2.6154589423002087e-12,540
IBB_bat%,hitting,elo_delta,0.2032,1.92733411935337e-06,0.2015,2.3467460137172377e-06,540
IBB_bat%,hitting,elo_end,0.2773,5.46649341349129e-11,0.2784,4.560328902311294e-11,540
LOB/G,hitting,wl,0.322,1.726818470022626e-14,0.309,2.0723108571416072e-13,540
LOB/G,hitting,elo_delta,0.2526,2.61224360300021e-09,0.2459,7.0383754981131965e-09,540
LOB/G,hitting,elo_end,0.3547,1.8673716126363787e-17,0.3439,1.9547335539323522e-16,540
CS%,hitting,wl,-0.2041,1.7240654998380743e-06,-0.1872,1.1940519216409541e-05,540
CS%,hitting,elo_delta,-0.2282,8.219028377798136e-08,-0.2196,2.5458337917907793e-07,540
CS%,hitting,elo_end,-0.2345,3.491073559981675e-08,-0.2077,1.1182308864811877e-06,540
CG/G,pitching,wl,0.168,8.740310534293085e-05,0.154,0.00032801120968827425,540
CG/G,pitching,elo_delta,0.1113,0.009660455283566434,0.0965,0.024909781318459674,540
CG/G,pitching,elo_end,0.1947,5.151915921834792e-06,0.176,3.920727244795652e-05,540
SHO/G,pitching,wl,0.212,6.611251089379447e-07,0.2069,1.2443614131133362e-06,540
SHO/G,pitching,elo_delta,0.1561,0.00027010178516981244,0.1582,0.00022418463893455876,540
SHO/G,pitching,elo_end,0.2234,1.5553373018947486e-07,0.2159,4.0681975881088307e-07,540
BK/G,pitching,wl,-0.1751,4.297153898474006e-05,-0.1589,0.0002086514130653697,540
BK/G,pitching,elo_delta,-0.1764,3.74991909554803e-05,-0.1517,0.00040477370691091726,540
BK/G,pitching,elo_end,-0.1812,2.2824965094206178e-05,-0.1638,0.0001313876643708557,540
WP/G,pitching,wl,-0.2161,3.9901284832344353e-07,-0.2073,1.1791060570140177e-06,540
WP/G,pitching,elo_delta,-0.1691,7.852064586571628e-05,-0.1734,5.105055837597695e-05,540
WP/G,pitching,elo_end,-0.2158,4.1220090938652015e-07,-0.2144,4.933279388447336e-07,540
BF/G,pitching,wl,-0.6144,2.3990338039693614e-57,-0.6169,6.278278790881083e-58,540
BF/G,pitching,elo_delta,-0.546,2.719925707211509e-43,-0.5419,1.5570991279371163e-42,540
BF/G,pitching,elo_end,-0.6372,7.375386090133493e-63,-0.6383,3.93794930861825e-63,540
PtchW/G,advanced,wl,0.7993,4.603126915558059e-121,0.7955,3.798323505754557e-119,540
PtchW/G,advanced,elo_delta,0.7169,2.5297877381207642e-86,0.7103,4.276730094631564e-84,540
PtchW/G,advanced,elo_end,0.8084,6.231940568804964e-126,0.8033,3.664249533630755e-123,540
