point_biserial_r,p,accuracy,log_loss,n,stat,kind
0.1614,4.009872112256934e-207,0.5703,0.67772,35737,ERA,same
0.0989,2.1386103211777394e-78,0.5519,0.68601,35737,ERA,prior
0.1592,1.4313882691377728e-201,0.5713,0.67808,35737,ERA+,same
0.0938,1.2272406056483382e-70,0.5487,0.6865,35737,ERA+,prior
0.1593,1.0439288270185833e-201,0.5677,0.67807,35737,WHIP,same
0.1033,2.0747902644993141e-85,0.553,0.68556,35737,WHIP,prior
0.1457,1.0262994673882027e-168,0.5644,0.68019,35737,FIP,same
0.092,5.694162399220564e-68,0.5492,0.68667,35737,FIP,prior
0.1363,7.507538733152445e-148,0.5612,0.68153,35737,SO/BB,same
0.0889,1.0954556912621147e-63,0.5435,0.68695,35737,SO/BB,prior
0.1627,2.039931130869405e-210,0.5704,0.67751,35737,RA/G,same
0.0977,1.5214536971771016e-76,0.5516,0.68613,35737,RA/G,prior
0.1455,2.33209010557915e-168,0.5613,0.68022,35737,R/Gm,same
0.0859,1.5372897188010467e-59,0.5451,0.68722,35737,R/Gm,prior
0.1915,2.27160913816355e-292,0.5808,0.67224,35737,RunDiff/G,same
0.1139,1.7658084523987504e-103,0.5566,0.6844,35737,RunDiff/G,prior
0.1451,2.731304358178317e-167,0.5604,0.68029,35737,OPS+,same
0.0849,3.8996500489032534e-58,0.5443,0.68731,35737,OPS+,prior
0.1392,4.281616814959212e-154,0.5602,0.68192,35737,OBP,same
0.0837,1.2888000610138503e-56,0.5424,0.68769,35737,OBP,prior
0.1259,3.731048794322558e-126,0.554,0.683,35737,SLG,same
0.0709,4.515742112912065e-41,0.5404,0.68842,35737,SLG,prior
0.1373,5.697065891838978e-150,0.5593,0.68142,35737,OPS,same
0.0794,4.32480972325802e-51,0.543,0.68777,35737,OPS,prior
0.0953,7.026128080050782e-73,0.5457,0.68685,35737,BA,same
0.0396,7.343569989372386e-14,0.5337,0.69022,35737,BA,prior
