games_played_cutoff,n,r_prior,acc_prior,ll_prior,r_roll,acc_roll,ll_roll,acc_combo,ll_combo,combo_beta_prior,combo_beta_roll
5,34560,0.1134,0.5565,0.68435,0.1208,0.5561,0.68344,0.5624,0.6814,0.1397,0.1322
10,33411,0.1129,0.5568,0.6844,0.1264,0.5558,0.68274,0.5635,0.68106,0.1281,0.1511
20,31116,0.1116,0.5558,0.6844,0.133,0.557,0.68174,0.5635,0.68047,0.114,0.1735
30,28858,0.1145,0.5568,0.68414,0.1369,0.5583,0.68126,0.5641,0.68004,0.1124,0.185
40,26592,0.1128,0.5577,0.68412,0.1427,0.5608,0.68024,0.5645,0.67935,0.0968,0.2059
50,24317,0.1126,0.5576,0.68427,0.145,0.5625,0.68002,0.565,0.67925,0.0908,0.2162
60,22088,0.1131,0.5576,0.68426,0.1456,0.5636,0.67997,0.5664,0.67924,0.0889,0.22
81,17346,0.1147,0.5579,0.68396,0.1548,0.5679,0.67844,0.5705,0.6779,0.0768,0.2488
100,13093,0.1124,0.5572,0.68441,0.1634,0.5687,0.67722,0.5721,0.67693,0.0563,0.2789
130,6622,0.1171,0.5563,0.68406,0.1672,0.5711,0.67679,0.577,0.67646,0.0607,0.2826
