Rk,Season,Team,Lg,BtRuns,GP,W,L,WL%,Bat#,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,LOB,R/Gm,XBH,TOB,TOBwe,Outs,RC,BAbip,RP,BtRuns.1,BtWins,ISO,AB/SO,SB%,SBatt,Hitting AIR,franchise,Rk_pit,Team_pit,Lg_pit,W_pit,GP_pit,W.1,L_pit,WL%_pit,ERA,G,CG,SHO,SV,IP,H_pit,R_pit,ER,HR_pit,BB_pit,IBB_pit,SO_pit,HBP_pit,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,PtchR,PtchW,WPA,WPA/LI,Clutch,RE24,REW,aLI,elo_start,elo_end,elo_delta,BtRuns/G,PtchR/G,RC/G,RA/G,RunDiff/G,BB%,SO%,HR%,XBH%,SV/G,WPA/G,Clutch/G,RE24/G,wl
1,2017,HOU,AL,200,162,101,61,0.623,40,6271,5611,896,1581,977,346,20,238,854,98,42,509,1087,0.282,0.346,0.478,0.823,123,2681,139,70,11,61,27,1094,5.5,604,2160,2222,4283,937,0.309,1512,200,18.9,0.196,5.2,70.0,140,99,HOU,20,HOU,AL,101,162,101,61,0.623,4.12,162,1,0,45,1446.0,1314,700,662,192,522,17,1593,70,4,86,6111,99,3.91,1.27,8.2,1.2,3.2,9.9,3.05,3,1.0,6.4,2.7,1274.3,36.61,4.6,0.01,1509.0577401439996,1558.036983586875,48.979243442875486,1.2345679012345678,0.018518518518518517,5.783950617283951,4.320987654320987,1.1790123456790127,0.0811672779461011,0.17333758571200766,0.037952479668314464,0.09631637697336948,0.2777777777777778,0.03950617283950617,7.866049382716049,0.22598765432098766,0.623
2,2023,ATL,NL,196,162,104,58,0.642,23,6249,5597,947,1543,920,293,23,307,916,132,27,538,1289,0.276,0.344,0.501,0.845,126,2803,128,67,2,43,20,1062,5.8,623,2148,2176,4254,990,0.306,1556,196,18.6,0.225,4.3,83.0,159,101,ATL,8,ATL,NL,104,162,104,58,0.642,4.14,162,1,1,52,1440.0,1341,716,662,187,534,14,1516,70,8,56,6135,106,4.1,1.302,8.4,1.2,3.3,9.5,2.84,38,4.3,3.6,5.9,,53.03,5.7,0.0,1544.403123859173,1581.1402098591136,36.73708599994029,1.2098765432098766,0.2345679012345679,6.111111111111111,4.419753086419753,1.3802469135802466,0.08609377500400064,0.2062730036805889,0.04912786045767323,0.09969595135221636,0.32098765432098764,0.022222222222222223,,0.3273456790123457,0.642
3,2019,HOU,AL,163,162,107,55,0.66,36,6394,5613,920,1538,899,323,28,288,891,67,27,645,1166,0.274,0.352,0.495,0.848,119,2781,146,66,10,57,17,1168,5.7,639,2249,2294,4315,1004,0.296,1523,163,15.1,0.221,4.8,71.3,94,109,HOU,4,HOU,AL,107,162,107,55,0.66,3.66,162,2,1,47,1462.1,1205,640,595,230,448,0,1671,41,8,41,5995,127,3.98,1.13,7.4,1.4,2.8,10.3,3.73,161,16.4,19.4,17.8,6448.6,179.26,18.2,0.0,1552.068742460683,1600.009112733418,47.940370272734526,1.0061728395061729,0.9938271604938271,6.197530864197531,3.950617283950617,1.7493827160493831,0.10087582108226462,0.18235846105724116,0.045042227087894904,0.09993744135126681,0.29012345679012347,0.11975308641975307,39.806172839506175,1.106543209876543,0.66
4,2024,LAD,NL,153,162,98,64,0.605,22,6255,5522,842,1423,873,291,26,233,815,136,23,602,1336,0.258,0.335,0.446,0.781,120,2465,99,64,10,51,33,1143,5.2,550,2089,2120,4282,880,0.297,1424,153,14.9,0.189,4.1,85.5,159,93,LAD,27,LAD,NL,98,162,98,64,0.605,3.9,162,1,1,50,1445.1,1273,686,626,198,501,19,1390,55,7,64,6047,103,4.18,1.227,7.9,1.2,3.1,8.7,2.77,16,2.3,6.4,5.1,,43.38,5.3,0.0,1552.1045832436414,1567.8879678625274,15.783384618885975,0.9444444444444444,0.09876543209876543,5.432098765432099,4.234567901234568,0.9654320987654321,0.09624300559552358,0.21358912869704236,0.037250199840127896,0.08792965627498002,0.30864197530864196,0.03950617283950617,,0.2677777777777778,0.605
5,2019,MIN,AL,147,162,101,61,0.623,39,6392,5732,939,1547,899,318,23,307,906,28,21,525,1334,0.27,0.338,0.494,0.832,118,2832,101,81,10,41,21,1115,5.8,648,2153,2203,4358,967,0.3,1538,147,13.6,0.224,4.3,57.1,49,106,MIN,19,MIN,AL,101,162,101,61,0.623,4.18,162,1,0,50,1463.1,1456,754,680,198,452,10,1463,61,5,71,6246,109,4.03,1.304,9.0,1.2,2.8,9.0,3.24,53,5.5,9.9,5.2,3297.1,48.1,5.1,0.0,1495.4648642106592,1544.4789908177306,49.014126607071375,0.9074074074074074,0.3271604938271605,5.969135802469136,4.654320987654321,1.1456790123456786,0.08213391739674593,0.20869837296620777,0.048028785982478096,0.10137672090112641,0.30864197530864196,0.061111111111111116,20.35246913580247,0.2969135802469136,0.623
6,2019,NYY,AL,146,162,103,59,0.636,39,6245,5583,943,1493,880,290,17,306,904,55,22,569,1437,0.267,0.339,0.49,0.829,118,2735,113,49,10,33,18,1039,5.8,613,2111,2154,4268,944,0.306,1541,146,13.6,0.222,3.9,71.4,77,105,NYY,10,NYY,AL,103,162,103,59,0.636,4.31,162,1,1,50,1443.0,1374,739,691,248,507,12,1534,44,5,55,6133,104,4.47,1.304,8.6,1.5,3.2,9.6,3.03,30,3.2,8.5,1.7,2121.6,45.98,4.7,0.0,1539.7343126488297,1580.5136556125335,40.77934296370381,0.9012345679012346,0.18518518518518517,5.827160493827161,4.561728395061729,1.2382716049382712,0.0911128903122498,0.2301040832666133,0.04899919935948759,0.09815852682145716,0.30864197530864196,0.05246913580246913,13.096296296296297,0.28382716049382717,0.636
7,2013,BOS,AL,136,162,97,65,0.599,38,6382,5651,853,1566,996,363,29,178,819,123,19,581,1308,0.277,0.349,0.446,0.795,116,2521,137,72,24,50,51,1212,5.3,570,2219,2265,4315,912,0.329,1494,136,13.3,0.169,4.3,86.6,142,100,BOS,37,BOS,AL,97,162,97,65,0.599,3.8,162,5,2,33,1453.2,1366,656,613,156,524,10,1294,47,5,47,6143,109,3.84,1.3,8.5,1.0,3.2,8.0,2.47,57,6.4,4.8,2.5,1195.5,53.03,6.2,0.0,1484.1730117458587,1558.7599388926844,74.5869271468257,0.8395061728395061,0.35185185185185186,5.62962962962963,4.049382716049383,1.2506172839506169,0.09103729238483234,0.2049514258853024,0.027890943277969288,0.08931369476653087,0.2037037037037037,0.029629629629629627,7.37962962962963,0.3273456790123457,0.599
8,2011,BOS,AL,133,162,90,72,0.556,36,6414,5710,875,1600,1010,352,35,203,842,102,42,578,1108,0.28,0.349,0.461,0.81,116,2631,136,50,22,50,52,1190,5.4,590,2228,2282,4360,935,0.314,1514,133,12.8,0.181,5.2,70.8,144,103,BOS,133,BOS,AL,90,162,90,72,0.556,4.2,162,2,1,36,1457.1,1366,737,680,156,540,11,1213,90,7,58,6242,103,4.05,1.308,8.4,1.0,3.3,7.5,2.25,20,2.7,3.3,1.7,1085.6,9.19,1.9,0.0,1523.1750448660111,1539.1199324130118,15.94488754700069,0.8209876543209876,0.12345679012345678,5.771604938271605,4.549382716049383,0.8506172839506174,0.09011537262238853,0.1727471156844403,0.03164951668225756,0.09198628001247272,0.2222222222222222,0.02037037037037037,6.701234567901234,0.056728395061728394,0.556
9,2023,TEX,AL,132,162,90,72,0.556,26,6306,5595,881,1470,893,326,18,233,845,79,19,599,1416,0.263,0.337,0.452,0.79,116,2531,103,53,10,47,17,1164,5.4,577,2122,2164,4304,887,0.31,1493,132,12.8,0.19,4.0,80.6,98,98,TEX,122,TEX,AL,90,162,90,72,0.556,4.28,162,3,1,30,1436.1,1330,716,683,198,491,19,1351,59,4,46,6025,101,4.31,1.268,8.3,1.2,3.1,8.5,2.75,16,2.0,2.1,6.2,,24.31,2.9,0.0,1473.067741427541,1523.0704845404075,50.00274311286648,0.8148148148148148,0.09876543209876543,5.4753086419753085,4.419753086419753,0.9802469135802472,0.09498889946083096,0.22454804947668885,0.036948937519822395,0.09150015857913099,0.18518518518518517,0.012962962962962964,,0.1500617283950617,0.556
10,2022,TOR,AL,127,162,92,70,0.568,20,6158,5555,775,1464,945,307,12,200,756,67,35,500,1242,0.264,0.329,0.431,0.76,117,2395,136,55,8,33,13,1111,4.8,519,2019,2056,4303,781,0.305,1331,127,12.9,0.168,4.5,65.7,102,89,TOR,95,TOR,AL,92,162,92,70,0.568,3.87,162,0,0,46,1441.2,1356,679,620,180,424,15,1390,76,5,29,6053,100,3.85,1.235,8.5,1.1,2.6,8.7,3.28,1,1.1,3.8,0.9,,12.08,2.6,0.0,1526.1340011885086,1545.8778652352948,19.743864046786257,0.7839506172839507,0.006172839506172839,4.820987654320987,4.191358024691358,0.6086419753086414,0.08119519324455993,0.20168886001948685,0.03247807729782397,0.0842806105878532,0.2839506172839506,0.023456790123456788,,0.0745679012345679,0.568
11,2025,NYY,AL,125,162,94,68,0.58,22,6235,5471,849,1371,822,255,20,274,820,134,38,639,1463,0.251,0.332,0.455,0.787,116,2488,104,55,7,54,47,1127,5.2,549,2065,2101,4303,871,0.29,1395,125,12.1,0.204,3.7,77.9,172,97,NYY,65,NYY,AL,94,162,94,68,0.58,3.91,162,0,0,43,1439.2,1239,685,625,175,557,12,1440,57,9,53,6080,107,3.99,1.248,7.7,1.1,3.5,9.0,2.59,40,4.6,7.9,7.5,,38.77,5.0,0.0,1522.1631142823817,1554.7797964706554,32.61668218827367,0.7716049382716049,0.24691358024691357,5.3765432098765435,4.228395061728395,0.9716049382716054,0.102485966319166,0.23464314354450683,0.043945469125902165,0.08805132317562149,0.2654320987654321,0.04876543209876544,,0.239320987654321,0.58
