stat,group,r_prevstat_vs_curwl,p_prevstat_vs_curwl,r_given_elo_start,p_given_elo_start,n
elo_start,elo,0.5723,1.6718258229586746e-40,,,450
BA,hitting,0.2021,1.5556783131519822e-05,-0.0735,0.1193228711981677,450
OBP,hitting,0.4131,5.670522425208397e-20,0.0504,0.28639364355307384,450
SLG,hitting,0.338,1.7328101486678595e-13,-0.0118,0.8029617997689673,450
OPS,hitting,0.3843,2.7444153653799075e-17,0.0087,0.854682335482801,450
OPS+,hitting,0.3996,1.1190347225833216e-18,0.0149,0.7518860663648211,450
ISO,hitting,0.3278,9.838493545831177e-13,0.0259,0.5834042517085312,450
R/Gm,hitting,0.4086,1.5495963852569472e-19,0.0041,0.9300592763286839,450
BAbip,hitting,0.0351,0.45726462717806177,-0.042,0.3735079643361246,450
BB%,hitting,0.4246,3.976120154423005e-21,0.1812,0.00011059312445702868,450
SO%,hitting,-0.1125,0.01700389618087328,0.09,0.05650445210224825,450
HR%,hitting,0.2947,1.8217727425771171e-10,0.0306,0.5173960072892003,450
XBH%,hitting,0.2788,1.768620969570287e-09,-0.0035,0.9412738215704565,450
SB%,hitting,0.1451,0.002037152452396795,0.0105,0.8236734392019837,450
AB/SO,hitting,0.0672,0.15497758486941599,-0.0935,0.047401437978429994,450
BtRuns/G,hitting,0.4024,6.115601208336747e-19,0.0207,0.6617017210965574,450
RC/G,hitting,0.4022,6.313104409458979e-19,0.0255,0.5894810546488614,450
ERA,pitching,-0.4654,1.4531722037611612e-25,-0.0374,0.42855470029024334,450
ERA+,pitching,0.4424,5.419578771815645e-23,-0.0293,0.5349747526268869,450
FIP,pitching,-0.4186,1.6143829947949358e-20,-0.0435,0.3574016381580881,450
WHIP,pitching,-0.4893,1.8190606183300135e-28,-0.0711,0.13200481433506953,450
H9,pitching,-0.4632,2.582650038471341e-25,-0.0815,0.08433192785548248,450
HR9,pitching,-0.2956,1.5817271517273116e-10,-0.0378,0.42419508181364163,450
BB9,pitching,-0.3273,1.0681873911245138e-12,-0.0267,0.5716164246365725,450
SO9,pitching,0.3658,1.0721957686071141e-15,0.0607,0.1989120506201506,450
SO/BB,pitching,0.4187,1.566917620732092e-20,0.0354,0.4534730097985048,450
RA/G,pitching,-0.4624,3.1606788539875464e-25,-0.0199,0.6738935088216185,450
SV/G,pitching,0.327,1.1212006440755146e-12,0.0049,0.9171188374470096,450
PtchR/G,pitching,0.4438,3.834976197356345e-23,-0.0519,0.27180291720866023,450
RunDiff/G,combined,0.5418,1.098369904255503e-35,-0.0459,0.3311820583808285,450
RBI/G,hitting,0.4081,1.7234831525791061e-19,0.0072,0.8793213383705387,450
TB/G,hitting,0.3155,7.363245712218647e-12,-0.0245,0.6040594199759712,450
GIDP/G,hitting,-0.0648,0.16997241237091779,-0.092,0.05124725359237413,450
HBP%,hitting,0.0859,0.0685865665803468,-0.0315,0.5051181914761241,450
SH/G,hitting,-0.1068,0.023454614327931195,-0.0257,0.5867718488745481,450
SF/G,hitting,0.2101,6.985277187817221e-06,0.0159,0.737055250538658,450
IBB_bat%,hitting,0.1732,0.0002220414098393915,0.0179,0.704328077590751,450
LOB/G,hitting,0.2453,1.360909316202597e-07,0.054,0.2530729054911146,450
CS%,hitting,-0.1448,0.0020677841619161546,-0.0106,0.8217703933692465,450
CG/G,pitching,0.1402,0.002879978569063672,-0.0028,0.9531780368095355,450
SHO/G,pitching,0.1664,0.0003934985946957166,0.0274,0.5620924026161788,450
BK/G,pitching,-0.0857,0.0692703174557137,0.0272,0.5653620515102412,450
WP/G,pitching,-0.1183,0.011996704221484977,-0.0021,0.9638708221804622,450
BF/G,pitching,-0.39,8.558934236929708e-18,-0.0386,0.4138313977900114,450
PtchW/G,advanced,0.4472,1.65196080281141e-23,-0.0456,0.3344836648262477,450
