stat,outcome,pearson_value_r,pearson_rank_r,gap
BA,wl,0.4157,0.4057,-0.01
BA,elo_delta,0.4029,0.396,-0.0069
OBP,wl,0.6276,0.6173,-0.0103
OBP,elo_delta,0.5755,0.5671,-0.0084
SLG,wl,0.5626,0.5616,-0.0011
SLG,elo_delta,0.5563,0.551,-0.0052
OPS,wl,0.6176,0.6168,-0.0008
OPS,elo_delta,0.5962,0.5935,-0.0027
OPS+,wl,0.638,0.6289,-0.0091
OPS+,elo_delta,0.6104,0.6003,-0.0101
ISO,wl,0.5129,0.5075,-0.0053
ISO,elo_delta,0.51,0.4958,-0.0142
R/Gm,wl,0.662,0.658,-0.004
R/Gm,elo_delta,0.6517,0.6426,-0.0091
BAbip,wl,0.1163,0.1213,0.005
BAbip,elo_delta,0.1651,0.1736,0.0085
BB%,wl,0.4904,0.4748,-0.0157
BB%,elo_delta,0.4314,0.4156,-0.0158
SO%,wl,-0.2862,-0.2661,0.02
SO%,elo_delta,-0.1989,-0.1924,0.0065
HR%,wl,0.4532,0.4511,-0.0021
HR%,elo_delta,0.437,0.4231,-0.0139
XBH%,wl,0.4569,0.455,-0.0019
XBH%,elo_delta,0.4706,0.4627,-0.0079
SB%,wl,0.2045,0.1875,-0.017
SB%,elo_delta,0.2283,0.2195,-0.0088
AB/SO,wl,0.2176,0.2037,-0.0139
AB/SO,elo_delta,0.1421,0.1352,-0.0069
BtRuns/G,wl,0.6374,0.6285,-0.0089
BtRuns/G,elo_delta,0.6079,0.5964,-0.0115
RC/G,wl,0.6229,0.6203,-0.0026
RC/G,elo_delta,0.6045,0.6007,-0.0038
ERA,wl,-0.7774,-0.7667,0.0108
ERA,elo_delta,-0.6896,-0.6837,0.0059
ERA+,wl,0.7765,0.7805,0.004
ERA+,elo_delta,0.6969,0.7001,0.0032
FIP,wl,-0.6913,-0.6678,0.0236
FIP,elo_delta,-0.5868,-0.5677,0.0192
WHIP,wl,-0.7705,-0.7583,0.0121
WHIP,elo_delta,-0.6723,-0.658,0.0144
H9,wl,-0.6958,-0.6876,0.0082
H9,elo_delta,-0.6167,-0.6054,0.0112
HR9,wl,-0.5048,-0.4693,0.0355
HR9,elo_delta,-0.4705,-0.4486,0.022
BB9,wl,-0.5488,-0.5335,0.0153
BB9,elo_delta,-0.4583,-0.4586,-0.0003
SO9,wl,0.508,0.4977,-0.0103
SO9,elo_delta,0.3809,0.3598,-0.0212
SO/BB,wl,0.6717,0.6799,0.0082
SO/BB,elo_delta,0.535,0.548,0.013
RA/G,wl,-0.7849,-0.7763,0.0086
RA/G,elo_delta,-0.6956,-0.6892,0.0063
SV/G,wl,0.6666,0.6593,-0.0072
SV/G,elo_delta,0.5188,0.5217,0.0028
PtchR/G,wl,0.7988,0.7945,-0.0042
PtchR/G,elo_delta,0.7179,0.7108,-0.0071
RunDiff/G,wl,0.9375,0.9406,0.003
RunDiff/G,elo_delta,0.8686,0.864,-0.0046
RBI/G,wl,0.6566,0.6534,-0.0032
RBI/G,elo_delta,0.648,0.6401,-0.0079
TB/G,wl,0.5292,0.5269,-0.0023
TB/G,elo_delta,0.5265,0.5196,-0.0069
GIDP/G,wl,0.0071,0.0031,-0.004
GIDP/G,elo_delta,-0.0675,-0.069,-0.0015
HBP%,wl,0.1785,0.1791,0.0006
HBP%,elo_delta,0.1319,0.1234,-0.0085
SH/G,wl,-0.0909,-0.1057,-0.0148
SH/G,elo_delta,-0.045,-0.067,-0.022
SF/G,wl,0.2778,0.2716,-0.0062
SF/G,elo_delta,0.2678,0.2632,-0.0046
IBB_bat%,wl,0.2999,0.2951,-0.0049
IBB_bat%,elo_delta,0.2032,0.2015,-0.0017
LOB/G,wl,0.322,0.309,-0.013
LOB/G,elo_delta,0.2526,0.2459,-0.0068
CS%,wl,-0.2041,-0.1872,0.0169
CS%,elo_delta,-0.2282,-0.2196,0.0086
CG/G,wl,0.168,0.154,-0.014
CG/G,elo_delta,0.1113,0.0965,-0.0148
SHO/G,wl,0.212,0.2069,-0.0052
SHO/G,elo_delta,0.1561,0.1582,0.002
BK/G,wl,-0.1751,-0.1589,0.0162
BK/G,elo_delta,-0.1764,-0.1517,0.0247
WP/G,wl,-0.2161,-0.2073,0.0088
WP/G,elo_delta,-0.1691,-0.1734,-0.0043
BF/G,wl,-0.6144,-0.6169,-0.0025
BF/G,elo_delta,-0.546,-0.5419,0.0042
PtchW/G,wl,0.7993,0.7955,-0.0037
PtchW/G,elo_delta,0.7169,0.7103,-0.0065
