stat,group,r_delta_wl,p_delta_wl,r_delta_elo,p_delta_elo,n
BA,hitting,0.4428,4.9550481541948435e-23,0.4571,1.2859426466715069e-24,450
OBP,hitting,0.4705,3.603434815474652e-26,0.5146,8.511360935505854e-32,450
SLG,hitting,0.4754,9.420871256684084e-27,0.4932,5.845605858911334e-29,450
OPS,hitting,0.5035,2.6910358103867224e-30,0.5308,4.546777626024514e-34,450
OPS+,hitting,0.5663,1.5898306155191795e-39,0.5862,6.998554168534958e-43,450
ISO,hitting,0.3939,3.73856384109569e-18,0.4094,1.2993573283725446e-19,450
R/Gm,hitting,0.5572,4.6189494364892635e-38,0.5926,5.292239771922544e-44,450
BAbip,hitting,0.2672,8.588710674346757e-09,0.2739,3.4629410471488664e-09,450
BB%,hitting,0.2013,1.6955054977018875e-05,0.2581,2.7801801797264553e-08,450
SO%,hitting,-0.2294,8.683371832315464e-07,-0.2446,1.4781025887980498e-07,450
HR%,hitting,0.3248,1.6150078545833663e-12,0.3305,6.261873864293116e-13,450
XBH%,hitting,0.4001,1.005076353071515e-18,0.4166,2.529392470083379e-20,450
SB%,hitting,0.118,0.012215053665500897,0.166,0.0004048862864925232,450
AB/SO,hitting,0.1791,0.0001340843679895584,0.1866,6.822534636606877e-05,450
BtRuns/G,hitting,0.5598,1.7642594362065966e-38,0.5855,9.27713445076562e-43,450
RC/G,hitting,0.4958,2.712248062275773e-29,0.5358,8.405924776682603e-35,450
Hitting AIR,hitting,0.017,0.7195440843964707,0.0328,0.48778044386909586,450
ERA,pitching,-0.6241,6.000834305484131e-50,-0.6591,2.0768449916497772e-57,450
ERA+,pitching,0.6514,1.1010219563917927e-55,0.6871,3.92013577603543e-64,450
FIP,pitching,-0.4873,3.254384817151398e-28,-0.5032,2.9599758163022875e-30,450
WHIP,pitching,-0.6172,1.3442253375010753e-48,-0.6462,1.5419539245125986e-54,450
H9,pitching,-0.5843,1.4880046835319318e-42,-0.6209,2.5902589288718535e-49,450
HR9,pitching,-0.356,6.8193274840554795e-15,-0.3697,5.091148606442883e-16,450
BB9,pitching,-0.4023,6.160824158523652e-19,-0.4034,4.911350555996905e-19,450
SO9,pitching,0.2974,1.2227134918818858e-10,0.3237,1.957889849640556e-12,450
SO/BB,pitching,0.478,4.586545529228286e-27,0.496,2.5222529730814543e-29,450
RA/G,pitching,-0.6391,4.862489342239558e-53,-0.6757,2.6185094561151525e-61,450
SV/G,pitching,0.5847,1.3068724900105667e-42,0.4283,1.6936060534568046e-21,450
PtchR/G,pitching,0.6916,2.7911912312668952e-65,0.7273,2.9688571479363056e-75,450
WPA/G,advanced,0.768,9.716042145071036e-89,0.7105,2.2004198742524866e-70,450
WPA/LI,advanced,0.6946,4.534568071234963e-66,0.729,9.446561617709863e-76,450
Clutch/G,advanced,0.5737,2.907491620622497e-28,0.5355,3.503330916597686e-24,307
RE24/G,advanced,0.7221,1.0679820888751365e-73,0.7586,2.1616852294245442e-85,450
REW,advanced,0.7207,2.7681155997163798e-73,0.7595,1.0512531006972945e-85,450
aLI,advanced,0.0146,0.7576301634518599,0.0281,0.5515810909635281,450
RunDiff/G,combined,0.8821,1.4548265104798715e-148,0.9351,6.001301752132238e-204,450
