date,season,game_num,away,home,away_fr,home_fr,away_score,home_score
2009-04-05,2009,0,ATL,PHI,ATL,PHI,4,1
2009-04-06,2009,0,COL,ARI,COL,ARI,8,9
2009-04-06,2009,0,NYY,BAL,NYY,BAL,5,10
2009-04-06,2009,0,NYM,CIN,NYM,CIN,2,1
2009-04-06,2009,0,WSN,FLA,WSN,MIA,6,12
2009-04-06,2009,0,CHC,HOU,CHC,HOU,4,2
2009-04-06,2009,0,OAK,LAA,ATH,LAA,0,3
2009-04-06,2009,0,SEA,MIN,SEA,MIN,6,1
2009-04-06,2009,0,LAD,SDP,LAD,SDP,4,1
2009-04-06,2009,0,PIT,STL,PIT,STL,6,4
2009-04-06,2009,0,CLE,TEX,CLE,TEX,1,9
2009-04-06,2009,0,DET,TOR,DET,TOR,5,12
2009-04-07,2009,0,COL,ARI,COL,ARI,3,0
2009-04-07,2009,0,TBR,BOS,TBR,BOS,3,5
2009-04-07,2009,0,KCR,CHW,KCR,CHW,2,4
2009-04-07,2009,0,WSN,FLA,WSN,MIA,3,8
2009-04-07,2009,0,CHC,HOU,CHC,HOU,2,3
2009-04-07,2009,0,OAK,LAA,ATH,LAA,6,4
2009-04-07,2009,0,SEA,MIN,SEA,MIN,5,6
2009-04-07,2009,0,ATL,PHI,ATL,PHI,4,0
2009-04-07,2009,0,LAD,SDP,LAD,SDP,2,4
2009-04-07,2009,0,MIL,SFG,MIL,SFG,6,10
2009-04-07,2009,0,PIT,STL,PIT,STL,3,9
2009-04-07,2009,0,DET,TOR,DET,TOR,4,5
2009-04-08,2009,0,COL,ARI,COL,ARI,9,2
2009-04-08,2009,0,NYY,BAL,NYY,BAL,5,7
2009-04-08,2009,0,TBR,BOS,TBR,BOS,7,2
2009-04-08,2009,0,KCR,CHW,KCR,CHW,2,0
2009-04-08,2009,0,NYM,CIN,NYM,CIN,9,7
2009-04-08,2009,0,WSN,FLA,WSN,MIA,4,6
2009-04-08,2009,0,CHC,HOU,CHC,HOU,11,6
2009-04-08,2009,0,OAK,LAA,ATH,LAA,6,4
2009-04-08,2009,0,SEA,MIN,SEA,MIN,5,6
2009-04-08,2009,0,ATL,PHI,ATL,PHI,11,12
2009-04-08,2009,0,LAD,SDP,LAD,SDP,5,2
2009-04-08,2009,0,MIL,SFG,MIL,SFG,4,2
2009-04-08,2009,0,PIT,STL,PIT,STL,7,4
2009-04-08,2009,0,CLE,TEX,CLE,TEX,5,8
2009-04-08,2009,0,DET,TOR,DET,TOR,5,1
2009-04-09,2009,0,NYY,BAL,NYY,BAL,11,2
2009-04-09,2009,0,TBR,BOS,TBR,BOS,4,3
2009-04-09,2009,0,KCR,CHW,KCR,CHW,2,1
2009-04-09,2009,0,NYM,CIN,NYM,CIN,6,8
2009-04-09,2009,0,SEA,MIN,SEA,MIN,2,0
2009-04-09,2009,0,LAD,SDP,LAD,SDP,3,4
2009-04-09,2009,0,MIL,SFG,MIL,SFG,1,7
2009-04-09,2009,0,PIT,STL,PIT,STL,1,2
2009-04-09,2009,0,CLE,TEX,CLE,TEX,8,12
2009-04-09,2009,0,DET,TOR,DET,TOR,2,6
2009-04-10,2009,0,LAD,ARI,LAD,ARI,4,9
2009-04-10,2009,0,WSN,ATL,WSN,ATL,5,6
2009-04-10,2009,0,TBR,BAL,TBR,BAL,4,5
2009-04-10,2009,0,MIN,CHW,MIN,CHW,12,5
2009-04-10,2009,0,TOR,CLE,TOR,CLE,13,7
2009-04-10,2009,0,PHI,COL,PHI,COL,3,10
2009-04-10,2009,0,TEX,DET,TEX,DET,2,15
2009-04-10,2009,0,NYM,FLA,NYM,MIA,4,5
2009-04-10,2009,0,NYY,KCR,NYY,KCR,4,1
2009-04-10,2009,0,BOS,LAA,BOS,LAA,3,6
2009-04-10,2009,0,CHC,MIL,CHC,MIL,3,4
2009-04-10,2009,0,SEA,OAK,SEA,ATH,5,4
2009-04-10,2009,0,SFG,SDP,SFG,SDP,3,7
2009-04-10,2009,0,HOU,STL,HOU,STL,3,5
2009-04-11,2009,0,LAD,ARI,LAD,ARI,11,2
2009-04-11,2009,0,WSN,ATL,WSN,ATL,3,5
2009-04-11,2009,0,TBR,BAL,TBR,BAL,0,6
2009-04-11,2009,0,MIN,CHW,MIN,CHW,0,8
2009-04-11,2009,0,PIT,CIN,PIT,CIN,10,2
2009-04-11,2009,0,TOR,CLE,TOR,CLE,5,4
2009-04-11,2009,0,PHI,COL,PHI,COL,8,4
2009-04-11,2009,0,TEX,DET,TEX,DET,3,4
2009-04-11,2009,0,NYM,FLA,NYM,MIA,8,4
2009-04-11,2009,0,NYY,KCR,NYY,KCR,6,1
2009-04-11,2009,0,BOS,LAA,BOS,LAA,5,4
2009-04-11,2009,0,CHC,MIL,CHC,MIL,6,5
2009-04-11,2009,0,SEA,OAK,SEA,ATH,8,5
2009-04-11,2009,0,SFG,SDP,SFG,SDP,3,6
2009-04-11,2009,0,HOU,STL,HOU,STL,2,11
2009-04-12,2009,0,LAD,ARI,LAD,ARI,3,1
2009-04-12,2009,0,WSN,ATL,WSN,ATL,5,8
2009-04-12,2009,0,TBR,BAL,TBR,BAL,11,3
2009-04-12,2009,0,MIN,CHW,MIN,CHW,1,6
2009-04-12,2009,0,PIT,CIN,PIT,CIN,0,2
2009-04-12,2009,0,TOR,CLE,TOR,CLE,4,8
2009-04-12,2009,0,PHI,COL,PHI,COL,7,5
2009-04-12,2009,0,TEX,DET,TEX,DET,4,6
2009-04-12,2009,0,NYM,FLA,NYM,MIA,1,2
2009-04-12,2009,0,NYY,KCR,NYY,KCR,4,6
2009-04-12,2009,0,BOS,LAA,BOS,LAA,4,5
2009-04-12,2009,0,CHC,MIL,CHC,MIL,8,5
2009-04-12,2009,0,SEA,OAK,SEA,ATH,1,0
2009-04-12,2009,0,SFG,SDP,SFG,SDP,1,6
2009-04-12,2009,0,HOU,STL,HOU,STL,0,3
2009-04-13,2009,0,STL,ARI,STL,ARI,2,1
2009-04-13,2009,0,COL,CHC,COL,CHC,0,4
2009-04-13,2009,0,CHW,DET,CHW,DET,10,6
2009-04-13,2009,0,CLE,KCR,CLE,KCR,2,4
2009-04-13,2009,0,SFG,LAD,SFG,LAD,1,11
2009-04-13,2009,0,CIN,MIL,CIN,MIL,7,6
2009-04-13,2009,0,TOR,MIN,TOR,MIN,8,6
2009-04-13,2009,0,SDP,NYM,SDP,NYM,6,5
2009-04-13,2009,0,BOS,OAK,BOS,ATH,2,8
2009-04-13,2009,0,HOU,PIT,HOU,PIT,0,7
2009-04-13,2009,0,NYY,TBR,NYY,TBR,5,15
2009-04-13,2009,0,BAL,TEX,BAL,TEX,10,9
2009-04-13,2009,0,PHI,WSN,PHI,WSN,9,8
2009-04-14,2009,0,STL,ARI,STL,ARI,6,7
2009-04-14,2009,0,FLA,ATL,MIA,ATL,5,1
2009-04-14,2009,0,CLE,KCR,CLE,KCR,3,9
2009-04-14,2009,0,CIN,MIL,CIN,MIL,6,1
2009-04-14,2009,0,TOR,MIN,TOR,MIN,2,3
2009-04-14,2009,0,BOS,OAK,BOS,ATH,5,6
2009-04-14,2009,0,LAA,SEA,LAA,SEA,2,3
2009-04-14,2009,0,NYY,TBR,NYY,TBR,7,2
2009-04-14,2009,0,BAL,TEX,BAL,TEX,7,5
2009-04-15,2009,0,STL,ARI,STL,ARI,12,7
2009-04-15,2009,0,FLA,ATL,MIA,ATL,10,4
2009-04-15,2009,0,COL,CHC,COL,CHC,5,2
2009-04-15,2009,0,CHW,DET,CHW,DET,0,9
2009-04-15,2009,0,CLE,KCR,CLE,KCR,5,4
2009-04-15,2009,0,SFG,LAD,SFG,LAD,4,5
2009-04-15,2009,0,CIN,MIL,CIN,MIL,3,9
2009-04-15,2009,0,TOR,MIN,TOR,MIN,12,2
2009-04-15,2009,0,SDP,NYM,SDP,NYM,2,7
2009-04-15,2009,0,BOS,OAK,BOS,ATH,8,2
2009-04-15,2009,0,HOU,PIT,HOU,PIT,4,1
2009-04-15,2009,0,LAA,SEA,LAA,SEA,3,11
2009-04-15,2009,0,NYY,TBR,NYY,TBR,4,3
2009-04-15,2009,0,BAL,TEX,BAL,TEX,6,19
2009-04-16,2009,0,FLA,ATL,MIA,ATL,6,2
2009-04-16,2009,0,STL,CHC,STL,CHC,7,4
2009-04-16,2009,0,SFG,LAD,SFG,LAD,2,7
2009-04-16,2009,0,TOR,MIN,TOR,MIN,9,2
2009-04-16,2009,0,SDP,NYM,SDP,NYM,6,5
2009-04-16,2009,0,CLE,NYY,CLE,NYY,10,2
2009-04-16,2009,0,HOU,PIT,HOU,PIT,6,3
2009-04-16,2009,0,LAA,SEA,LAA,SEA,5,1
2009-04-16,2009,0,CHW,TBR,CHW,TBR,3,2
2009-04-16,2009,0,PHI,WSN,PHI,WSN,2,8
2009-04-17,2009,0,BAL,BOS,BAL,BOS,8,10
2009-04-17,2009,0,STL,CHC,STL,CHC,7,8
2009-04-17,2009,0,CIN,HOU,CIN,HOU,2,1
2009-04-17,2009,0,COL,LAD,COL,LAD,3,4
2009-04-17,2009,0,LAA,MIN,LAA,MIN,9,11
2009-04-17,2009,0,MIL,NYM,MIL,NYM,4,5
2009-04-17,2009,0,CLE,NYY,CLE,NYY,5,6
2009-04-17,2009,0,SDP,PHI,SDP,PHI,8,7
2009-04-17,2009,0,ATL,PIT,ATL,PIT,0,3
2009-04-17,2009,0,DET,SEA,DET,SEA,3,6
2009-04-17,2009,0,ARI,SFG,ARI,SFG,0,2
2009-04-17,2009,0,CHW,TBR,CHW,TBR,5,6
2009-04-17,2009,0,KCR,TEX,KCR,TEX,12,3
2009-04-17,2009,0,OAK,TOR,ATH,TOR,8,5
2009-04-17,2009,0,FLA,WSN,MIA,WSN,3,2
2009-04-18,2009,0,BAL,BOS,BAL,BOS,4,6
2009-04-18,2009,0,STL,CHC,STL,CHC,5,7
2009-04-18,2009,0,CIN,HOU,CIN,HOU,0,7
2009-04-18,2009,0,COL,LAD,COL,LAD,5,9
2009-04-18,2009,0,LAA,MIN,LAA,MIN,2,9
2009-04-18,2009,0,MIL,NYM,MIL,NYM,0,1
2009-04-18,2009,0,CLE,NYY,CLE,NYY,22,4
2009-04-18,2009,0,SDP,PHI,SDP,PHI,8,5
2009-04-18,2009,0,ATL,PIT,ATL,PIT,0,10
2009-04-18,2009,0,DET,SEA,DET,SEA,2,0
2009-04-18,2009,0,ARI,SFG,ARI,SFG,2,0
2009-04-18,2009,0,CHW,TBR,CHW,TBR,8,3
2009-04-18,2009,0,KCR,TEX,KCR,TEX,2,0
2009-04-18,2009,0,OAK,TOR,ATH,TOR,2,4
2009-04-18,2009,0,FLA,WSN,MIA,WSN,9,6
2009-04-19,2009,0,BAL,BOS,BAL,BOS,1,2
2009-04-19,2009,0,CIN,HOU,CIN,HOU,4,2
2009-04-19,2009,0,COL,LAD,COL,LAD,2,14
2009-04-19,2009,0,LAA,MIN,LAA,MIN,1,3
2009-04-19,2009,0,MIL,NYM,MIL,NYM,4,2
2009-04-19,2009,0,CLE,NYY,CLE,NYY,3,7
2009-04-19,2009,0,SDP,PHI,SDP,PHI,4,5
2009-04-19,2009,0,ATL,PIT,ATL,PIT,11,1
2009-04-19,2009,0,DET,SEA,DET,SEA,8,2
2009-04-19,2009,0,ARI,SFG,ARI,SFG,0,2
2009-04-19,2009,0,CHW,TBR,CHW,TBR,12,2
2009-04-19,2009,0,KCR,TEX,KCR,TEX,5,6
2009-04-19,2009,0,OAK,TOR,ATH,TOR,0,1
2009-04-19,2009,0,FLA,WSN,MIA,WSN,7,4
2009-04-20,2009,0,COL,ARI,COL,ARI,3,6
2009-04-20,2009,0,BAL,BOS,BAL,BOS,1,12
2009-04-20,2009,0,CIN,HOU,CIN,HOU,4,3
2009-04-20,2009,0,FLA,PIT,MIA,PIT,0,8
2009-04-20,2009,0,ATL,WSN,ATL,WSN,2,3
