retro_id,mlbam_id,bbref_id,name_first,name_last
aardd001,430911,aardsda01,David,Aardsma
aaroh101,110001,aaronha01,Hank,Aaron
aarot101,110002,aaronto01,Tommie,Aaron
aased001,110003,aasedo01,Don,Aase
abada001,407577,abadan01,Andy,Abad
abadf001,472551,abadfe01,Fernando,Abad
abadj101,110004,abadijo01,John,Abadie
abbae101,110005,abbated01,Ed,Abbaticchio
abbeb101,110006,abbeybe01,Bert,Abbey
abbec101,110007,abbeych01,Charlie,Abbey
abboa001,671096,abbotan01,Andrew,Abbott
abboc001,676265,abbotco01,Cory,Abbott
abbod101,110013,abbotda01,Dan,Abbott
abbof101,110008,abbotfr01,Fred,Abbott
abbog001,110016,abbotgl01,Glenn,Abbott
abboj001,110009,abbotji01,Jim,Abbott
abboj002,110010,abbotje01,Jeff,Abbott
abboj101,820780,,Jim,Abbott
abbok001,110012,abbotky01,Kyle,Abbott
abbok002,110011,abbotku01,Kurt,Abbott
abboo101,110014,abbotod01,Ody,Abbott
abbop001,110015,abbotpa01,Paul,Abbott
abbos801,,,Spencer,Abbott
abelm001,690953,abelmi01,Mick,Abel
abera101,110017,aberal01,Al,Aber
aberb001,150466,abernbr01,Brent,Abernathy
aberb101,110019,abernbi01,Bill,Abernathie
aberc101,110023,aberscl01,Cliff,Aberson
aberd101,110018,abercda01,Frank,Abercrombie
aberr001,430631,abercre01,Reggie,Abercrombie
aberr101,820781,abernja01,Robert,Abernathy
abert101,110021,abernte02,Ted,Abernathy
abert102,110020,abernte01,Tal,Abernathy
aberw101,110022,abernwo01,Woody,Abernathy
ableh101,110024,ablesha01,Harry,Ables
abnep001,691769,abnerph01,Philip,Abner
abnes001,110025,abnersh01,Shawn,Abner
abrac001,682928,abramcj01,CJ,Abrams
abrac101,110026,abramca01,Cal,Abrams
abrag101,110027,abramge01,George,Abrams
abrea001,656061,abreual01,Albert,Abreu
abreb001,110029,abreubo01,Bobby,Abreu
abreb002,650556,abreubr01,Bryan,Abreu
abree101,820777,abreueu01,Eufemio,Abreu
abree801,467728,,Erick,Abreu
abrej001,110028,abregjo01,Johnny,Abrego
abrej002,444874,abreuju01,Juan,Abreu
abrej003,547989,abreujo02,José,Abreu
abrej101,110030,abreujo01,Joe,Abreu
abrej102,820775,,Juan,Abreu
abret001,473234,abreuto01,Tony,Abreu
abrew001,275700,abreuwi01,Winston,Abreu
abrew002,677800,abreuwi02,Wilyer,Abreu
abstb101,110031,abstebi01,Bill,Abstein
accaj001,435618,accarje01,Jeremy,Accardo
aceau101,820771,,,Acea
aceva001,469686,aceveal01,Alfredo,Aceves
acevd001,642758,acevedo01,Domingo,Acevedo
acevj001,110032,aceveju01,Juan,Acevedo
acevj002,406895,acevejo01,Jose,Acevedo
achta001,592091,achteaj01,A. J.,Achter
ackej001,110033,ackerji01,Jim,Acker
acket101,110034,ackerto01,Tom,Acker
ackld001,554429,ackledu01,Dustin,Ackley
acklf101,110035,acklefr01,Fritz,Ackley
acklt901,,,Theodore,Ackley
acosc101,110037,acostcy01,Cy,Acosta
acose101,110038,acosted01,Ed,Acosta
acosj101,110039,acostjo01,José,Acosta
acosm001,407924,acostma01,Manny,Acosta
acosm002,691185,acostma02,Maximo,Acosta
acosm101,110036,acostme01,Merito,Acosta
acoso801,,,Oscar,Acosta
acrem001,110040,acrema01,Mark,Acre
actam801,427000,actama99,Manny,Acta
actog001,670183,actonga01,Garrett,Acton
acunl001,682668,acunajo01,Luisangel,Acuña
acunr001,660670,acunaro01,Ronald,Acuña
adaib801,492614,adairbi99,Bill,Adair
adaij101,110042,adairje01,Jerry,Adair
adaij102,110041,adairji01,Jimmy,Adair
adair801,547748,,Rick,Adair
adama001,542866,adamsau01,Austin,Adams
adama002,613534,adamsau02,Austin,Adams
adama101,110043,adamsac01,Ace,Adams
adamb101,110048,adamsbu01,Buster,Adams
adamb102,110061,adamsbo02,Bob,Adams
adamb103,110063,adamsbo03,Bobby,Adams
adamb104,110044,adamsba01,Babe,Adams
adamb105,110064,adamsbo04,Bob,Adams
adamb106,110055,adamsbe01,Bert,Adams
adamb107,110062,adamsbo01,Bob,Adams
adamc001,542436,adamecr01,Cristhian,Adames
adamc002,664856,adamsch01,Chance,Adams
adamc901,,,Clarence,Adams
adamd001,458691,adamsda02,David,Adams
adamd101,110051,adamsdo01,Doug,Adams
adamd102,110059,adamsdi01,Dick,Adams
adamd103,110046,adamsda01,Dan,Adams
adame101,820766,adamsem01,Emery,Adams
adamg101,110050,adamsgl01,Glenn,Adams
adamg102,110049,adamsge01,George,Adams
adamh101,110052,adamshe01,Herb,Adams
adamj001,110069,adamsjo02,Joel,Adamson
adamj002,592094,adamja01,Jason,Adam
adamj003,677941,adamsjo03,Jordyn,Adams
adamj101,110054,adamsji01,Jim,Adams
adamj102,110056,adamsjo01,Joe,Adams
adamj901,,,Harry,Adams
adamk101,110057,adamska01,Karl,Adams
adaml001,572669,adamsla01,Lane,Adams
adamm001,430606,adamsmi03,Mike,Adams
adamm002,571431,adamsma01,Matt,Adams
adamm101,110070,adamsmi01,Mike,Adamson
adamm102,110065,adamsmi02,Mike,Adams
adamr001,110060,adamsri02,Ricky,Adams
adamr002,425859,adamsru01,Russ,Adams
adamr003,502031,adamsry01,Ryan,Adams
adamr004,656180,adamsri03,Riley,Adams
adamr101,110045,adamsre01,Red,Adams
adamr102,110058,adamsri01,Rick,Adams
adams101,110047,adamssp01,Sparky,Adams
adams102,110066,adamssp02,Spencer,Adams
adamt001,110067,adamste01,Terry,Adams
adamt002,701519,adamstr01,Travis,Adams
adamu101,820763,adams05,,Adams
adamw001,110068,adamswi02,Willie,Adams
adamw002,642715,adamewi01,Willy,Adames
adamw101,110053,adamswi01,Willie,Adams
adcoj101,110071,adcocjo01,Joe,Adcock
adcon001,502264,adcocna01,Nathan,Adcock
adcot001,686654,adcocty01,Ty,Adcock
addib101,110072,addisbo01,Bob,Addis
addir901,596809,,Ryan,Additon
adduj001,110073,adducji01,Jim,Adduci
adduj002,451192,adducji02,Jim,Adduci
addyb101,110074,addybo01,Bob,Addy
adelj001,666176,adelljo01,Jo,Adell
adenn001,444440,adenhni01,Nick,Adenhart
aderm101,110075,aderhmo01,Morrie,Aderholt
adkid101,110079,adkindi01,Dick,Adkins
adkid102,110078,adkindo01,Merle,Adkins
adkid103,110077,adkinde01,Dewey,Adkins
adkig101,110076,adkingr01,Grady,Adkins
adkih101,110081,adkinhe01,Harry,Atkinson
adkij001,424668,adkinjo01,Jon,Adkins
adkis001,110080,adkinst01,Steve,Adkins
adled101,110082,adlesda01,Dave,Adlesh
adlet001,534947,adlemti01,Tim,Adleman
adleu901,,,,Adler
adonj001,672851,adonjo01,Joan,Adon
adrie001,501303,adriaeh01,Ehire,Adrianza
afent001,110083,afenitr01,Troy,Afenir
affej001,346793,affelje01,Jeremy,Affeldt
agbab001,133742,agbaybe01,Benny,Agbayani
ageet101,110084,ageeto01,Tommie,Agee
aggah101,110085,agganha01,Harry,Agganis
aglej101,110086,aglerjo01,Joe,Agler
agnes101,110087,agnewsa01,Sam,Agnew
agnoz001,688642,agnosza01,Zach,Agnos
agosj001,110088,agostju01,Juan,Agosto
agrad001,642607,agrazda01,Dario,Agrazal
agual001,110089,aguaylu01,Luis,Aguayo
aguic001,430894,aguilch01,Chris,Aguila
aguih101,110091,aguirha01,Hank,Aguirre
aguij001,542583,aguilje01,Jesús,Aguilar
aguij002,687924,aguiaju01,Julian,Aguiar
aguim001,620396,aguilmi01,Miguel,Aguilar
aguir001,110090,aguilri01,Rick,Aguilera
aguir002,666922,aguilry01,Ryan,Aguilar
aguir101,,,Ray,Aguillard
aheac101,110092,ahearch01,Bill,Ahearn
aheap001,110093,ahearpa01,Pat,Ahearne
ahmen001,605113,ahmedni01,Nick,Ahmed
aikew001,110094,aikenwi01,Willie,Aikens
aingd101,110095,aingeda01,Danny,Ainge
ainse101,110096,ainsmed01,Eddie,Ainsmith
ainsk001,215128,ainswku01,Kurt,Ainsworth
aitcr101,110097,aitchra01,Raleigh,Aitchison
aitog101,110098,aitonge01,George,Aiton
ake-j101,110099,akejo01,John,Ake
akerb101,110103,akersbi01,Bill,Akers
akerd001,110101,akerfda01,Darrel,Akerfelds
akerj101,110102,akersje01,Jerry,Akers
akerj102,110100,akerja01,Jack,Aker
akink001,669211,akinke01,Keegan,Akin
akiys001,673451,akiyash01,Shogo,Akiyama
alanr001,595798,alanirj01,R. J.,Alaniz
albag001,110104,albagi01,Gibson,Alba
albaj001,452293,albaljo01,Jonathan,Albaladejo
albaj101,110105,albanjo01,Joe,Albanese
albea001,452027,alberan01,Andrew,Albers
albeb101,110108,alberbu01,Butch,Alberts
albec101,110109,albercy01,Cy,Alberts
albec801,503360,albercr99,Craig,Albernaz
albeg101,110107,albergu01,Gus,Alberts
albeh001,593643,alberha01,Hanser,Alberto
albej001,110106,alberjo01,José,Alberro
albej101,820755,alberjo02,Johnny,Albertson
albej102,,,John,Albert
albej801,527982,,Jeff,Albert
albem001,458006,alberma01,Matt,Albers
albio001,645277,albieoz01,Ozzie,Albies
alboe101,110110,albosed01,Ed,Albosta
albra101,820757,albrial01,Alex,Albritton
albre101,110111,albreed01,Ed,Albrecht
albrj101,110112,albrija01,Jack,Albright
albrt101,820756,albrith01,Thomas,Albright
albua001,456379,albural01,Al,Alburquerque
albuv101,110113,alburvi01,Vic,Albury
alcaa001,570489,alcanar01,Arismendy,Alcántara
alcai001,150161,alcanis01,Israel,Alcántara
alcaj001,660896,alcaljo01,Jorge,Alcalá
alcak001,682634,alcanke01,Kevin,Alcántara
alcal101,110115,alcarlu01,Luis,Alcaraz
alcar001,593417,alcanra01,Raúl,Alcántara
alcas001,645261,alcansa01,Sandy,Alcántara
alcas002,642727,alcanse01,Sergio,Alcántara
alcas101,110114,alcalsa01,Santo,Alcalá
alcav001,622505,alcanvi01,Victor,Alcántara
alcos101,110116,alcocsc01,Scotty,Alcock
alded101,110117,alderda01,Dale,Alderson
aldes001,691951,aldegsa01,Sam,Aldegheri
aldrc001,400139,aldrico01,Cory,Aldridge
aldrj001,110120,aldrija01,Jay,Aldrich
aldrm001,110119,aldremi01,Mike,Aldrete
aldrs001,110118,aldresc01,Scott,Aldred
aldrv101,110121,aldrivi01,Vic,Aldridge
alejb801,,,Bob,Alejo
alenc101,110122,alenoch01,Chuck,Aleno
alexa001,669935,alexyaj01,A. J.,Alexy
alexb001,677942,alexabl01,Blaze,Alexander
alexb101,110131,alexabo01,Bob,Alexander
alexb102,820748,alexabu01,Buck,Alexander
alexc001,680769,alexacj01,CJ,Alexander
alexc101,820744,alexach01,Chuffie,Alexander
