bbref_id,retro_id,mlbam_id,name_first,name_last
abbotan01,abboa001,671096,Andrew,Abbott
alcansa01,alcas001,645261,Sandy,Alcántara
allenlo02,allel003,671106,Logan,Allen
alvarhe01,alvah001,506693,Henderson,Álvarez
alzolad01,alzoa001,640470,Adbert,Alzolay
anderbr04,andeb004,474463,Brett,Anderson
anderch01,andec001,502624,Chase,Anderson
anderia01,andei001,666120,Ian,Anderson
anderty01,andet002,542881,Tyler,Anderson
andrima01,andrm001,542882,Matt,Andriese
archech01,archc001,502042,Chris,Archer
arrieja01,arrij001,453562,Jake,Arrieta
arrigsp01,arris001,681293,Spencer,Arrighetti
arroybr01,arrob001,276520,Bronson,Arroyo
ashcrbr01,ashcb001,677952,Braxton,Ashcraft
ashcrgr01,ashcg001,668933,Graham,Ashcraft
assadja01,assaj001,665871,Javier,Assad
axelrdy01,axeld001,518420,Dylan,Axelrod
baileho02,bailh001,456701,Homer,Bailey
bakersc02,bakes002,435044,Scott,Baker
bannibr01,bannb001,446454,Brian,Bannister
barrija01,barrj003,642545,Jaime,Barría
bassich01,bassc001,605135,Chris,Bassitt
bauertr01,bauet001,545333,Trevor,Bauer
bazsh01,baz-s001,669358,Shane,Baz
beachbr01,beacb001,545404,Brandon,Beachy
beavabl01,beavb001,518444,Blake,Beavan
beckejo02,beckj002,277417,Josh,Beckett
bedarer01,bedae001,407853,Érik,Bédard
bellobr01,bellb002,678394,Brayan,Bello
bergebr02,bergb002,448269,Brad,Bergesen
berrijo01,berrj001,621244,José,Berríos
bettich01,bettc001,518452,Chad,Bettis
bibeeta01,bibet001,676440,Tanner,Bibee
biebesh01,biebs001,669456,Shane,Bieber
billich01,billc001,451532,Chad,Billingsley
blachty01,blact002,621389,Ty,Blach
blackni01,blacn001,448147,Nick,Blackburn
blancro01,blanr001,669854,Ronel,Blanco
blantjo01,blanj001,430599,Joe,Blanton
bondeje01,bondj001,425827,Jeremy,Bonderman
boydma01,boydm001,571510,Matt,Boyd
bradeda01,bradd002,460284,Dallas,Braden
bradiky01,bradk001,680694,Kyle,Bradish
bradlar01,brada001,605151,Archie,Bradley
bradlta01,bradt002,671737,Taj,Bradley
brittza01,britz001,502154,Zack,Britton
brownhu01,browh001,686613,Hunter,Brown
brubajt01,brubj001,664141,JT,Brubaker
bubickr01,bubik001,663460,Kris,Bubic
buchhcl01,buchc001,453329,Clay,Buchholz
buehlwa01,buehw001,621111,Walker,Buehler
buehrma01,buehm001,279824,Mark,Buehrle
bumgama01,bumgm001,518516,Madison,Bumgarner
bundydy01,bundd001,605164,Dylan,Bundy
burkese01,burks001,680732,Sean,Burke
burnea.01,burna001,150359,A. J.,Burnett
burneco01,burnc002,669203,Corbin,Burnes
bushda01,bushd001,433657,Dave,Bush
cabreed02,cabre003,665795,Edward,Cabrera
cahiltr01,cahit001,502239,Trevor,Cahill
cainma01,cainm001,430912,Matt,Cain
camerno01,camen001,702070,Noah,Cameron
cannigr01,canng001,656288,Griffin,Canning
capuach01,capuc001,425626,Chris,Capuano
carmofa01,carmf001,433584,Roberto,Hernández
carpech01,carpc002,112020,Chris,Carpenter
carraca01,carrc003,471911,Carlos,Carrasco
carrosc02,carrs001,453222,Scott,Carroll
cashnan01,casha001,488768,Andrew,Cashner
castilu02,castl003,622491,Luis,Castillo
ceasedy01,ceasd001,656302,Dylan,Cease
ceccosl01,ceccs001,677944,Slade,Cecconi
cecilbr01,cecib001,446399,Brett,Cecil
chacijh01,chacj001,468504,Jhoulys,Chacín
chambjo03,chamj002,501955,Joba,Chamberlain
chatwty01,chatt001,543022,Tyler,Chatwood
chaveje01,chavj001,445926,Jesse,Chavez
chenbr01,chenb001,136600,Bruce,Chen
chenwe02,chenw001,612672,Wei-Yin,Chen
chiriyo01,chiry001,630023,Yonny,Chirinos
civalaa01,civaa001,650644,Aaron,Civale
clevimi01,clevm001,605182,Mike,Clevinger
cobbal01,cobba001,502171,Alex,Cobb
colege01,coleg001,543037,Gerrit,Cole
collmjo01,collj001,518567,Josh,Collmenter
colonba01,colob001,112526,Bartolo,Colón
conlead01,conla001,543045,Adam,Conley
contrjo01,contj002,425747,José,Contreras
cookaa01,cooka002,346871,Aaron,Cook
corbipa01,corbp001,571578,Patrick,Corbin
correke01,corrk001,429781,Kevin,Correia
cortene01,cortn001,641482,Néstor,Cortés
cosarja01,cosaj001,543054,Jarred,Cosart
cottojh01,cottj001,605194,Jharel,Cotton
crawfku01,crawk001,676710,Kutter,Crawford
crochga01,crocg001,676979,Garrett,Crochet
cuetojo01,cuetj001,456501,Johnny,Cueto
danksjo01,dankj001,433579,John,Danks
darviyu01,darvy001,506433,Yu,Darvish
davieky01,davik002,434678,Kyle,Davies
davieza02,daviz001,605200,Zach,Davies
davisdo02,david002,150277,Doug,Davis
daviswa01,daviw001,451584,Wade,Davis
degroja01,degrj001,594798,Jacob,deGrom
delarru01,delar003,523989,Rubby,De La Rosa
dempsry01,dempr002,133225,Ryan,Dempster
desclan01,desca001,543101,Anthony,DeSclafani
despaod01,despo001,628333,Odrisamer,Despaigne
detmere01,detmr001,672282,Reid,Detmers
detwiro01,detwr001,446321,Ross,Detwiler
diamosc01,diams001,539438,Scott,Diamond
dicker.01,dickr001,285079,R. A.,Dickey
