League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-10-27 23:42:31,2025-10-27 21:11,Utah Jazz,Phoenix Suns,No,505.1,Yes,-17.0,-65.25,-363.0,249.0,-119.0,-60.25,West,Northwest,West,Pacific,-125,-105,-360,260,-105,-125,102.0,-136.0,-520.0,350.0,-136.0,104.0,,,-385.0,235.0,,,-145.0,110.0,-190.0,145.0,-110.0,-115.0,100.0,-130.0,-360.0,255.0,-125.0,-105.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-27 23:42:31,2025-10-27 21:42,Minnesota Timberwolves,Denver Nuggets,Yes,699.6,Yes,-113.33,-118.17,402.5,-664.83,-113.67,-118.33,West,Northwest,West,Northwest,-125,-105,390,-600,-120,-110,-108.0,-122.0,285.0,-400.0,-102.0,-130.0,-125.0,-117.0,340.0,-625.0,-122.0,-120.0,-102.0,-125.0,550.0,-1000.0,-118.0,-110.0,-115.0,-115.0,400.0,-650.0,-115.0,-115.0,-105.0,-125.0,450.0,-714.0,-105.0,-125.0,,,,,,,,,,,,,,,,,,
NBA,2025-10-27 23:42:31,2025-10-27 22:11,Golden State Warriors,Memphis Grizzlies,No,1801.4,Yes,-76.0,-123.17,-792.67,471.67,-119.33,-113.0,West,Pacific,West,Southwest,-115,-115,-810,500,-120,-110,110.0,-146.0,-650.0,420.0,-114.0,-114.0,-115.0,-127.0,-835.0,460.0,-122.0,-120.0,-110.0,-118.0,-700.0,450.0,-110.0,-118.0,-115.0,-115.0,-650.0,400.0,-125.0,-105.0,-111.0,-118.0,-1111.0,600.0,-125.0,-111.0,,,,,,,,,,,,,,,,,,
NBA,2025-10-27 23:42:31,2025-10-27 22:41,Los Angeles Lakers,Portland Trail Blazers,No,826.1,Yes,-115.67,-115.17,232.5,-323.0,-114.0,-117.0,West,Pacific,West,Northwest,-120,-110,250,-345,-115,-115,-120.0,-110.0,260.0,-360.0,-108.0,-122.0,-121.0,-121.0,220.0,-315.0,-118.0,-124.0,-105.0,-125.0,175.0,-225.0,-110.0,-115.0,-110.0,-120.0,255.0,-360.0,-115.0,-115.0,-118.0,-105.0,235.0,-333.0,-118.0,-111.0,,,,,,,,,,,,,,,,,,
NBA,2025-10-27 23:42:31,2025-10-28 19:10,Washington Wizards,Philadelphia 76ers,No,120.7,Yes,-109.0,-112.25,160.75,-196.25,-110.75,-110.75,East,Southeast,East,Atlantic,-110,-110,164,-198,-110,-110,-106.0,-114.0,172.0,-205.0,-110.0,-110.0,-110.0,-115.0,148.0,-186.0,-113.0,-113.0,,,,,,,,,,,,,-110.0,-110.0,159.0,-196.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-10-27 23:42:31,2025-10-28 19:30,Miami Heat,Charlotte Hornets,Yes,651.7,Yes,-107.0,-112.67,-233.38,190.5,-112.44,-107.67,East,Southeast,East,Southeast,-110,-110,-230,190,-110,-110,-110.0,-110.0,-230.0,190.0,-110.0,-110.0,-112.0,-113.0,-225.0,175.0,-114.0,-112.0,-105.0,-115.0,-235.0,190.0,-110.0,-110.0,-105.0,-115.0,-225.0,185.0,-115.0,-105.0,-110.0,-110.0,-244.0,192.0,-110.0,-110.0,-101.0,-111.0,-238.0,202.0,-113.0,-102.0,-105.0,-115.0,-240.0,200.0,-115.0,-105.0,-105.0,-115.0,,,-115.0,-105.0
NBA,2025-10-27 23:42:31,2025-10-28 20:00,Milwaukee Bucks,New York Knicks,No,734.3,Yes,-110.0,-109.67,75.75,-120.75,-110.33,-109.67,East,Central,East,Atlantic,-110,-110,105,-125,-110,-110,-112.0,-108.0,102.0,-120.0,-112.0,-108.0,-112.0,-113.0,100.0,-124.0,-114.0,-112.0,-110.0,-110.0,100.0,-120.0,-110.0,-110.0,-110.0,-110.0,100.0,-120.0,-110.0,-110.0,-110.0,-110.0,101.0,-123.0,-110.0,-110.0,-106.0,-106.0,100.0,-116.0,-107.0,-107.0,-110.0,-110.0,-102.0,-118.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-10-27 23:42:31,2025-10-28 20:10,Oklahoma City Thunder,Sacramento Kings,No,1339.6,Yes,-111.0,-110.5,-559.0,403.75,-110.5,-111.0,West,Northwest,West,Pacific,-110,-110,-600,440,-110,-110,-112.0,-108.0,-550.0,410.0,-110.0,-110.0,-112.0,-114.0,-560.0,390.0,-112.0,-114.0,,,,,,,,,,,,,-110.0,-110.0,-526.0,375.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-10-27 23:42:31,2025-10-28 23:00,Golden State Warriors,Los Angeles Clippers,Yes,348.5,Yes,-110.29,-109.43,-122.0,101.5,-106.71,-113.14,West,Pacific,West,Pacific,-110,-110,-122,102,-110,-110,-112.0,-108.0,-122.0,104.0,-110.0,-110.0,-114.0,-112.0,-124.0,100.0,-110.0,-114.0,-110.0,-110.0,-120.0,100.0,-105.0,-115.0,,,,,,,,,,,,,-106.0,-106.0,,,-102.0,-113.0,-110.0,-110.0,,,-105.0,-115.0,-110.0,-110.0,,,-105.0,-115.0
NBA,2025-10-27 23:42:31,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-111.5,-111.5,-142.5,118.5,-111.5,-111.5,East,Atlantic,East,Central,-110,-110,-142,120,-110,-110,,,,,,,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-27 23:42:31,2025-12-25 14:30,Oklahoma City Thunder,San Antonio Spurs,No,419.4,No,-111.0,-111.5,-415.0,315.0,-108.5,-114.5,West,Northwest,West,Southwest,-110,-110,-410,320,-105,-115,,,,,,,-112.0,-113.0,-420.0,310.0,-112.0,-114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-27 23:42:31,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-113.0,-110.0,-202.5,165.0,-112.0,-111.0,West,Pacific,West,Southwest,-112,-108,-205,170,-110,-110,,,,,,,-114.0,-112.0,-200.0,160.0,-114.0,-112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-27 23:42:31,2025-12-25 20:00,Los Angeles Lakers,Houston Rockets,No,1375.3,Yes,-112.0,-108.0,-148.0,124.0,-115.0,-105.0,West,Pacific,West,Southwest,-112,-108,-148,124,-115,-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-27 23:42:31,2025-12-25 22:30,Denver Nuggets,Minnesota Timberwolves,Yes,699.6,Yes,-111.0,-112.0,-225.0,182.5,-113.5,-109.5,West,Northwest,West,Northwest,-105,-115,-230,190,-115,-105,,,,,,,-117.0,-109.0,-220.0,175.0,-112.0,-114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-27 23:42:31,2026-01-19 13:00,Atlanta Hawks,Milwaukee Bucks,No,668.3,No,-120.0,100.0,-218.0,180.0,-110.0,-110.0,East,Southeast,East,Central,-120,100,-218,180,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-27 23:42:31,2026-01-19 14:30,Cleveland Cavaliers,Oklahoma City Thunder,No,951.7,No,102.0,-122.0,-112.0,-108.0,-110.0,-110.0,East,Central,West,Northwest,102,-122,-112,-108,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-27 23:42:31,2026-01-19 17:00,New York Knicks,Dallas Mavericks,No,1374.4,No,100.0,-120.0,-265.0,215.0,-110.0,-110.0,East,Atlantic,West,Southwest,100,-120,-265,215,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-27 23:42:31,2026-01-19 20:00,Detroit Pistons,Boston Celtics,No,613.5,Yes,-110.0,-110.0,-198.0,164.0,-110.0,-110.0,East,Central,East,Atlantic,-110,-110,-198,164,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
