League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-10-28 11:27:13,2025-10-28 19:10,Washington Wizards,Philadelphia 76ers,No,120.7,Yes,-109.67,-110.0,149.67,-178.0,-109.89,-110.11,East,Southeast,East,Atlantic,-114.0,-106.0,152.0,-180.0,-110.0,-110.0,-102,-118,150,-180,-110,-110,-112.0,-113.0,135.0,-175.0,-112.0,-114.0,-110.0,-110.0,153.0,-189.0,-110.0,-110.0,-110.0,-102.0,154.0,-174.0,-107.0,-107.0,-114.0,-106.0,153.0,-174.0,-110.0,-110.0,-110.0,-110.0,155.0,-180.0,-110.0,-110.0,-105.0,-115.0,145.0,-175.0,-110.0,-110.0,-110.0,-110.0,150.0,-175.0,-110.0,-110.0
NBA,2025-10-28 11:27:13,2025-10-28 19:30,Miami Heat,Charlotte Hornets,Yes,651.7,Yes,-109.11,-110.67,-228.11,187.67,-110.33,-109.67,East,Southeast,East,Southeast,-112.0,-108.0,-230.0,190.0,-112.0,-108.0,-102,-118,-225,185,-110,-110,-117.0,-109.0,-235.0,180.0,-114.0,-112.0,-110.0,-110.0,-244.0,195.0,-110.0,-110.0,-106.0,-106.0,-219.0,188.0,-107.0,-107.0,-110.0,-110.0,-220.0,186.0,-110.0,-110.0,-115.0,-105.0,-235.0,195.0,-110.0,-110.0,-105.0,-115.0,-225.0,185.0,-110.0,-110.0,-105.0,-115.0,-220.0,185.0,-110.0,-110.0
NBA,2025-10-28 11:27:13,2025-10-28 20:00,Milwaukee Bucks,New York Knicks,No,734.3,Yes,-108.67,-111.11,60.67,-125.67,-109.56,-110.33,East,Central,East,Atlantic,-112.0,-108.0,100.0,-118.0,-110.0,-110.0,-105,-115,105,-125,-115,-105,-114.0,-112.0,-103.0,-122.0,-115.0,-110.0,-110.0,-110.0,-103.0,-118.0,-110.0,-110.0,-104.0,-108.0,112.0,-128.0,-104.0,-110.0,-108.0,-112.0,110.0,-130.0,-107.0,-113.0,-110.0,-110.0,110.0,-130.0,-110.0,-110.0,-105.0,-115.0,105.0,-130.0,-105.0,-115.0,-110.0,-110.0,110.0,-130.0,-110.0,-110.0
NBA,2025-10-28 11:27:13,2025-10-28 20:10,Oklahoma City Thunder,Sacramento Kings,No,1339.6,Yes,-108.33,-111.44,-492.22,370.67,-109.89,-110.0,West,Northwest,West,Pacific,-110.0,-110.0,-480.0,370.0,-110.0,-110.0,-105,-115,-455,350,-112,-108,-114.0,-112.0,-530.0,375.0,-110.0,-115.0,-110.0,-110.0,-526.0,375.0,-110.0,-110.0,-101.0,-111.0,-469.0,374.0,-107.0,-107.0,-105.0,-115.0,-475.0,367.0,-110.0,-110.0,-115.0,-105.0,-470.0,345.0,-110.0,-110.0,-105.0,-115.0,-500.0,375.0,-110.0,-110.0,-110.0,-110.0,-525.0,405.0,-110.0,-110.0
NBA,2025-10-28 11:27:13,2025-10-28 23:00,Golden State Warriors,Los Angeles Clippers,Yes,348.5,Yes,-110.56,-109.22,109.11,-130.11,-110.11,-109.89,West,Pacific,West,Pacific,-112.0,-108.0,110.0,-130.0,-112.0,-108.0,-118,-102,105,-125,-108,-112,-113.0,-113.0,104.0,-129.0,-114.0,-112.0,-110.0,-110.0,107.0,-130.0,-110.0,-110.0,-104.0,-108.0,114.0,-130.0,-107.0,-107.0,-108.0,-112.0,112.0,-132.0,-110.0,-110.0,-105.0,-115.0,110.0,-130.0,-110.0,-110.0,-115.0,-105.0,110.0,-135.0,-110.0,-110.0,-110.0,-110.0,110.0,-130.0,-110.0,-110.0
NBA,2025-10-28 11:27:13,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-111.5,-111.5,-142.5,118.5,-111.5,-111.5,East,Atlantic,East,Central,,,,,,,-110,-110,-142,120,-110,-110,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-28 11:27:13,2025-12-25 14:30,Oklahoma City Thunder,San Antonio Spurs,No,419.4,No,-111.0,-111.5,-415.0,315.0,-113.5,-109.5,West,Northwest,West,Southwest,,,,,,,-110,-110,-410,320,-115,-105,-112.0,-113.0,-420.0,310.0,-112.0,-114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-28 11:27:13,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-113.0,-110.0,-202.5,165.0,-112.0,-111.0,West,Pacific,West,Southwest,,,,,,,-112,-108,-205,170,-110,-110,-114.0,-112.0,-200.0,160.0,-114.0,-112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-28 11:27:13,2025-12-25 20:00,Los Angeles Lakers,Houston Rockets,No,1375.3,Yes,-112.0,-108.0,-148.0,124.0,-105.0,-115.0,West,Pacific,West,Southwest,,,,,,,-112,-108,-148,124,-105,-115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-28 11:27:13,2025-12-25 22:30,Denver Nuggets,Minnesota Timberwolves,Yes,699.6,Yes,-111.0,-112.0,-225.0,182.5,-113.5,-109.5,West,Northwest,West,Northwest,,,,,,,-105,-115,-230,190,-115,-105,-117.0,-109.0,-220.0,175.0,-112.0,-114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-28 11:27:13,2026-01-19 13:00,Atlanta Hawks,Milwaukee Bucks,No,668.3,No,-102.0,-118.0,-218.0,180.0,-110.0,-110.0,East,Southeast,East,Central,,,,,,,-102,-118,-218,180,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-28 11:27:13,2026-01-19 14:30,Cleveland Cavaliers,Oklahoma City Thunder,No,951.7,No,102.0,-122.0,-112.0,-108.0,-110.0,-110.0,East,Central,West,Northwest,,,,,,,102,-122,-112,-108,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-28 11:27:13,2026-01-19 17:00,New York Knicks,Dallas Mavericks,No,1374.4,No,-120.0,100.0,-258.0,210.0,-110.0,-110.0,East,Atlantic,West,Southwest,,,,,,,-120,100,-258,210,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-28 11:27:13,2026-01-19 20:00,Detroit Pistons,Boston Celtics,No,613.5,Yes,-110.0,-110.0,-198.0,164.0,-110.0,-110.0,East,Central,East,Atlantic,,,,,,,-110,-110,-198,164,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
