League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-10-28 21:56:31,2025-10-28 19:11,Washington Wizards,Philadelphia 76ers,No,120.7,Yes,135.0,-175.0,1100.0,-3022.5,120.0,-154.0,East,Southeast,East,Atlantic,,,470.0,-770.0,,,135.0,-175.0,,,120.0,-154.0,,,475.0,-1115.0,,,,,155.0,-205.0,,,,,3300.0,-10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-28 21:56:31,2025-10-28 19:41,Miami Heat,Charlotte Hornets,Yes,651.7,Yes,-204.67,43.33,,,-121.33,-45.33,East,Southeast,East,Southeast,-152.0,114.0,,,-138.0,104.0,-315.0,230.0,,,-115.0,-115.0,-115.0,-129.0,,,,,-110.0,-120.0,,,,,-425.0,290.0,,,,,-111.0,-125.0,,,-111.0,-125.0,,,,,,,,,,,,,,,,,,
NBA,2025-10-28 21:56:31,2025-10-28 20:12,Oklahoma City Thunder,Sacramento Kings,No,1339.6,Yes,-81.5,-85.83,-89.33,-41.67,-117.5,-114.5,West,Northwest,West,Pacific,-144.0,108.0,-140.0,110.0,-125.0,-106.0,105.0,-135.0,-120.0,-110.0,-120.0,-110.0,-114.0,-130.0,-121.0,-115.0,-127.0,-115.0,-115.0,-115.0,-120.0,-110.0,-110.0,-120.0,-110.0,-118.0,-150.0,118.0,-105.0,-125.0,-111.0,-125.0,115.0,-143.0,-118.0,-111.0,,,,,,,,,,,,,,,,,,
NBA,2025-10-28 21:56:31,2025-10-28 20:13,Milwaukee Bucks,New York Knicks,No,734.3,Yes,-78.33,-121.17,-119.83,-41.83,-118.0,-115.0,East,Central,East,Atlantic,-118.0,-112.0,-115.0,-111.0,-118.0,-112.0,-110.0,-120.0,-125.0,-105.0,-110.0,-120.0,-127.0,-115.0,-134.0,100.0,-125.0,-117.0,-115.0,-115.0,-110.0,-120.0,-115.0,-115.0,105.0,-140.0,-110.0,-115.0,-115.0,-115.0,-105.0,-125.0,-125.0,100.0,-125.0,-111.0,,,,,,,,,,,,,,,,,,
NBA,2025-10-28 21:56:31,2025-10-28 23:00,Golden State Warriors,Los Angeles Clippers,Yes,348.5,Yes,-110.11,-109.56,101.67,-121.67,-110.44,-109.56,West,Pacific,West,Pacific,-114.0,-106.0,104.0,-122.0,-110.0,-110.0,-110.0,-110.0,100.0,-120.0,-110.0,-110.0,-110.0,-115.0,100.0,-125.0,-113.0,-113.0,-115.0,-105.0,105.0,-125.0,-110.0,-110.0,-110.0,-110.0,100.0,-120.0,-110.0,-110.0,-110.0,-110.0,100.0,-121.0,-110.0,-110.0,-104.0,-108.0,104.0,-120.0,-109.0,-105.0,-108.0,-112.0,102.0,-122.0,-112.0,-108.0,-110.0,-110.0,100.0,-120.0,-110.0,-110.0
NBA,2025-10-28 21:56:31,2025-10-29 18:40,Toronto Raptors,Houston Rockets,No,1301.2,No,-109.78,-110.0,188.67,-232.67,-110.0,-110.0,East,Atlantic,West,Southwest,-110.0,-110.0,190.0,-230.0,-110.0,-110.0,-110.0,-110.0,195.0,-238.0,-110.0,-110.0,-112.0,-114.0,180.0,-235.0,-113.0,-113.0,-110.0,-110.0,195.0,-235.0,-110.0,-110.0,-110.0,-110.0,185.0,-225.0,-110.0,-110.0,-110.0,-110.0,187.0,-233.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-10-28 21:56:31,2025-10-29 19:10,Boston Celtics,Cleveland Cavaliers,No,550.5,Yes,-109.89,-109.89,149.5,-180.33,-109.0,-111.0,East,Atlantic,East,Central,-114.0,-106.0,148.0,-176.0,-105.0,-115.0,-105.0,-115.0,150.0,-180.0,-110.0,-110.0,-109.0,-117.0,143.0,-177.0,-114.0,-112.0,-110.0,-110.0,160.0,-185.0,-110.0,-110.0,-115.0,-105.0,150.0,-185.0,-105.0,-115.0,-110.0,-110.0,146.0,-179.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-10-28 21:56:31,2025-10-29 19:10,Detroit Pistons,Orlando Magic,No,956.1,Yes,-108.75,-111.0,-66.0,-114.6,-109.75,-110.25,East,Central,East,Southeast,-110.0,-110.0,100.0,-118.0,-108.0,-112.0,-102.0,-118.0,-112.0,-108.0,-110.0,-110.0,-112.0,-114.0,-105.0,-118.0,-113.0,-113.0,-110.0,-110.0,-105.0,-115.0,-110.0,-110.0,,,,,,,-110.0,-110.0,-108.0,-114.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-10-28 21:56:31,2025-10-29 19:30,Brooklyn Nets,Atlanta Hawks,No,746.3,Yes,-108.67,-111.11,271.67,-345.83,-110.67,-109.33,East,Atlantic,East,Southeast,-105.0,-115.0,265.0,-330.0,-115.0,-105.0,-115.0,-105.0,285.0,-360.0,-110.0,-110.0,-117.0,-109.0,270.0,-360.0,-114.0,-112.0,-110.0,-110.0,265.0,-330.0,-110.0,-110.0,-110.0,-110.0,280.0,-350.0,-110.0,-110.0,-110.0,-110.0,265.0,-345.0,-110.0,-110.0,-101.0,-111.0,,,-107.0,-107.0,-105.0,-115.0,,,-110.0,-110.0,-105.0,-115.0,,,-110.0,-110.0
NBA,2025-10-28 21:56:31,2025-10-29 20:10,Chicago Bulls,Sacramento Kings,No,1791.5,Yes,-110.0,-110.0,-178.0,150.0,-110.0,-110.0,East,Central,West,Pacific,-110.0,-110.0,-178.0,150.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
