League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-10-28 23:49:54,2025-10-28 23:13,Golden State Warriors,Los Angeles Clippers,Yes,348.5,Yes,-118.67,-112.0,-313.33,225.83,-112.5,-117.67,West,Pacific,West,Pacific,-125,-105,-330,240,-115,-115,-110.0,-118.0,-325.0,240.0,-110.0,-118.0,-130.0,-102.0,-340.0,250.0,-114.0,-114.0,-121.0,-121.0,-360.0,240.0,-121.0,-121.0,-111.0,-111.0,-200.0,155.0,-105.0,-118.0,-115.0,-115.0,-325.0,230.0,-110.0,-120.0,,,,,,,,,,,,,,,,,,
NBA,2025-10-28 23:49:54,2025-10-29 18:40,Toronto Raptors,Houston Rockets,No,1301.2,No,-108.89,-110.89,187.67,-227.67,-109.11,-111.0,East,Atlantic,West,Southwest,-105,-115,180,-218,-110,-110,-105.0,-115.0,185.0,-225.0,-110.0,-110.0,-112.0,-108.0,180.0,-215.0,-110.0,-110.0,-112.0,-114.0,180.0,-235.0,-113.0,-113.0,-110.0,-110.0,187.0,-233.0,-110.0,-110.0,-110.0,-110.0,195.0,-235.0,-110.0,-110.0,-110.0,-110.0,192.0,-230.0,-106.0,-114.0,-106.0,-106.0,195.0,-228.0,-103.0,-112.0,-110.0,-110.0,195.0,-230.0,-110.0,-110.0
NBA,2025-10-28 23:49:54,2025-10-29 19:10,Boston Celtics,Cleveland Cavaliers,No,550.5,Yes,-111.0,-108.67,150.67,-179.22,-110.44,-109.56,East,Atlantic,East,Central,-115,-105,150,-180,-118,-102,-115.0,-105.0,154.0,-190.0,-105.0,-115.0,-108.0,-112.0,138.0,-164.0,-112.0,-108.0,-115.0,-110.0,143.0,-180.0,-112.0,-114.0,-110.0,-110.0,146.0,-179.0,-110.0,-110.0,-110.0,-110.0,155.0,-180.0,-110.0,-110.0,-110.0,-110.0,157.0,-180.0,-110.0,-110.0,-106.0,-106.0,158.0,-180.0,-107.0,-107.0,-110.0,-110.0,155.0,-180.0,-110.0,-110.0
NBA,2025-10-28 23:49:54,2025-10-29 19:10,Detroit Pistons,Orlando Magic,No,956.1,Yes,-111.11,-86.44,-106.25,-113.5,-109.22,-110.78,East,Central,East,Southeast,-120,100,-110,-110,-110,-110,-115.0,-105.0,-105.0,-115.0,-110.0,-110.0,-106.0,-114.0,-108.0,-108.0,-108.0,-112.0,-113.0,-113.0,-106.0,-118.0,-112.0,-114.0,-110.0,-110.0,-108.0,-114.0,-110.0,-110.0,-110.0,-110.0,-105.0,-115.0,-110.0,-110.0,-110.0,-110.0,-105.0,-115.0,-108.0,-112.0,-106.0,-106.0,-103.0,-113.0,-105.0,-109.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-10-28 23:49:54,2025-10-29 19:30,Brooklyn Nets,Atlanta Hawks,No,746.3,Yes,-110.0,-109.78,260.33,-324.11,-111.33,-108.67,East,Atlantic,East,Southeast,-115,-105,250,-310,-112,-108,-110.0,-110.0,280.0,-350.0,-110.0,-110.0,-110.0,-110.0,235.0,-290.0,-115.0,-105.0,-114.0,-112.0,245.0,-315.0,-114.0,-112.0,-110.0,-110.0,265.0,-345.0,-110.0,-110.0,-115.0,-105.0,260.0,-320.0,-110.0,-110.0,-105.0,-115.0,267.0,-330.0,-112.0,-108.0,-101.0,-111.0,271.0,-327.0,-109.0,-105.0,-110.0,-110.0,270.0,-330.0,-110.0,-110.0
NBA,2025-10-28 23:49:54,2025-10-29 20:10,Chicago Bulls,Sacramento Kings,No,1791.5,Yes,-111.12,-108.5,-198.5,165.5,-111.25,-108.75,East,Central,West,Pacific,-115,-105,-198,164,-115,-105,-115.0,-105.0,-210.0,170.0,-115.0,-105.0,-110.0,-110.0,-190.0,160.0,-110.0,-110.0,-113.0,-112.0,-186.0,148.0,-113.0,-113.0,-110.0,-110.0,-204.0,163.0,-110.0,-110.0,,,,,,,-110.0,-110.0,-200.0,174.0,-110.0,-110.0,-106.0,-106.0,-200.0,175.0,-107.0,-107.0,-110.0,-110.0,-200.0,170.0,-110.0,-110.0
NBA,2025-10-28 23:49:54,2025-10-29 20:30,Dallas Mavericks,Indiana Pacers,No,763.9,Yes,-109.62,-109.88,-287.88,233.0,-108.38,-111.5,West,Southwest,East,Central,-115,-105,-290,235,-115,-105,-115.0,-105.0,-285.0,230.0,-105.0,-115.0,-112.0,-108.0,-290.0,235.0,-110.0,-110.0,-109.0,-115.0,-315.0,240.0,-110.0,-114.0,-110.0,-110.0,-286.0,226.0,-110.0,-110.0,,,,,,,-105.0,-115.0,-280.0,230.0,-105.0,-115.0,-101.0,-111.0,-277.0,233.0,-102.0,-113.0,-110.0,-110.0,-280.0,235.0,-110.0,-110.0
NBA,2025-10-28 23:49:54,2025-10-29 21:00,Denver Nuggets,New Orleans Pelicans,No,1081.8,Yes,-110.12,-109.62,-684.25,486.25,-107.62,-112.5,West,Northwest,West,Southwest,-110,-110,-675,490,-105,-115,-110.0,-110.0,-750.0,525.0,-105.0,-115.0,-112.0,-108.0,-620.0,460.0,-110.0,-110.0,-113.0,-113.0,-715.0,460.0,-114.0,-112.0,-110.0,-110.0,-625.0,433.0,-110.0,-110.0,,,,,,,-110.0,-110.0,-700.0,505.0,-105.0,-115.0,-106.0,-106.0,-689.0,517.0,-102.0,-113.0,-110.0,-110.0,-700.0,500.0,-110.0,-110.0
NBA,2025-10-28 23:49:54,2025-10-29 21:00,Utah Jazz,Portland Trail Blazers,Yes,635.0,Yes,-108.75,-111.0,110.0,-132.0,-109.0,-110.88,West,Northwest,West,Northwest,-105,-115,105,-125,-110,-110,-105.0,-115.0,105.0,-130.0,-105.0,-115.0,-110.0,-110.0,120.0,-142.0,-108.0,-112.0,-114.0,-112.0,108.0,-136.0,-112.0,-113.0,-110.0,-110.0,110.0,-135.0,-110.0,-110.0,,,,,,,-110.0,-110.0,110.0,-130.0,-110.0,-110.0,-106.0,-106.0,112.0,-128.0,-107.0,-107.0,-110.0,-110.0,110.0,-130.0,-110.0,-110.0
NBA,2025-10-28 23:49:54,2025-10-29 21:40,Minnesota Timberwolves,Los Angeles Lakers,No,1524.7,Yes,-109.78,-109.89,-274.67,223.11,-107.67,-112.44,West,Northwest,West,Pacific,-105,-115,-278,225,-105,-115,-105.0,-115.0,-275.0,220.0,-110.0,-110.0,-112.0,-108.0,-260.0,215.0,-105.0,-115.0,-110.0,-115.0,-286.0,220.0,-112.0,-114.0,-110.0,-110.0,-286.0,226.0,-110.0,-110.0,-110.0,-110.0,-280.0,230.0,-110.0,-110.0,-115.0,-105.0,-270.0,222.0,-105.0,-115.0,-111.0,-101.0,-267.0,225.0,-102.0,-113.0,-110.0,-110.0,-270.0,225.0,-110.0,-110.0
NBA,2025-10-28 23:49:54,2025-10-29 22:10,Phoenix Suns,Memphis Grizzlies,No,1262.6,Yes,-111.12,-108.62,58.5,-129.12,-111.5,-83.62,West,Pacific,West,Southwest,-115,-105,110,-130,-110,-110,-115.0,-105.0,110.0,-135.0,-110.0,-110.0,-110.0,-110.0,106.0,-124.0,-106.0,-114.0,-113.0,-113.0,-103.0,-122.0,-114.0,-112.0,-110.0,-110.0,-102.0,-119.0,-110.0,-110.0,,,,,,,-110.0,-110.0,115.0,-135.0,-117.0,-103.0,-106.0,-106.0,117.0,-133.0,-115.0,100.0,-110.0,-110.0,115.0,-135.0,-110.0,-110.0
NBA,2025-10-28 23:49:54,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-111.0,-111.0,-142.0,117.33,-111.0,-111.0,East,Atlantic,East,Central,-110,-110,-142,120,-110,-110,,,,,,,,,,,,,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,-110.0,-110.0,-141.0,115.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-28 23:49:54,2025-12-25 14:30,Oklahoma City Thunder,San Antonio Spurs,No,419.4,No,-110.67,-111.0,-426.67,320.0,-109.0,-113.0,West,Northwest,West,Southwest,-110,-110,-410,320,-105,-115,,,,,,,,,,,,,-112.0,-113.0,-420.0,310.0,-112.0,-114.0,-110.0,-110.0,-450.0,330.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-28 23:49:54,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-112.0,-110.0,-199.33,162.0,-111.33,-110.67,West,Pacific,West,Southwest,-112,-108,-205,170,-110,-110,,,,,,,,,,,,,-114.0,-112.0,-200.0,160.0,-114.0,-112.0,-110.0,-110.0,-193.0,156.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-28 23:49:54,2025-12-25 20:00,Los Angeles Lakers,Houston Rockets,No,1375.3,Yes,-111.0,-109.0,-145.5,120.5,-112.5,-107.5,West,Pacific,West,Southwest,-112,-108,-148,124,-115,-105,,,,,,,,,,,,,,,,,,,-110.0,-110.0,-143.0,117.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,
