League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds
NBA,2025-10-29 14:35:06,2025-10-29 18:40,Toronto Raptors,Houston Rockets,No,1301.2,No,-107.33,-112.44,183.78,-222.33,-111.22,-108.78,East,Atlantic,West,Southwest,-106.0,-114.0,188.0,-220.0,-112.0,-108.0,-107.0,-113.0,186.0,-220.0,-115.0,-105.0,-103.0,-109.0,188.0,-219.0,-113.0,-102.0,-108,-112,185,-225,-108,-112,-110.0,-110.0,172.0,-217.0,-110.0,-110.0,-105.0,-115.0,185.0,-225.0,-110.0,-110.0,-105.0,-115.0,185.0,-225.0,-110.0,-110.0,-110.0,-110.0,185.0,-220.0,-110.0,-110.0,-112.0,-114.0,180.0,-230.0,-113.0,-112.0
NBA,2025-10-29 14:35:06,2025-10-29 19:10,Boston Celtics,Cleveland Cavaliers,No,550.5,Yes,-109.11,-110.67,142.89,-169.56,-108.44,-111.67,East,Atlantic,East,Central,-114.0,-106.0,138.0,-164.0,-112.0,-108.0,-110.0,-110.0,149.0,-170.0,-105.0,-115.0,-106.0,-106.0,150.0,-170.0,-102.0,-113.0,-108,-112,145,-175,-110,-110,-110.0,-110.0,136.0,-167.0,-110.0,-110.0,-110.0,-110.0,140.0,-170.0,-105.0,-115.0,-105.0,-115.0,150.0,-175.0,-110.0,-110.0,-110.0,-110.0,146.0,-170.0,-110.0,-110.0,-109.0,-117.0,132.0,-165.0,-112.0,-114.0
NBA,2025-10-29 14:35:06,2025-10-29 19:10,Detroit Pistons,Orlando Magic,No,956.1,Yes,-108.0,-111.56,109.11,-130.22,-108.22,-111.89,East,Central,East,Southeast,-108.0,-112.0,112.0,-132.0,-108.0,-112.0,-108.0,-112.0,110.0,-130.0,-105.0,-115.0,-104.0,-108.0,112.0,-128.0,-102.0,-113.0,-102,-118,110,-130,-112,-108,-110.0,-110.0,106.0,-130.0,-110.0,-110.0,-105.0,-115.0,110.0,-135.0,-105.0,-115.0,-110.0,-110.0,110.0,-130.0,-110.0,-110.0,-110.0,-110.0,110.0,-130.0,-110.0,-110.0,-115.0,-109.0,102.0,-127.0,-112.0,-114.0
NBA,2025-10-29 14:35:06,2025-10-29 19:30,Brooklyn Nets,Atlanta Hawks,No,746.3,Yes,-111.11,-108.67,264.22,-331.22,-110.78,-109.0,East,Atlantic,East,Southeast,-108.0,-112.0,260.0,-320.0,-110.0,-110.0,-107.0,-113.0,270.0,-335.0,-113.0,-107.0,-103.0,-109.0,274.0,-331.0,-110.0,-104.0,-118,-102,270,-340,-110,-110,-110.0,-110.0,264.0,-345.0,-110.0,-110.0,-115.0,-105.0,260.0,-325.0,-110.0,-110.0,-115.0,-105.0,275.0,-350.0,-110.0,-110.0,-110.0,-110.0,270.0,-330.0,-110.0,-110.0,-114.0,-112.0,235.0,-305.0,-114.0,-110.0
NBA,2025-10-29 14:35:06,2025-10-29 20:10,Chicago Bulls,Sacramento Kings,No,1791.5,Yes,-110.22,-109.44,-196.78,164.22,-110.78,-109.33,East,Central,West,Pacific,-108.0,-112.0,-186.0,154.0,-112.0,-108.0,-105.0,-115.0,-190.0,165.0,-115.0,-105.0,-101.0,-111.0,-190.0,166.0,-113.0,-102.0,-118,-102,-205,170,-108,-112,-110.0,-110.0,-200.0,161.0,-110.0,-110.0,-115.0,-105.0,-200.0,165.0,-105.0,-115.0,-115.0,-105.0,-210.0,175.0,-110.0,-110.0,-110.0,-110.0,-195.0,167.0,-110.0,-110.0,-110.0,-115.0,-195.0,155.0,-114.0,-112.0
NBA,2025-10-29 14:35:06,2025-10-29 20:30,Dallas Mavericks,Indiana Pacers,No,763.9,Yes,-108.44,-111.11,-239.0,196.67,-109.67,-110.11,West,Southwest,East,Central,-106.0,-114.0,-230.0,190.0,-114.0,-106.0,-110.0,-110.0,-240.0,200.0,-108.0,-112.0,-106.0,-106.0,-238.0,202.0,-105.0,-109.0,-105,-115,-250,205,-110,-110,-110.0,-110.0,-238.0,187.0,-110.0,-110.0,-105.0,-115.0,-235.0,195.0,-110.0,-110.0,-110.0,-110.0,-240.0,200.0,-110.0,-110.0,-110.0,-110.0,-240.0,203.0,-110.0,-110.0,-114.0,-110.0,-240.0,188.0,-110.0,-114.0
NBA,2025-10-29 14:35:06,2025-10-29 21:00,Denver Nuggets,New Orleans Pelicans,No,1081.8,Yes,-110.56,-109.22,-719.22,502.89,-110.89,-109.22,West,Northwest,West,Southwest,-114.0,-106.0,-750.0,530.0,-110.0,-110.0,-110.0,-110.0,-700.0,505.0,-115.0,-105.0,-106.0,-106.0,-689.0,517.0,-113.0,-102.0,-112,-108,-700,500,-108,-112,-110.0,-110.0,-769.0,499.0,-110.0,-110.0,-110.0,-110.0,-750.0,525.0,-110.0,-110.0,-110.0,-110.0,-700.0,475.0,-110.0,-110.0,-110.0,-110.0,-700.0,500.0,-110.0,-110.0,-113.0,-113.0,-715.0,475.0,-112.0,-114.0
NBA,2025-10-29 14:35:06,2025-10-29 21:00,Utah Jazz,Portland Trail Blazers,Yes,635.0,Yes,-108.56,-111.22,125.0,-147.78,-110.33,-109.44,West,Northwest,West,Northwest,-110.0,-110.0,124.0,-146.0,-110.0,-110.0,-110.0,-110.0,125.0,-145.0,-108.0,-112.0,-106.0,-106.0,127.0,-144.0,-105.0,-109.0,-102,-118,124,-148,-115,-105,-110.0,-110.0,130.0,-159.0,-110.0,-110.0,-105.0,-115.0,125.0,-150.0,-115.0,-105.0,-110.0,-110.0,130.0,-150.0,-110.0,-110.0,-110.0,-110.0,125.0,-145.0,-110.0,-110.0,-114.0,-112.0,115.0,-143.0,-110.0,-114.0
NBA,2025-10-29 14:35:06,2025-10-29 21:40,Minnesota Timberwolves,Los Angeles Lakers,No,1524.7,Yes,-110.44,-109.33,-287.89,233.67,-111.44,-108.56,West,Northwest,West,Pacific,-106.0,-114.0,-290.0,235.0,-112.0,-108.0,-115.0,-105.0,-285.0,234.0,-110.0,-110.0,-111.0,-101.0,-282.0,237.0,-107.0,-107.0,-108,-112,-290,235,-115,-105,-110.0,-110.0,-294.0,229.0,-110.0,-110.0,-110.0,-110.0,-285.0,230.0,-110.0,-110.0,-110.0,-110.0,-285.0,235.0,-115.0,-105.0,-110.0,-110.0,-285.0,238.0,-110.0,-110.0,-114.0,-112.0,-295.0,230.0,-114.0,-112.0
NBA,2025-10-29 14:35:06,2025-10-29 22:10,Phoenix Suns,Memphis Grizzlies,No,1262.6,Yes,-108.78,-110.89,107.78,-128.78,-110.78,-109.22,West,Pacific,West,Southwest,-110.0,-110.0,112.0,-132.0,-110.0,-110.0,-114.0,-106.0,107.0,-127.0,-110.0,-110.0,-110.0,-102.0,109.0,-125.0,-107.0,-107.0,-105,-115,110,-130,-112,-108,-110.0,-110.0,110.0,-135.0,-110.0,-110.0,-105.0,-115.0,105.0,-130.0,-110.0,-110.0,-105.0,-115.0,110.0,-130.0,-115.0,-105.0,-110.0,-110.0,105.0,-125.0,-110.0,-110.0,-110.0,-115.0,102.0,-125.0,-113.0,-113.0
NBA,2025-10-29 14:35:06,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-111.5,-111.5,-142.5,118.5,-111.5,-111.5,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,-110,-110,-142,120,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,-113.0,-113.0,-143.0,117.0,-113.0,-113.0
NBA,2025-10-29 14:35:06,2025-12-25 14:30,Oklahoma City Thunder,San Antonio Spurs,No,419.4,No,-111.0,-111.5,-415.0,315.0,-108.5,-114.5,West,Northwest,West,Southwest,,,,,,,,,,,,,,,,,,,-110,-110,-410,320,-105,-115,,,,,,,,,,,,,,,,,,,,,,,,,-112.0,-113.0,-420.0,310.0,-112.0,-114.0
NBA,2025-10-29 14:35:06,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-113.0,-110.0,-202.5,165.0,-112.0,-111.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,-112,-108,-205,170,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,-114.0,-112.0,-200.0,160.0,-114.0,-112.0
NBA,2025-10-29 14:35:06,2025-12-25 20:00,Los Angeles Lakers,Houston Rockets,No,1375.3,Yes,-112.0,-108.0,-148.0,124.0,-105.0,-115.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,-112,-108,-148,124,-105,-115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-29 14:35:06,2025-12-25 22:30,Denver Nuggets,Minnesota Timberwolves,Yes,699.6,Yes,-111.0,-112.0,-222.5,180.0,-113.5,-109.5,West,Northwest,West,Northwest,,,,,,,,,,,,,,,,,,,-105,-115,-225,185,-115,-105,,,,,,,,,,,,,,,,,,,,,,,,,-117.0,-109.0,-220.0,175.0,-112.0,-114.0
NBA,2025-10-29 14:35:06,2026-01-19 13:00,Atlanta Hawks,Milwaukee Bucks,No,668.3,No,-118.0,-102.0,-218.0,180.0,-110.0,-110.0,East,Southeast,East,Central,,,,,,,,,,,,,,,,,,,-118,-102,-218,180,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-29 14:35:06,2026-01-19 14:30,Cleveland Cavaliers,Oklahoma City Thunder,No,951.7,No,102.0,-122.0,-112.0,-108.0,-110.0,-110.0,East,Central,West,Northwest,,,,,,,,,,,,,,,,,,,102,-122,-112,-108,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-29 14:35:06,2026-01-19 17:00,New York Knicks,Dallas Mavericks,No,1374.4,No,-120.0,100.0,-258.0,210.0,-110.0,-110.0,East,Atlantic,West,Southwest,,,,,,,,,,,,,,,,,,,-120,100,-258,210,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-29 14:35:06,2026-01-19 20:00,Detroit Pistons,Boston Celtics,No,613.5,Yes,-110.0,-110.0,-198.0,164.0,-110.0,-110.0,East,Central,East,Atlantic,,,,,,,,,,,,,,,,,,,-110,-110,-198,164,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
