League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds
NBA,2025-10-30 05:26:28,2025-10-30 19:10,Charlotte Hornets,Orlando Magic,Yes,461.8,Yes,-109.67,-110.11,126.11,-149.0,-111.56,-108.56,East,Southeast,East,Southeast,-108.0,-112.0,124.0,-146.0,-112.0,-108.0,-108.0,-112.0,128.0,-148.0,-115.0,-105.0,-104.0,-108.0,130.0,-147.0,-113.0,-102.0,-115,-105,124,-148,-110,-110,-110.0,-110.0,126.0,-155.0,-110.0,-110.0,-115.0,-105.0,125.0,-150.0,-110.0,-110.0,-110.0,-110.0,125.0,-145.0,-110.0,-110.0,-105.0,-115.0,130.0,-150.0,-110.0,-110.0,-112.0,-114.0,123.0,-152.0,-114.0,-112.0
NBA,2025-10-30 05:26:28,2025-10-30 20:10,Milwaukee Bucks,Golden State Warriors,No,1840.7,Yes,-107.89,-111.78,119.78,-141.89,-112.22,-107.89,East,Central,West,Pacific,-110.0,-110.0,122.0,-144.0,-114.0,-106.0,-105.0,-115.0,122.0,-142.0,-115.0,-105.0,-101.0,-111.0,124.0,-141.0,-113.0,-102.0,-105,-115,120,-142,-110,-110,-110.0,-110.0,113.0,-139.0,-110.0,-110.0,-110.0,-110.0,115.0,-140.0,-110.0,-110.0,-105.0,-115.0,125.0,-145.0,-115.0,-105.0,-115.0,-105.0,125.0,-145.0,-110.0,-110.0,-110.0,-115.0,112.0,-139.0,-113.0,-113.0
NBA,2025-10-30 05:26:28,2025-10-30 20:10,Oklahoma City Thunder,Washington Wizards,No,1152.7,Yes,-108.44,-111.33,-1144.43,692.71,-111.44,-108.56,West,Northwest,East,Southeast,-108.0,-112.0,-1100.0,700.0,-110.0,-110.0,-110.0,-110.0,,,-115.0,-105.0,-106.0,-106.0,,,-113.0,-102.0,-108,-112,-1100,700,-108,-112,-110.0,-110.0,-1111.0,674.0,-110.0,-110.0,-105.0,-115.0,-1400.0,775.0,-110.0,-110.0,-110.0,-110.0,-1100.0,700.0,-115.0,-105.0,-105.0,-115.0,-1200.0,700.0,-110.0,-110.0,-114.0,-112.0,-1000.0,600.0,-112.0,-113.0
NBA,2025-10-30 05:26:28,2025-10-30 20:30,San Antonio Spurs,Miami Heat,No,1145.9,Yes,-107.33,-112.33,-219.33,181.33,-110.44,-109.56,West,Southwest,East,Southeast,-110.0,-110.0,-225.0,188.0,-110.0,-110.0,-105.0,-115.0,-215.0,183.0,-110.0,-110.0,-101.0,-111.0,-214.0,185.0,-107.0,-107.0,-110,-110,-218,180,-108,-112,-110.0,-110.0,-222.0,178.0,-110.0,-110.0,-105.0,-115.0,-220.0,180.0,-115.0,-105.0,-105.0,-115.0,-215.0,183.0,-110.0,-110.0,-105.0,-115.0,-220.0,180.0,-110.0,-110.0,-115.0,-110.0,-225.0,175.0,-114.0,-112.0
NBA,2025-10-30 05:26:28,2025-10-31 19:00,Indiana Pacers,Atlanta Hawks,No,425.5,Yes,-110.0,-110.0,124.0,-148.0,-110.0,-110.0,East,Central,East,Southeast,,,,,,,,,,,,,,,,,,,-110,-110,124,-148,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-30 05:26:28,2025-10-31 19:00,Philadelphia 76ers,Boston Celtics,Yes,273.6,Yes,-110.0,-110.0,-198.0,164.0,-110.0,-110.0,East,Atlantic,East,Atlantic,,,,,,,,,,,,,,,,,,,-110,-110,-198,164,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-30 05:26:28,2025-10-31 19:30,Cleveland Cavaliers,Toronto Raptors,No,189.3,Yes,-110.0,-110.0,-395.0,310.0,-110.0,-110.0,East,Central,East,Atlantic,,,,,,,,,,,,,,,,,,,-110,-110,-395,310,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-30 05:26:28,2025-10-31 20:00,Chicago Bulls,New York Knicks,No,715.3,Yes,-110.0,-110.0,124.0,-148.0,-110.0,-110.0,East,Central,East,Atlantic,,,,,,,,,,,,,,,,,,,-110,-110,124,-148,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-30 05:26:28,2025-10-31 21:30,Memphis Grizzlies,Los Angeles Lakers,No,1604.9,Yes,-110.0,-110.0,-238.0,195.0,-110.0,-110.0,West,Southwest,West,Pacific,,,,,,,,,,,,,,,,,,,-110,-110,-238,195,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-30 05:26:28,2025-10-31 22:00,Portland Trail Blazers,Denver Nuggets,Yes,981.8,Yes,-110.0,-110.0,170.0,-205.0,-110.0,-110.0,West,Northwest,West,Northwest,,,,,,,,,,,,,,,,,,,-110,-110,170,-205,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
