League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds
NBA,2025-10-30 17:21:37,2025-10-30 19:10,Charlotte Hornets,Orlando Magic,Yes,461.8,Yes,-109.25,-110.5,119.12,-140.5,-110.25,-109.75,East,Southeast,East,Southeast,-110.0,-110.0,118.0,-138.0,-105.0,-115.0,-107.0,-113.0,120.0,-140.0,-113.0,-107.0,-103.0,-109.0,122.0,-138.0,-110.0,-104.0,-112,-108,120,-142,-110,-110,-110.0,-110.0,118.0,-145.0,-110.0,-110.0,-110.0,-110.0,120.0,-140.0,-110.0,-110.0,-105.0,-115.0,125.0,-145.0,-110.0,-110.0,-117.0,-109.0,110.0,-136.0,-114.0,-112.0
NBA,2025-10-30 17:21:37,2025-10-30 20:10,Milwaukee Bucks,Golden State Warriors,No,1840.7,Yes,-84.62,-110.12,130.62,-154.75,-111.0,-109.12,East,Central,West,Pacific,-112.0,-108.0,130.0,-154.0,-106.0,-114.0,-104.0,-116.0,130.0,-150.0,-115.0,-105.0,100.0,-112.0,132.0,-149.0,-113.0,-102.0,-112,-108,130,-155,-112,-108,-115.0,-105.0,125.0,-155.0,-110.0,-110.0,-105.0,-115.0,138.0,-160.0,-110.0,-110.0,-115.0,-105.0,135.0,-160.0,-110.0,-110.0,-114.0,-112.0,125.0,-155.0,-112.0,-114.0
NBA,2025-10-30 17:21:37,2025-10-30 20:10,Oklahoma City Thunder,Washington Wizards,No,1152.7,Yes,-110.75,-109.0,-1190.88,727.12,-110.88,-109.12,West,Northwest,East,Southeast,-110.0,-110.0,-1200.0,750.0,-115.0,-105.0,-115.0,-105.0,-1100.0,709.0,-110.0,-110.0,-111.0,-101.0,-1077.0,733.0,-107.0,-107.0,-108,-112,-1200,750,-112,-108,-110.0,-110.0,-1400.0,775.0,-110.0,-110.0,-110.0,-110.0,-1100.0,700.0,-110.0,-110.0,-110.0,-110.0,-1200.0,700.0,-110.0,-110.0,-112.0,-114.0,-1250.0,700.0,-113.0,-113.0
NBA,2025-10-30 17:21:37,2025-10-30 20:30,San Antonio Spurs,Miami Heat,No,1145.9,Yes,-111.12,-108.62,-235.62,193.88,-111.12,-108.88,West,Southwest,East,Southeast,-110.0,-110.0,-240.0,198.0,-112.0,-108.0,-107.0,-113.0,-235.0,195.0,-113.0,-107.0,-103.0,-109.0,-232.0,198.0,-110.0,-104.0,-115,-105,-238,195,-112,-108,-115.0,-105.0,-235.0,190.0,-110.0,-110.0,-110.0,-110.0,-230.0,195.0,-110.0,-110.0,-115.0,-105.0,-230.0,190.0,-110.0,-110.0,-114.0,-112.0,-245.0,190.0,-112.0,-114.0
NBA,2025-10-30 17:21:37,2025-10-31 19:00,Indiana Pacers,Atlanta Hawks,No,425.5,Yes,-110.0,-111.67,114.67,-137.33,-107.67,-114.33,East,Central,East,Southeast,-110.0,-110.0,114.0,-134.0,-105.0,-115.0,,,,,,,,,,,,,-110,-110,120,-142,-105,-115,,,,,,,,,,,,,,,,,,,-110.0,-115.0,110.0,-136.0,-113.0,-113.0
NBA,2025-10-30 17:21:37,2025-10-31 19:00,Philadelphia 76ers,Boston Celtics,Yes,273.6,Yes,-111.33,-110.67,-158.33,131.33,-111.33,-110.67,East,Atlantic,East,Atlantic,-110.0,-110.0,-146.0,124.0,-110.0,-110.0,,,,,,,,,,,,,-110,-110,-170,142,-110,-110,,,,,,,,,,,,,,,,,,,-114.0,-112.0,-159.0,128.0,-114.0,-112.0
NBA,2025-10-30 17:21:37,2025-10-31 19:30,Cleveland Cavaliers,Toronto Raptors,No,189.3,Yes,-106.8,-111.6,-378.33,298.33,-110.4,-108.4,East,Central,East,Atlantic,-108.0,-112.0,-340.0,275.0,-110.0,-110.0,-105.0,-115.0,,,-110.0,-110.0,-101.0,-111.0,,,-107.0,-107.0,-110,-110,-395,310,-110,-110,-110.0,-110.0,-400.0,310.0,-115.0,-105.0,,,,,,,,,,,,,,,,,,
NBA,2025-10-30 17:21:37,2025-10-31 20:00,Chicago Bulls,New York Knicks,No,715.3,Yes,-105.2,-113.2,140.0,-168.0,-110.4,-108.4,East,Central,East,Atlantic,-105.0,-115.0,138.0,-164.0,-110.0,-110.0,-105.0,-115.0,,,-110.0,-110.0,-101.0,-111.0,,,-107.0,-107.0,-110,-110,142,-170,-110,-110,-105.0,-115.0,140.0,-170.0,-115.0,-105.0,,,,,,,,,,,,,,,,,,
NBA,2025-10-30 17:21:37,2025-10-31 21:30,Memphis Grizzlies,Los Angeles Lakers,No,1604.9,Yes,-109.8,-108.6,-205.0,169.33,-107.8,-111.2,West,Southwest,West,Pacific,-105.0,-115.0,-200.0,168.0,-112.0,-108.0,-113.0,-107.0,,,-105.0,-115.0,-109.0,-103.0,,,-102.0,-113.0,-112,-108,-205,170,-110,-110,-110.0,-110.0,-210.0,170.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-10-30 17:21:37,2025-10-31 22:00,Portland Trail Blazers,Denver Nuggets,Yes,981.8,Yes,-106.2,-112.2,195.0,-238.33,-115.6,-23.6,West,Northwest,West,Northwest,-110.0,-110.0,190.0,-230.0,-110.0,-110.0,-105.0,-115.0,,,-125.0,105.0,-101.0,-111.0,,,-123.0,107.0,-105,-115,205,-250,-110,-110,-110.0,-110.0,190.0,-235.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,
