League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-10-30 21:52:37,2025-10-30 20:10,Oklahoma City Thunder,Washington Wizards,No,1152.7,Yes,-117.83,-114.33,-12708.25,2000.0,-115.83,-117.17,West,Northwest,East,Southeast,-122.0,-108.0,-20000.0,2000.0,-120.0,-110.0,-120,-110,-20000,3000,-110,-120,-125.0,-111.0,-833.0,500.0,-111.0,-125.0,-110.0,-115.0,-10000.0,2500.0,-105.0,-125.0,-110.0,-120.0,,,-125.0,-105.0,-120.0,-122.0,,,-124.0,-118.0,,,,,,,,,,,,,,,,,,
NBA,2025-10-30 21:52:37,2025-10-30 20:13,Milwaukee Bucks,Golden State Warriors,No,1840.7,Yes,-78.67,-120.67,-95.0,28.67,-116.17,-115.5,East,Central,West,Pacific,108.0,-144.0,-132.0,104.0,-125.0,-106.0,-120,-110,-135,105,-120,-110,-118.0,-111.0,130.0,-167.0,-105.0,-125.0,-118.0,-110.0,-140.0,110.0,-102.0,-125.0,-110.0,-120.0,-175.0,135.0,-120.0,-110.0,-114.0,-129.0,-118.0,-115.0,-125.0,-117.0,,,,,,,,,,,,,,,,,,
NBA,2025-10-30 21:52:37,2025-10-30 20:40,San Antonio Spurs,Miami Heat,No,1145.9,Yes,-112.17,-119.17,-232.0,175.17,-114.83,-115.33,West,Southwest,East,Southeast,-102.0,-130.0,-235.0,176.0,-118.0,-112.0,-115,-115,-230,175,-110,-120,-111.0,-111.0,-222.0,180.0,-111.0,-111.0,-125.0,-105.0,-235.0,180.0,-118.0,-110.0,-105.0,-125.0,-220.0,165.0,-115.0,-115.0,-115.0,-129.0,-250.0,175.0,-117.0,-124.0,,,,,,,,,,,,,,,,,,
NBA,2025-10-30 21:52:37,2025-10-31 19:00,Indiana Pacers,Atlanta Hawks,No,425.5,Yes,-109.33,-110.33,114.33,-137.0,-110.0,-110.0,East,Central,East,Southeast,-106.0,-114.0,116.0,-136.0,-110.0,-110.0,-112,-108,114,-135,-105,-115,-110.0,-110.0,111.0,-135.0,-110.0,-110.0,-110.0,-110.0,115.0,-140.0,-115.0,-105.0,-110.0,-110.0,120.0,-140.0,-110.0,-110.0,-110.0,-115.0,110.0,-136.0,-113.0,-113.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-10-30 21:52:37,2025-10-31 19:00,Philadelphia 76ers,Boston Celtics,Yes,273.6,Yes,-110.12,-109.62,-140.0,117.0,-110.25,-109.5,East,Atlantic,East,Atlantic,-108.0,-112.0,-144.0,122.0,-110.0,-110.0,-118,-102,-135,114,-115,-105,,,,,,,-115.0,-105.0,-145.0,120.0,-110.0,-110.0,-105.0,-115.0,-135.0,115.0,-110.0,-110.0,-109.0,-117.0,-141.0,114.0,-110.0,-114.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-10-30 21:52:37,2025-10-31 19:30,Cleveland Cavaliers,Toronto Raptors,No,189.3,Yes,-111.44,-108.33,-301.0,240.33,-109.89,-110.11,East,Central,East,Atlantic,-108.0,-112.0,-290.0,235.0,-110.0,-110.0,-110,-110,-298,240,-110,-110,-110.0,-110.0,-303.0,237.0,-110.0,-110.0,-110.0,-110.0,-300.0,240.0,-110.0,-110.0,-110.0,-110.0,-300.0,250.0,-110.0,-110.0,-114.0,-112.0,-315.0,240.0,-112.0,-114.0,-115.0,-105.0,,,-110.0,-110.0,-111.0,-101.0,,,-107.0,-107.0,-115.0,-105.0,,,-110.0,-110.0
NBA,2025-10-30 21:52:37,2025-10-31 20:00,Chicago Bulls,New York Knicks,No,715.3,Yes,-107.89,-111.78,146.83,-177.5,-108.22,-111.89,East,Central,East,Atlantic,-105.0,-115.0,146.0,-174.0,-110.0,-110.0,-115,-105,150,-180,-115,-105,-110.0,-110.0,145.0,-179.0,-110.0,-110.0,-115.0,-105.0,150.0,-185.0,-105.0,-115.0,-105.0,-115.0,155.0,-180.0,-110.0,-110.0,-110.0,-115.0,135.0,-167.0,-112.0,-114.0,-105.0,-115.0,,,-105.0,-115.0,-101.0,-111.0,,,-102.0,-113.0,-105.0,-115.0,,,-105.0,-115.0
NBA,2025-10-30 21:52:37,2025-10-31 21:30,Memphis Grizzlies,Los Angeles Lakers,No,1604.9,Yes,-111.33,-108.44,-145.5,121.0,-111.67,-108.33,West,Southwest,West,Pacific,-114.0,-106.0,-146.0,124.0,-114.0,-106.0,-118,-102,-142,120,-115,-105,-110.0,-110.0,-145.0,117.0,-110.0,-110.0,-115.0,-105.0,-145.0,120.0,-115.0,-105.0,-105.0,-115.0,-145.0,125.0,-110.0,-110.0,-114.0,-112.0,-150.0,120.0,-114.0,-112.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-10-30 21:52:37,2025-10-31 22:00,Portland Trail Blazers,Denver Nuggets,Yes,981.8,Yes,-79.14,-111.86,168.4,-204.6,-114.29,-48.86,West,Northwest,West,Northwest,-106.0,-114.0,168.0,-200.0,-110.0,-110.0,100,-120,164,-198,-110,-110,,,,,,,-110.0,-110.0,165.0,-200.0,-110.0,-110.0,-110.0,-110.0,175.0,-210.0,-110.0,-110.0,-112.0,-113.0,170.0,-215.0,-112.0,-114.0,-110.0,-110.0,,,-125.0,105.0,-106.0,-106.0,,,-123.0,107.0,,,,,,
NBA,2025-10-30 21:52:37,2025-10-31 22:00,Phoenix Suns,Utah Jazz,No,505.1,Yes,-112.0,-107.71,-154.4,129.0,-109.86,-110.14,West,Pacific,West,Northwest,-108.0,-112.0,-152.0,128.0,-110.0,-110.0,-118,-102,-155,130,-110,-110,,,,,,,-115.0,-105.0,-150.0,125.0,-110.0,-110.0,-115.0,-105.0,-150.0,130.0,-110.0,-110.0,-112.0,-114.0,-165.0,132.0,-112.0,-114.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,,,,,,
