League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-10-31 17:18:58,2025-10-31 19:00,Indiana Pacers,Atlanta Hawks,No,425.5,Yes,-109.11,-110.56,112.11,-133.89,-109.78,-110.11,East,Central,East,Southeast,-112.0,-108.0,114.0,-135.0,-115.0,-105.0,-112.0,-108.0,112.0,-132.0,-110.0,-110.0,-112.0,-113.0,115.0,-143.0,-112.0,-113.0,-110.0,-110.0,112.0,-138.0,-110.0,-110.0,-105.0,-115.0,112.0,-132.0,-112.0,-108.0,-101.0,-111.0,114.0,-130.0,-109.0,-105.0,-110.0,-110.0,105.0,-125.0,-105.0,-115.0,-110.0,-110.0,110.0,-135.0,-105.0,-115.0,-110.0,-110.0,115.0,-135.0,-110.0,-110.0
NBA,2025-10-31 17:18:58,2025-10-31 19:00,Philadelphia 76ers,Boston Celtics,Yes,273.6,Yes,-113.78,-106.22,-79.75,-114.75,-109.78,-110.22,East,Atlantic,East,Atlantic,-118.0,-102.0,-105.0,-115.0,-112.0,-108.0,-118.0,-104.0,-108.0,-108.0,-106.0,-114.0,-118.0,-108.0,-110.0,-113.0,-113.0,-113.0,-110.0,-110.0,-101.0,-120.0,-110.0,-110.0,-112.0,-108.0,-107.0,-113.0,-110.0,-110.0,-108.0,-104.0,-105.0,-111.0,-107.0,-107.0,-115.0,-105.0,100.0,-120.0,-110.0,-110.0,-115.0,-105.0,-102.0,-118.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-10-31 17:18:58,2025-10-31 19:30,Cleveland Cavaliers,Toronto Raptors,No,189.3,Yes,-110.67,-109.0,-263.78,213.78,-109.89,-109.89,East,Central,East,Atlantic,-110.0,-110.0,-258.0,210.0,-108.0,-112.0,-105.0,-115.0,-245.0,200.0,-110.0,-110.0,-115.0,-110.0,-275.0,210.0,-114.0,-110.0,-110.0,-110.0,-288.0,224.0,-110.0,-110.0,-115.0,-105.0,-250.0,207.0,-110.0,-110.0,-111.0,-101.0,-248.0,210.0,-107.0,-107.0,-110.0,-110.0,-275.0,225.0,-110.0,-110.0,-110.0,-110.0,-275.0,220.0,-110.0,-110.0,-110.0,-110.0,-260.0,218.0,-110.0,-110.0
NBA,2025-10-31 17:18:58,2025-10-31 20:00,Chicago Bulls,New York Knicks,No,715.3,Yes,-110.44,-109.22,166.0,-197.89,-110.67,-109.33,East,Central,East,Atlantic,-118.0,-102.0,160.0,-192.0,-110.0,-110.0,-106.0,-114.0,160.0,-190.0,-115.0,-105.0,-110.0,-115.0,175.0,-220.0,-114.0,-112.0,-110.0,-110.0,156.0,-194.0,-110.0,-110.0,-107.0,-113.0,170.0,-195.0,-110.0,-110.0,-103.0,-109.0,171.0,-195.0,-107.0,-107.0,-115.0,-105.0,170.0,-200.0,-110.0,-110.0,-115.0,-105.0,165.0,-200.0,-110.0,-110.0,-110.0,-110.0,167.0,-195.0,-110.0,-110.0
NBA,2025-10-31 17:18:58,2025-10-31 21:30,Memphis Grizzlies,Los Angeles Lakers,No,1604.9,Yes,-110.67,-109.0,113.44,-134.78,-109.89,-109.89,West,Southwest,West,Pacific,-115.0,-105.0,114.0,-135.0,-108.0,-112.0,-110.0,-110.0,114.0,-134.0,-110.0,-110.0,-115.0,-110.0,112.0,-137.0,-114.0,-110.0,-110.0,-110.0,110.0,-135.0,-110.0,-110.0,-105.0,-115.0,112.0,-132.0,-110.0,-110.0,-101.0,-111.0,114.0,-130.0,-107.0,-107.0,-115.0,-105.0,115.0,-135.0,-110.0,-110.0,-115.0,-105.0,115.0,-140.0,-110.0,-110.0,-110.0,-110.0,115.0,-135.0,-110.0,-110.0
NBA,2025-10-31 17:18:58,2025-10-31 22:00,Portland Trail Blazers,Denver Nuggets,Yes,981.8,Yes,-110.67,-109.11,176.78,-212.33,-109.89,-110.11,West,Northwest,West,Northwest,-118.0,-102.0,180.0,-218.0,-115.0,-105.0,-105.0,-115.0,180.0,-215.0,-108.0,-112.0,-112.0,-114.0,170.0,-215.0,-114.0,-112.0,-110.0,-110.0,170.0,-214.0,-110.0,-110.0,-110.0,-110.0,177.0,-205.0,-110.0,-110.0,-106.0,-106.0,179.0,-204.0,-107.0,-107.0,-110.0,-110.0,175.0,-210.0,-110.0,-110.0,-115.0,-105.0,180.0,-220.0,-105.0,-115.0,-110.0,-110.0,180.0,-210.0,-110.0,-110.0
NBA,2025-10-31 17:18:58,2025-10-31 22:00,Phoenix Suns,Utah Jazz,No,505.1,Yes,-110.33,-109.44,-149.56,126.22,-110.67,-109.56,West,Pacific,West,Northwest,-115.0,-105.0,-148.0,124.0,-108.0,-112.0,-110.0,-110.0,-148.0,126.0,-118.0,-104.0,-117.0,-109.0,-157.0,125.0,-113.0,-113.0,-110.0,-110.0,-154.0,125.0,-110.0,-110.0,-105.0,-115.0,-145.0,125.0,-110.0,-110.0,-101.0,-111.0,-144.0,127.0,-107.0,-107.0,-110.0,-110.0,-150.0,130.0,-110.0,-110.0,-115.0,-105.0,-150.0,125.0,-110.0,-110.0,-110.0,-110.0,-150.0,129.0,-110.0,-110.0
NBA,2025-10-31 17:18:58,2025-10-31 22:30,Los Angeles Clippers,New Orleans Pelicans,No,1677.3,Yes,-111.78,-108.0,-542.67,401.33,-110.33,-109.67,West,Pacific,West,Southwest,-118.0,-102.0,-535.0,400.0,-112.0,-108.0,-114.0,-106.0,-590.0,430.0,-106.0,-114.0,-113.0,-113.0,-530.0,380.0,-113.0,-113.0,-110.0,-110.0,-561.0,399.0,-110.0,-110.0,-110.0,-110.0,-525.0,400.0,-110.0,-110.0,-106.0,-106.0,-518.0,408.0,-107.0,-107.0,-110.0,-110.0,-550.0,390.0,-110.0,-110.0,-115.0,-105.0,-550.0,400.0,-115.0,-105.0,-110.0,-110.0,-525.0,405.0,-110.0,-110.0
NBA,2025-10-31 17:18:58,2025-11-01 18:10,Charlotte Hornets,Minnesota Timberwolves,No,939.7,No,-108.67,-108.67,160.0,-190.0,-109.67,-108.33,East,Southeast,West,Northwest,,,,,,,-110.0,-110.0,160.0,-190.0,-112.0,-108.0,,,,,,,,,,,,,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,,,,,,,,,,,,,,,,,,
NBA,2025-10-31 17:18:58,2025-11-01 19:10,Indiana Pacers,Golden State Warriors,No,1948.2,Yes,-108.67,-108.67,350.0,-450.0,-109.0,-109.0,East,Central,West,Pacific,,,,,,,-110.0,-110.0,350.0,-450.0,-110.0,-110.0,,,,,,,,,,,,,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,,,,,,,,,,,,,,,,,,
NBA,2025-10-31 17:18:58,2025-11-01 19:10,Washington Wizards,Orlando Magic,Yes,756.6,Yes,-108.67,-108.67,240.0,-295.0,-109.0,-109.0,East,Southeast,East,Southeast,,,,,,,-110.0,-110.0,240.0,-295.0,-110.0,-110.0,,,,,,,,,,,,,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,,,,,,,,,,,,,,,,,,
NBA,2025-10-31 17:18:58,2025-11-01 20:10,Boston Celtics,Houston Rockets,No,1605.6,Yes,-105.33,-112.0,140.0,-166.0,-109.0,-109.0,East,Atlantic,West,Southwest,,,,,,,-110.0,-110.0,140.0,-166.0,-110.0,-110.0,,,,,,,,,,,,,-105.0,-115.0,,,-110.0,-110.0,-101.0,-111.0,,,-107.0,-107.0,,,,,,,,,,,,,,,,,,
NBA,2025-10-31 17:18:58,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-110.5,-112.5,-139.0,115.5,-111.5,-111.5,East,Atlantic,East,Central,-108.0,-112.0,-135.0,114.0,-110.0,-110.0,,,,,,,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-31 17:18:58,2025-12-25 14:30,Oklahoma City Thunder,San Antonio Spurs,No,419.4,No,-111.0,-111.5,-415.0,315.0,-113.5,-109.5,West,Northwest,West,Southwest,-110.0,-110.0,-410.0,320.0,-115.0,-105.0,,,,,,,-112.0,-113.0,-420.0,310.0,-112.0,-114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-31 17:18:58,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-113.0,-110.0,-202.5,165.0,-112.0,-111.0,West,Pacific,West,Southwest,-112.0,-108.0,-205.0,170.0,-110.0,-110.0,,,,,,,-114.0,-112.0,-200.0,160.0,-114.0,-112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-31 17:18:58,2025-12-25 20:00,Los Angeles Lakers,Houston Rockets,No,1375.3,Yes,-112.0,-108.0,-142.0,120.0,-105.0,-115.0,West,Pacific,West,Southwest,-112.0,-108.0,-142.0,120.0,-105.0,-115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-31 17:18:58,2025-12-25 22:30,Denver Nuggets,Minnesota Timberwolves,Yes,699.6,Yes,-111.0,-112.0,-225.0,182.5,-113.5,-109.5,West,Northwest,West,Northwest,-105.0,-115.0,-230.0,190.0,-115.0,-105.0,,,,,,,-117.0,-109.0,-220.0,175.0,-112.0,-114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-31 17:18:58,2026-01-19 14:30,Cleveland Cavaliers,Oklahoma City Thunder,No,951.7,No,102.0,-122.0,-110.0,-110.0,-110.0,-110.0,East,Central,West,Northwest,102.0,-122.0,-110.0,-110.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-31 17:18:58,2026-01-19 17:00,New York Knicks,Dallas Mavericks,No,1374.4,No,100.0,-120.0,-258.0,210.0,-110.0,-110.0,East,Atlantic,West,Southwest,100.0,-120.0,-258.0,210.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-10-31 17:18:58,2026-01-19 20:00,Detroit Pistons,Boston Celtics,No,613.5,Yes,-110.0,-110.0,-198.0,164.0,-110.0,-110.0,East,Central,East,Atlantic,-110.0,-110.0,-198.0,164.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
