League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-01 21:58:06,2025-11-01 20:11,Boston Celtics,Houston Rockets,No,1605.6,Yes,-116.5,-115.0,3300.0,-10000.0,-116.5,-115.83,East,Atlantic,West,Southwest,-122.0,-108.0,,,-102.0,-130.0,-122.0,-120.0,,,-127.0,-115.0,-105.0,-125.0,,,-120.0,-110.0,-105.0,-125.0,,,-105.0,-125.0,-125.0,-102.0,3300.0,-10000.0,-125.0,-105.0,-120.0,-110.0,,,-120.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-01 21:58:06,2025-11-01 22:10,Detroit Pistons,Dallas Mavericks,No,999.7,Yes,-111.33,-108.33,-293.67,237.0,-111.33,-108.67,East,Central,West,Southwest,-110.0,-110.0,-250.0,205.0,-110.0,-110.0,-115.0,-110.0,-315.0,240.0,-112.0,-113.0,-115.0,-105.0,-298.0,240.0,-112.0,-108.0,-110.0,-110.0,-313.0,240.0,-110.0,-110.0,-115.0,-105.0,-300.0,240.0,-110.0,-110.0,-105.0,-115.0,-300.0,250.0,-110.0,-110.0,-113.0,-107.0,-290.0,237.0,-115.0,-105.0,-109.0,-103.0,-287.0,241.0,-113.0,-102.0,-110.0,-110.0,-290.0,240.0,-110.0,-110.0
NBA,2025-11-01 21:58:06,2025-11-02 15:30,Oklahoma City Thunder,New Orleans Pelicans,No,575.8,No,-109.22,-110.56,-627.83,444.67,-111.33,-108.67,West,Northwest,West,Southwest,-110.0,-110.0,-560.0,420.0,-106.0,-114.0,-112.0,-114.0,-590.0,410.0,-113.0,-112.0,-110.0,-110.0,-625.0,455.0,-110.0,-110.0,-110.0,-110.0,-667.0,448.0,-110.0,-110.0,-105.0,-115.0,-650.0,475.0,-110.0,-110.0,-110.0,-110.0,-675.0,460.0,-110.0,-110.0,-110.0,-110.0,,,-115.0,-105.0,-106.0,-106.0,,,-113.0,-102.0,-110.0,-110.0,,,-115.0,-105.0
NBA,2025-11-01 21:58:06,2025-11-02 18:00,Cleveland Cavaliers,Atlanta Hawks,No,553.9,No,-110.44,-109.33,-217.5,176.33,-110.44,-109.56,East,Central,East,Southeast,-110.0,-110.0,-205.0,172.0,-110.0,-110.0,-113.0,-113.0,-220.0,170.0,-112.0,-114.0,-115.0,-105.0,-218.0,180.0,-110.0,-110.0,-110.0,-110.0,-222.0,176.0,-110.0,-110.0,-110.0,-110.0,-220.0,180.0,-115.0,-105.0,-110.0,-110.0,-220.0,180.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-01 21:58:06,2025-11-02 18:00,Brooklyn Nets,Philadelphia 76ers,Yes,83.1,No,-110.44,-109.22,184.83,-228.67,-109.89,-110.11,East,Atlantic,East,Atlantic,-108.0,-112.0,184.0,-220.0,-110.0,-110.0,-115.0,-110.0,175.0,-225.0,-112.0,-114.0,-115.0,-105.0,200.0,-245.0,-110.0,-110.0,-110.0,-110.0,180.0,-227.0,-110.0,-110.0,-110.0,-110.0,190.0,-235.0,-110.0,-110.0,-110.0,-110.0,180.0,-220.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-01 21:58:06,2025-11-02 18:00,Charlotte Hornets,Utah Jazz,No,1728.3,No,-110.0,-110.0,-165.33,137.33,-110.0,-110.0,East,Southeast,West,Northwest,-110.0,-110.0,-162.0,136.0,-110.0,-110.0,,,,,,,-110.0,-110.0,-170.0,142.0,-110.0,-110.0,-110.0,-110.0,-164.0,134.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-01 21:58:06,2025-11-02 18:10,Toronto Raptors,Memphis Grizzlies,No,817.6,No,-108.56,-111.22,-218.33,178.17,-110.0,-110.0,East,Atlantic,West,Southwest,-110.0,-110.0,-210.0,176.0,-110.0,-110.0,-109.0,-117.0,-220.0,175.0,-113.0,-113.0,-110.0,-110.0,-218.0,180.0,-110.0,-110.0,-110.0,-110.0,-222.0,178.0,-110.0,-110.0,-102.0,-118.0,-220.0,180.0,-110.0,-110.0,-110.0,-110.0,-220.0,180.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-01 21:58:06,2025-11-02 19:00,New York Knicks,Chicago Bulls,No,715.3,Yes,-109.38,-110.38,-259.0,207.5,-108.0,-112.12,East,Atlantic,East,Central,-110.0,-110.0,-250.0,205.0,-110.0,-110.0,-109.0,-117.0,-278.0,215.0,-112.0,-114.0,-115.0,-105.0,-258.0,210.0,-110.0,-110.0,,,,,,,-110.0,-110.0,-250.0,200.0,-110.0,-110.0,-105.0,-115.0,,,-110.0,-110.0,-110.0,-110.0,,,-105.0,-115.0,-106.0,-106.0,,,-102.0,-113.0,-110.0,-110.0,,,-105.0,-115.0
NBA,2025-11-01 21:58:06,2025-11-02 20:00,Phoenix Suns,San Antonio Spurs,No,850.8,Yes,-109.25,-110.38,218.0,-272.0,-109.88,-110.12,West,Pacific,West,Southwest,-108.0,-112.0,210.0,-255.0,-110.0,-110.0,-115.0,-110.0,195.0,-250.0,-112.0,-114.0,-110.0,-110.0,235.0,-290.0,-110.0,-110.0,,,,,,,-105.0,-115.0,230.0,-295.0,-110.0,-110.0,-110.0,-110.0,220.0,-270.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-01 21:58:06,2025-11-02 21:30,Los Angeles Lakers,Miami Heat,No,2340.4,Yes,-108.71,-111.0,-212.6,175.0,-110.14,-109.57,West,Pacific,East,Southeast,-112.0,-108.0,-215.0,180.0,-110.0,-110.0,-113.0,-113.0,-215.0,170.0,-114.0,-110.0,-105.0,-115.0,-218.0,180.0,-110.0,-110.0,,,,,,,-105.0,-115.0,-220.0,180.0,-110.0,-110.0,-110.0,-110.0,-195.0,165.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,,,,,,
NBA,2025-11-01 21:58:06,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
