League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-01 23:47:54,2025-11-01 22:20,Detroit Pistons,Dallas Mavericks,No,999.7,Yes,-116.33,-113.5,-189.0,143.67,-115.5,-116.0,East,Central,West,Southwest,-118.0,-112.0,-196.0,152.0,-114.0,-114.0,-115.0,-115.0,-180.0,140.0,-115.0,-115.0,-115.0,-110.0,-185.0,140.0,-115.0,-115.0,-124,-118,-186,135,-118,-124,-115.0,-115.0,-205.0,155.0,-120.0,-110.0,-111.0,-111.0,-182.0,140.0,-111.0,-118.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-01 23:47:54,2025-11-02 15:30,Oklahoma City Thunder,New Orleans Pelicans,No,575.8,No,-110.0,-109.78,-664.88,470.5,-108.89,-111.11,West,Northwest,West,Southwest,-106.0,-114.0,-620.0,460.0,-106.0,-114.0,-115.0,-105.0,-650.0,470.0,-110.0,-110.0,-110.0,-110.0,-700.0,500.0,-105.0,-115.0,-113,-113,-670,440,-112,-114,-110.0,-110.0,-675.0,460.0,-110.0,-110.0,-110.0,-110.0,-714.0,471.0,-110.0,-110.0,-106.0,-106.0,-640.0,487.0,-107.0,-107.0,-110.0,-110.0,-650.0,476.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-01 23:47:54,2025-11-02 18:00,Cleveland Cavaliers,Atlanta Hawks,No,553.9,No,-110.44,-109.33,-218.0,179.12,-110.44,-109.56,East,Central,East,Southeast,-110.0,-110.0,-205.0,172.0,-110.0,-110.0,-115.0,-105.0,-218.0,180.0,-110.0,-110.0,-110.0,-110.0,-220.0,180.0,-115.0,-105.0,-113,-113,-220,170,-112,-114,-110.0,-110.0,-220.0,180.0,-110.0,-110.0,-110.0,-110.0,-222.0,177.0,-110.0,-110.0,-106.0,-106.0,-219.0,188.0,-107.0,-107.0,-110.0,-110.0,-220.0,186.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-01 23:47:54,2025-11-02 18:00,Brooklyn Nets,Philadelphia 76ers,Yes,83.1,No,-110.44,-109.22,184.78,-224.56,-109.33,-110.67,East,Atlantic,East,Atlantic,-108.0,-112.0,184.0,-220.0,-110.0,-110.0,-115.0,-105.0,200.0,-245.0,-110.0,-110.0,-110.0,-110.0,185.0,-225.0,-105.0,-115.0,-115,-110,175,-225,-112,-114,-110.0,-110.0,180.0,-220.0,-110.0,-110.0,-110.0,-110.0,180.0,-227.0,-110.0,-110.0,-106.0,-106.0,188.0,-219.0,-107.0,-107.0,-110.0,-110.0,186.0,-220.0,-110.0,-110.0,-110.0,-110.0,185.0,-220.0,-110.0,-110.0
NBA,2025-11-01 23:47:54,2025-11-02 18:00,Charlotte Hornets,Utah Jazz,No,1728.3,No,-111.0,-110.5,-163.25,134.25,-110.75,-110.75,East,Southeast,West,Northwest,-110.0,-110.0,-162.0,136.0,-110.0,-110.0,-110.0,-110.0,-162.0,136.0,-110.0,-110.0,,,,,,,-114,-112,-165,132,-113,-113,,,,,,,-110.0,-110.0,-164.0,133.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-01 23:47:54,2025-11-02 18:10,Toronto Raptors,Memphis Grizzlies,No,817.6,No,-109.44,-110.33,-217.67,180.11,-110.0,-110.0,East,Atlantic,West,Southwest,-110.0,-110.0,-210.0,176.0,-110.0,-110.0,-110.0,-110.0,-218.0,180.0,-110.0,-110.0,-110.0,-110.0,-220.0,180.0,-110.0,-110.0,-109,-117,-220,175,-113,-113,-110.0,-110.0,-210.0,175.0,-110.0,-110.0,-110.0,-110.0,-222.0,176.0,-110.0,-110.0,-106.0,-106.0,-219.0,188.0,-107.0,-107.0,-110.0,-110.0,-220.0,186.0,-110.0,-110.0,-110.0,-110.0,-220.0,185.0,-110.0,-110.0
NBA,2025-11-01 23:47:54,2025-11-02 19:00,New York Knicks,Chicago Bulls,No,715.3,Yes,-110.62,-109.12,-263.62,216.38,-107.38,-112.75,East,Atlantic,East,Central,-110.0,-110.0,-260.0,215.0,-110.0,-110.0,-115.0,-105.0,-258.0,210.0,-110.0,-110.0,-115.0,-105.0,-275.0,225.0,-105.0,-115.0,-109,-117,-278,215,-112,-114,-110.0,-110.0,-260.0,215.0,-110.0,-110.0,,,,,,,-106.0,-106.0,-258.0,218.0,-102.0,-113.0,-110.0,-110.0,-260.0,215.0,-105.0,-115.0,-110.0,-110.0,-260.0,218.0,-105.0,-115.0
NBA,2025-11-01 23:47:54,2025-11-02 20:00,Phoenix Suns,San Antonio Spurs,No,850.8,Yes,-110.88,-108.75,210.0,-256.38,-108.62,-111.38,West,Pacific,West,Southwest,-106.0,-114.0,205.0,-250.0,-110.0,-110.0,-115.0,-105.0,225.0,-278.0,-110.0,-110.0,-110.0,-110.0,220.0,-275.0,-105.0,-115.0,-115,-110,195,-250,-112,-114,-115.0,-105.0,195.0,-235.0,-105.0,-115.0,,,,,,,-106.0,-106.0,214.0,-253.0,-107.0,-107.0,-110.0,-110.0,211.0,-255.0,-110.0,-110.0,-110.0,-110.0,215.0,-255.0,-110.0,-110.0
NBA,2025-11-01 23:47:54,2025-11-02 21:30,Los Angeles Lakers,Miami Heat,No,2340.4,Yes,-108.88,-110.88,-206.62,173.12,-110.12,-109.62,West,Pacific,East,Southeast,-112.0,-108.0,-210.0,176.0,-110.0,-110.0,-105.0,-115.0,-218.0,180.0,-110.0,-110.0,-105.0,-115.0,-210.0,170.0,-110.0,-110.0,-113,-113,-215,170,-114,-110,-110.0,-110.0,-200.0,170.0,-110.0,-110.0,,,,,,,-106.0,-106.0,-200.0,175.0,-107.0,-107.0,-110.0,-110.0,-200.0,174.0,-110.0,-110.0,-110.0,-110.0,-200.0,170.0,-110.0,-110.0
NBA,2025-11-01 23:47:54,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,-113,-113,-143,117,-113,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
