League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-02 01:33:44,2025-11-02 15:30,Oklahoma City Thunder,New Orleans Pelicans,No,575.8,No,-109.44,-110.33,-668.0,472.38,-108.44,-111.67,West,Northwest,West,Southwest,-110.0,-110.0,-650.0,470.0,-112.0,-108.0,-110.0,-110.0,-714.0,471.0,-110.0,-110.0,-106.0,-114.0,-620.0,460.0,-110.0,-110.0,-106.0,-106.0,-640.0,487.0,-102.0,-113.0,-110.0,-110.0,-650.0,476.0,-105.0,-115.0,-110.0,-110.0,-700.0,500.0,-110.0,-110.0,-113,-113,-670,440,-112,-114,-110.0,-110.0,-700.0,475.0,-110.0,-110.0,-110.0,-110.0,,,-105.0,-115.0
NBA,2025-11-02 01:33:44,2025-11-02 18:00,Cleveland Cavaliers,Atlanta Hawks,No,553.9,No,-109.89,-109.89,-218.62,179.88,-109.89,-110.11,East,Central,East,Southeast,-110.0,-110.0,-218.0,180.0,-105.0,-115.0,-110.0,-110.0,-222.0,179.0,-110.0,-110.0,-110.0,-110.0,-210.0,176.0,-110.0,-110.0,-106.0,-106.0,-219.0,188.0,-107.0,-107.0,-110.0,-110.0,-220.0,186.0,-110.0,-110.0,-110.0,-110.0,-220.0,180.0,-115.0,-105.0,-113,-113,-220,170,-112,-114,-110.0,-110.0,-220.0,180.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-02 01:33:44,2025-11-02 18:00,Brooklyn Nets,Philadelphia 76ers,Yes,83.1,No,-110.44,-109.22,181.11,-219.0,-109.38,-110.62,East,Atlantic,East,Atlantic,-105.0,-115.0,185.0,-225.0,,,-110.0,-110.0,180.0,-227.0,-110.0,-110.0,-108.0,-112.0,184.0,-220.0,-110.0,-110.0,-111.0,-101.0,185.0,-214.0,-105.0,-109.0,-115.0,-105.0,183.0,-215.0,-108.0,-112.0,-110.0,-110.0,180.0,-220.0,-110.0,-110.0,-115,-110,175,-225,-112,-114,-105.0,-115.0,175.0,-210.0,-110.0,-110.0,-115.0,-105.0,183.0,-215.0,-110.0,-110.0
NBA,2025-11-02 01:33:44,2025-11-02 18:00,Charlotte Hornets,Utah Jazz,No,1728.3,No,-108.0,-111.67,-154.67,129.17,-114.33,-39.17,East,Southeast,West,Northwest,-110.0,-110.0,-162.0,136.0,-110.0,-110.0,-110.0,-110.0,-161.0,131.0,-110.0,-110.0,-110.0,-110.0,-162.0,136.0,-114.0,-106.0,-101.0,-111.0,-138.0,122.0,-118.0,103.0,-105.0,-115.0,-140.0,120.0,-120.0,100.0,,,,,,,-112,-114,-165,130,-114,-112,,,,,,,,,,,,
NBA,2025-11-02 01:33:44,2025-11-02 18:10,Toronto Raptors,Memphis Grizzlies,No,817.6,No,-110.56,-109.22,-217.67,180.11,-39.78,-113.67,East,Atlantic,West,Southwest,-110.0,-110.0,-218.0,180.0,-108.0,-112.0,-110.0,-110.0,-222.0,176.0,-110.0,-110.0,-110.0,-110.0,-210.0,176.0,-110.0,-110.0,-106.0,-106.0,-219.0,188.0,103.0,-118.0,-110.0,-110.0,-220.0,186.0,100.0,-120.0,-110.0,-110.0,-220.0,180.0,-110.0,-110.0,-109,-117,-220,175,-113,-113,-115.0,-105.0,-210.0,175.0,-110.0,-110.0,-115.0,-105.0,-220.0,185.0,100.0,-120.0
NBA,2025-11-02 01:33:44,2025-11-02 19:00,New York Knicks,Chicago Bulls,No,715.3,Yes,-110.0,-109.78,-263.22,214.67,-108.22,-111.89,East,Atlantic,East,Central,-115.0,-105.0,-258.0,210.0,-115.0,-105.0,-110.0,-110.0,-270.0,211.0,-110.0,-110.0,-110.0,-110.0,-260.0,215.0,-110.0,-110.0,-106.0,-106.0,-258.0,218.0,-102.0,-113.0,-110.0,-110.0,-260.0,215.0,-105.0,-115.0,-115.0,-105.0,-275.0,220.0,-105.0,-115.0,-109,-117,-278,215,-112,-114,-105.0,-115.0,-250.0,210.0,-110.0,-110.0,-110.0,-110.0,-260.0,218.0,-105.0,-115.0
NBA,2025-11-02 01:33:44,2025-11-02 20:00,Phoenix Suns,San Antonio Spurs,No,850.8,Yes,-110.22,-109.44,204.89,-250.78,-109.33,-110.67,West,Pacific,West,Southwest,-110.0,-110.0,210.0,-258.0,-110.0,-110.0,-110.0,-110.0,201.0,-256.0,-110.0,-110.0,-106.0,-114.0,198.0,-240.0,-110.0,-110.0,-106.0,-106.0,214.0,-253.0,-107.0,-107.0,-110.0,-110.0,211.0,-255.0,-110.0,-110.0,-110.0,-110.0,200.0,-250.0,-110.0,-110.0,-115,-110,195,-250,-112,-114,-115.0,-105.0,200.0,-240.0,-105.0,-115.0,-110.0,-110.0,215.0,-255.0,-110.0,-110.0
NBA,2025-11-02 01:33:44,2025-11-02 21:30,Los Angeles Lakers,Miami Heat,No,2340.4,Yes,-109.56,-110.22,-208.44,173.33,-107.89,-112.0,West,Pacific,East,Southeast,-110.0,-110.0,-218.0,180.0,-110.0,-110.0,-110.0,-110.0,-208.0,166.0,-110.0,-110.0,-112.0,-108.0,-215.0,180.0,-110.0,-110.0,-106.0,-106.0,-200.0,175.0,-102.0,-113.0,-110.0,-110.0,-200.0,174.0,-105.0,-115.0,-105.0,-115.0,-210.0,170.0,-105.0,-115.0,-113,-113,-215,170,-114,-110,-110.0,-110.0,-210.0,175.0,-110.0,-110.0,-110.0,-110.0,-200.0,170.0,-105.0,-115.0
NBA,2025-11-02 01:33:44,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-113,-113,-143,117,-113,-113,,,,,,,,,,,,
NBA,2025-11-02 01:33:44,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-114.0,-112.0,-200.0,160.0,-114.0,-112.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-114,-112,-200,160,-114,-112,,,,,,,,,,,,
NBA,2025-11-02 01:33:44,2025-12-25 22:30,Denver Nuggets,Minnesota Timberwolves,Yes,699.6,Yes,-117.0,-109.0,-220.0,175.0,-112.0,-114.0,West,Northwest,West,Northwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-117,-109,-220,175,-112,-114,,,,,,,,,,,,
