League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-02 16:19:01,2025-11-02 15:40,Oklahoma City Thunder,New Orleans Pelicans,No,575.8,No,-113.83,-116.0,-13333.33,2666.67,-117.0,-113.5,West,Northwest,West,Southwest,-110.0,-120.0,-20000.0,3000.0,-120.0,-110.0,-111.0,-111.0,,,-118.0,-105.0,-120.0,-110.0,-10000.0,1700.0,-118.0,-112.0,-110.0,-115.0,-10000.0,3300.0,-118.0,-110.0,-117,-125,,,-118,-124,-115.0,-115.0,,,-110.0,-120.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-02 16:19:01,2025-11-02 18:00,Cleveland Cavaliers,Atlanta Hawks,No,553.9,No,-109.44,-110.33,-272.78,221.22,-109.67,-110.44,East,Central,East,Southeast,-105.0,-115.0,-270.0,220.0,-112.0,-108.0,-110.0,-110.0,-286.0,222.0,-110.0,-110.0,-110.0,-110.0,-290.0,235.0,-110.0,-110.0,-105.0,-115.0,-275.0,220.0,-115.0,-105.0,-109,-117,-286.0,220.0,-113,-113,-105.0,-115.0,-260.0,215.0,-110.0,-110.0,-111.0,-101.0,-263.0,222.0,-102.0,-113.0,-115.0,-105.0,-265.0,219.0,-105.0,-115.0,-115.0,-105.0,-260.0,218.0,-110.0,-110.0
NBA,2025-11-02 16:19:01,2025-11-02 18:00,Brooklyn Nets,Philadelphia 76ers,Yes,83.1,No,-111.33,-108.44,169.33,-202.78,-109.78,-110.22,East,Atlantic,East,Atlantic,-118.0,-102.0,170.0,-205.0,-112.0,-108.0,-110.0,-110.0,162.0,-200.0,-110.0,-110.0,-114.0,-106.0,168.0,-200.0,-106.0,-114.0,-115.0,-105.0,170.0,-210.0,-115.0,-105.0,-109,-117,165.0,-210.0,-112,-114,-110.0,-110.0,170.0,-200.0,-110.0,-110.0,-106.0,-106.0,175.0,-200.0,-105.0,-109.0,-110.0,-110.0,174.0,-200.0,-108.0,-112.0,-110.0,-110.0,170.0,-200.0,-110.0,-110.0
NBA,2025-11-02 16:19:01,2025-11-02 18:00,Charlotte Hornets,Utah Jazz,No,1728.3,No,-108.11,-111.67,81.44,-124.33,-109.0,-111.11,East,Southeast,West,Northwest,-108.0,-112.0,105.0,-125.0,-110.0,-110.0,-110.0,-110.0,101.0,-123.0,-110.0,-110.0,-108.0,-112.0,108.0,-126.0,-110.0,-110.0,-105.0,-115.0,105.0,-130.0,-110.0,-110.0,-112,-114,102.0,-127.0,-114,-112,-110.0,-110.0,-105.0,-115.0,-110.0,-110.0,-103.0,-109.0,107.0,-123.0,-102.0,-113.0,-107.0,-113.0,105.0,-125.0,-105.0,-115.0,-110.0,-110.0,105.0,-125.0,-110.0,-110.0
NBA,2025-11-02 16:19:01,2025-11-02 18:10,Toronto Raptors,Memphis Grizzlies,No,817.6,No,-110.89,-108.89,-186.11,155.78,-110.11,-109.89,East,Atlantic,West,Southwest,-115.0,-105.0,-185.0,154.0,-112.0,-108.0,-110.0,-110.0,-185.0,148.0,-110.0,-110.0,-106.0,-114.0,-188.0,158.0,-114.0,-106.0,-110.0,-110.0,-190.0,155.0,-110.0,-110.0,-117,-109,-200.0,155.0,-112,-114,-110.0,-110.0,-185.0,160.0,-110.0,-110.0,-108.0,-104.0,-181.0,159.0,-105.0,-109.0,-112.0,-108.0,-181.0,158.0,-108.0,-112.0,-110.0,-110.0,-180.0,155.0,-110.0,-110.0
NBA,2025-11-02 16:19:01,2025-11-02 19:00,New York Knicks,Chicago Bulls,No,715.3,Yes,-109.0,-110.78,-274.67,222.67,-109.22,-110.78,East,Atlantic,East,Central,-105.0,-115.0,-270.0,220.0,-112.0,-108.0,-110.0,-110.0,-286.0,225.0,-110.0,-110.0,-110.0,-110.0,-280.0,230.0,-110.0,-110.0,-110.0,-110.0,-295.0,230.0,-105.0,-115.0,-114,-112,-278.0,215.0,-113,-113,-105.0,-115.0,-270.0,220.0,-110.0,-110.0,-104.0,-108.0,-263.0,222.0,-105.0,-109.0,-108.0,-112.0,-265.0,219.0,-108.0,-112.0,-115.0,-105.0,-265.0,223.0,-110.0,-110.0
NBA,2025-11-02 16:19:01,2025-11-02 20:00,Phoenix Suns,San Antonio Spurs,No,850.8,Yes,-109.0,-110.78,183.67,-222.89,-108.78,-111.33,West,Pacific,West,Southwest,-108.0,-112.0,185.0,-225.0,-110.0,-110.0,-110.0,-110.0,184.0,-233.0,-110.0,-110.0,-110.0,-110.0,184.0,-220.0,-110.0,-110.0,-110.0,-110.0,185.0,-225.0,-115.0,-105.0,-117,-109,170.0,-215.0,-112,-114,-110.0,-110.0,180.0,-220.0,-110.0,-110.0,-101.0,-111.0,191.0,-223.0,-102.0,-113.0,-105.0,-115.0,189.0,-225.0,-105.0,-115.0,-110.0,-110.0,185.0,-220.0,-105.0,-115.0
NBA,2025-11-02 16:19:01,2025-11-02 21:30,Los Angeles Lakers,Miami Heat,No,2340.4,Yes,-109.56,-110.22,-188.44,158.0,-107.78,-112.33,West,Pacific,East,Southeast,-115.0,-105.0,-198.0,164.0,-105.0,-115.0,-110.0,-110.0,-192.0,155.0,-110.0,-110.0,-106.0,-114.0,-196.0,164.0,-110.0,-110.0,-110.0,-110.0,-190.0,155.0,-105.0,-115.0,-114,-112,-190.0,150.0,-113,-113,-110.0,-110.0,-185.0,160.0,-110.0,-110.0,-106.0,-106.0,-180.0,158.0,-102.0,-113.0,-110.0,-110.0,-180.0,157.0,-105.0,-115.0,-105.0,-115.0,-185.0,159.0,-110.0,-110.0
NBA,2025-11-02 16:19:01,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,,,,,,,-113,-113,-143.0,117.0,-113,-113,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-02 16:19:01,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-114.0,-112.0,-200.0,160.0,-114.0,-112.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,-114,-112,-200.0,160.0,-114,-112,,,,,,,,,,,,,,,,,,,,,,,,
