League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-02 22:52:05,2025-11-02 21:40,Los Angeles Lakers,Miami Heat,No,2340.4,Yes,-113.17,-117.5,-977.5,535.0,-110.5,-119.67,West,Pacific,East,Southeast,-115.0,-115.0,-750.0,470.0,-105.0,-125.0,-110.0,-118.0,-900.0,525.0,-110.0,-115.0,-120,-122,-1115,510,-118,-124,-110.0,-120.0,-900.0,500.0,-105.0,-125.0,-106.0,-125.0,-1200.0,630.0,-114.0,-118.0,-118.0,-105.0,-1000.0,575.0,-111.0,-111.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-02 22:52:05,2025-11-03 19:00,Indiana Pacers,Milwaukee Bucks,Yes,244.2,Yes,-110.89,-108.89,194.89,-236.56,-109.89,-110.11,East,Central,East,Central,-110.0,-110.0,195.0,-238.0,-110.0,-110.0,-110.0,-110.0,195.0,-235.0,-110.0,-110.0,-112,-114,180,-230,-112,-114,-110.0,-110.0,200.0,-240.0,-110.0,-110.0,-110.0,-110.0,198.0,-240.0,-110.0,-110.0,-110.0,-110.0,193.0,-244.0,-110.0,-110.0,-111.0,-101.0,198.0,-232.0,-107.0,-107.0,-115.0,-105.0,195.0,-235.0,-110.0,-110.0,-110.0,-110.0,200.0,-235.0,-110.0,-110.0
NBA,2025-11-02 22:52:05,2025-11-03 19:10,Brooklyn Nets,Minnesota Timberwolves,No,1021.6,Yes,-109.22,-110.56,297.0,-380.0,-110.11,-109.89,East,Atlantic,West,Northwest,-110.0,-110.0,285.0,-360.0,-110.0,-110.0,-110.0,-110.0,280.0,-350.0,-110.0,-110.0,-112,-114,275,-375,-114,-112,-105.0,-115.0,300.0,-400.0,-110.0,-110.0,-110.0,-110.0,315.0,-400.0,-110.0,-110.0,-110.0,-110.0,293.0,-385.0,-110.0,-110.0,-106.0,-106.0,311.0,-380.0,-107.0,-107.0,-110.0,-110.0,306.0,-385.0,-110.0,-110.0,-110.0,-110.0,308.0,-385.0,-110.0,-110.0
NBA,2025-11-02 22:52:05,2025-11-03 19:40,Boston Celtics,Utah Jazz,No,2099.0,Yes,-111.22,-108.44,-445.56,339.67,-110.11,-109.89,East,Atlantic,West,Northwest,-110.0,-110.0,-440.0,340.0,-110.0,-110.0,-105.0,-115.0,-475.0,350.0,-110.0,-110.0,-110,-115,-435,320,-114,-112,-115.0,-105.0,-460.0,340.0,-110.0,-110.0,-110.0,-110.0,-480.0,370.0,-110.0,-110.0,-110.0,-110.0,-455.0,333.0,-110.0,-110.0,-111.0,-101.0,-410.0,332.0,-107.0,-107.0,-115.0,-105.0,-415.0,327.0,-110.0,-110.0,-115.0,-105.0,-440.0,345.0,-110.0,-110.0
NBA,2025-11-02 22:52:05,2025-11-03 19:40,New York Knicks,Washington Wizards,No,205.6,Yes,-109.78,-110.0,-576.83,415.5,-109.67,-110.33,East,Atlantic,East,Southeast,-110.0,-110.0,-520.0,390.0,-110.0,-110.0,-110.0,-110.0,-625.0,450.0,-110.0,-110.0,-114,-112,-590,400,-114,-112,-110.0,-110.0,-600.0,425.0,-110.0,-110.0,-108.0,-112.0,-600.0,450.0,-106.0,-114.0,-110.0,-110.0,-526.0,378.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-02 22:52:05,2025-11-03 20:10,Houston Rockets,Dallas Mavericks,Yes,226.3,Yes,-112.22,-107.33,-685.11,484.67,-109.0,-111.11,West,Southwest,West,Southwest,-110.0,-110.0,-625.0,455.0,-110.0,-110.0,-115.0,-105.0,-750.0,525.0,-110.0,-110.0,-114,-110,-715,460,-114,-112,-115.0,-105.0,-700.0,475.0,-110.0,-110.0,-110.0,-110.0,-620.0,460.0,-110.0,-110.0,-110.0,-110.0,-667.0,465.0,-110.0,-110.0,-111.0,-101.0,-689.0,517.0,-102.0,-113.0,-115.0,-105.0,-700.0,505.0,-105.0,-115.0,-110.0,-110.0,-700.0,500.0,-110.0,-110.0
NBA,2025-11-02 22:52:05,2025-11-03 20:10,Memphis Grizzlies,Detroit Pistons,No,623.7,Yes,-111.0,-108.67,139.33,-164.89,-108.89,-111.22,West,Southwest,East,Central,-115.0,-105.0,130.0,-155.0,-110.0,-110.0,-110.0,-110.0,135.0,-160.0,-110.0,-110.0,-113,-112,132,-165,-113,-113,-115.0,-105.0,145.0,-170.0,-110.0,-110.0,-110.0,-110.0,144.0,-172.0,-110.0,-110.0,-110.0,-110.0,135.0,-167.0,-110.0,-110.0,-106.0,-106.0,146.0,-165.0,-102.0,-113.0,-110.0,-110.0,145.0,-165.0,-105.0,-115.0,-110.0,-110.0,142.0,-165.0,-110.0,-110.0
NBA,2025-11-02 22:52:05,2025-11-03 21:00,Denver Nuggets,Sacramento Kings,No,888.1,Yes,-109.67,-110.0,-615.67,445.0,-109.0,-111.11,West,Northwest,West,Pacific,-110.0,-110.0,-625.0,455.0,-110.0,-110.0,-115.0,-105.0,-625.0,450.0,-110.0,-110.0,-110,-115,-715,475,-114,-112,-110.0,-110.0,-585.0,410.0,-110.0,-110.0,-106.0,-114.0,-620.0,460.0,-110.0,-110.0,-110.0,-110.0,-625.0,427.0,-110.0,-110.0,-106.0,-106.0,-576.0,446.0,-102.0,-113.0,-110.0,-110.0,-585.0,437.0,-105.0,-115.0,-110.0,-110.0,-585.0,445.0,-110.0,-110.0
NBA,2025-11-02 22:52:05,2025-11-03 22:10,Portland Trail Blazers,Los Angeles Lakers,No,826.1,Yes,-109.67,-110.0,-161.33,136.17,-110.17,-109.5,West,Northwest,West,Pacific,-110.0,-110.0,-162.0,136.0,-110.0,-110.0,,,,,,,-112,-114,-157,125,-114,-110,,,,,,,-110.0,-110.0,-158.0,134.0,-110.0,-110.0,-110.0,-110.0,-161.0,131.0,-110.0,-110.0,-106.0,-106.0,-165.0,146.0,-107.0,-107.0,-110.0,-110.0,-165.0,145.0,-110.0,-110.0,,,,,,
NBA,2025-11-02 22:52:05,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,-113,-113,-143,117,-113,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
