League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2025-11-03 01:37:26,2025-11-03 19:00,Indiana Pacers,Milwaukee Bucks,Yes,244.2,Yes,-111.44,-108.33,194.0,-236.0,-109.33,-110.67,East,Central,East,Central,-110.0,-110.0,195.0,-238.0,-110.0,-110.0,-111.0,-101.0,198.0,-232.0,-107.0,-107.0,-115.0,-105.0,195.0,-235.0,-110.0,-110.0,-110.0,-110.0,200.0,-245.0,-110.0,-110.0,-110.0,-110.0,193.0,-244.0,-110.0,-110.0,-112,-114,180,-230,-112,-114,-110.0,-110.0,195.0,-235.0,-105.0,-115.0,-110.0,-110.0,200.0,-235.0,-110.0,-110.0,-115.0,-105.0,190.0,-230.0,-110.0,-110.0
NBA,2025-11-03 01:37:26,2025-11-03 19:10,Brooklyn Nets,Minnesota Timberwolves,No,1021.6,Yes,-110.89,-108.89,299.56,-384.0,-109.89,-110.11,East,Atlantic,West,Northwest,-110.0,-110.0,310.0,-395.0,-105.0,-115.0,-111.0,-101.0,304.0,-371.0,-107.0,-107.0,-115.0,-105.0,299.0,-375.0,-110.0,-110.0,-110.0,-110.0,295.0,-370.0,-110.0,-110.0,-110.0,-110.0,293.0,-385.0,-110.0,-110.0,-117,-109,285,-385,-112,-114,-105.0,-115.0,310.0,-400.0,-115.0,-105.0,-115.0,-105.0,300.0,-375.0,-110.0,-110.0,-105.0,-115.0,300.0,-400.0,-110.0,-110.0
NBA,2025-11-03 01:37:26,2025-11-03 19:40,Boston Celtics,Utah Jazz,No,2099.0,Yes,-111.67,-107.89,-457.78,349.78,-110.22,-109.56,East,Atlantic,West,Northwest,-115.0,-105.0,-455.0,350.0,-115.0,-105.0,-111.0,-101.0,-425.0,343.0,-107.0,-107.0,-115.0,-105.0,-430.0,337.0,-110.0,-110.0,-110.0,-110.0,-480.0,370.0,-110.0,-110.0,-110.0,-110.0,-455.0,338.0,-110.0,-110.0,-114,-110,-455,335,-110,-114,-115.0,-105.0,-500.0,375.0,-110.0,-110.0,-110.0,-110.0,-450.0,355.0,-110.0,-110.0,-105.0,-115.0,-470.0,345.0,-110.0,-110.0
NBA,2025-11-03 01:37:26,2025-11-03 19:40,New York Knicks,Washington Wizards,No,205.6,Yes,-111.44,-108.33,-609.17,430.33,-109.11,-111.0,East,Atlantic,East,Southeast,-115.0,-105.0,-600.0,440.0,-110.0,-110.0,-106.0,-106.0,,,-102.0,-113.0,-110.0,-110.0,,,-105.0,-115.0,-108.0,-112.0,-590.0,440.0,-106.0,-114.0,-110.0,-110.0,-625.0,422.0,-110.0,-110.0,-114,-112,-590,400,-114,-112,-115.0,-105.0,-625.0,450.0,-115.0,-105.0,-110.0,-110.0,,,-105.0,-115.0,-115.0,-105.0,-625.0,430.0,-115.0,-105.0
NBA,2025-11-03 01:37:26,2025-11-03 20:10,Houston Rockets,Dallas Mavericks,Yes,226.3,Yes,-109.33,-110.44,-668.22,472.89,-108.56,-111.33,West,Southwest,West,Southwest,-110.0,-110.0,-625.0,455.0,-110.0,-110.0,-101.0,-111.0,-640.0,487.0,-102.0,-113.0,-105.0,-115.0,-650.0,476.0,-105.0,-115.0,-110.0,-110.0,-620.0,460.0,-110.0,-110.0,-110.0,-110.0,-714.0,468.0,-110.0,-110.0,-113,-113,-715,460,-110,-114,-110.0,-110.0,-700.0,500.0,-110.0,-110.0,-110.0,-110.0,-650.0,475.0,-110.0,-110.0,-115.0,-105.0,-700.0,475.0,-110.0,-110.0
NBA,2025-11-03 01:37:26,2025-11-03 20:10,Memphis Grizzlies,Detroit Pistons,No,623.7,Yes,-111.0,-64.22,139.11,-165.44,-107.78,-112.33,West,Southwest,East,Central,-105.0,-115.0,142.0,-170.0,-110.0,-110.0,-116.0,104.0,141.0,-160.0,-102.0,-113.0,-120.0,100.0,140.0,-160.0,-105.0,-115.0,-110.0,-110.0,144.0,-172.0,-110.0,-110.0,-110.0,-110.0,135.0,-167.0,-110.0,-110.0,-113,-112,132,-165,-113,-113,-105.0,-115.0,135.0,-165.0,-105.0,-115.0,-110.0,-110.0,138.0,-160.0,-105.0,-115.0,-110.0,-110.0,145.0,-170.0,-110.0,-110.0
NBA,2025-11-03 01:37:26,2025-11-03 21:00,Denver Nuggets,Sacramento Kings,No,888.1,Yes,-109.67,-110.0,-615.67,445.44,-110.11,-109.89,West,Northwest,West,Pacific,-110.0,-110.0,-625.0,455.0,-110.0,-110.0,-106.0,-106.0,-576.0,446.0,-107.0,-107.0,-110.0,-110.0,-585.0,437.0,-110.0,-110.0,-106.0,-114.0,-620.0,460.0,-110.0,-110.0,-110.0,-110.0,-625.0,431.0,-110.0,-110.0,-110,-115,-715,475,-114,-112,-115.0,-105.0,-625.0,450.0,-110.0,-110.0,-110.0,-110.0,-585.0,445.0,-110.0,-110.0,-110.0,-110.0,-585.0,410.0,-110.0,-110.0
NBA,2025-11-03 01:37:26,2025-11-03 22:10,Portland Trail Blazers,Los Angeles Lakers,No,826.1,Yes,-109.5,-110.25,-154.75,131.0,-110.88,-109.0,West,Northwest,West,Pacific,-105.0,-115.0,-148.0,124.0,-105.0,-115.0,-106.0,-106.0,-155.0,136.0,-113.0,-102.0,-110.0,-110.0,-155.0,135.0,-115.0,-105.0,-108.0,-112.0,-164.0,138.0,-110.0,-110.0,-110.0,-110.0,-154.0,126.0,-110.0,-110.0,-112,-114,-157,125,-114,-110,,,,,,,-110.0,-110.0,-155.0,134.0,-110.0,-110.0,-115.0,-105.0,-150.0,130.0,-110.0,-110.0
NBA,2025-11-03 01:37:26,2025-11-03 22:40,Los Angeles Clippers,Miami Heat,No,2344.1,Yes,-113.5,-106.25,-304.38,245.62,-109.38,-110.5,West,Pacific,East,Southeast,-115.0,-105.0,-310.0,250.0,-108.0,-112.0,-111.0,-101.0,-297.0,248.0,-107.0,-107.0,-115.0,-105.0,-300.0,245.0,-110.0,-110.0,-110.0,-110.0,-290.0,235.0,-110.0,-110.0,-110.0,-110.0,-313.0,242.0,-110.0,-110.0,-117,-109,-315,240,-110,-115,,,,,,,-115.0,-105.0,-300.0,250.0,-110.0,-110.0,-115.0,-105.0,-310.0,255.0,-110.0,-110.0
NBA,2025-11-03 01:37:26,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-113,-113,-143,117,-113,-113,,,,,,,,,,,,,,,,,,
