League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-05 01:35:51,2025-11-04 23:14,Los Angeles Clippers,Oklahoma City Thunder,No,1188.0,Yes,-69.6,-88.0,3300.0,-10000.0,33.0,-134.33,West,Pacific,West,Northwest,-144.0,108.0,,,100.0,-132.0,145.0,-188.0,,,124.0,-160.0,,,3300.0,-10000.0,,,-125.0,-111.0,,,-125.0,-111.0,-114.0,-129.0,,,,,-110.0,-120.0,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-05 01:35:51,2025-11-05 19:00,Indiana Pacers,Brooklyn Nets,No,646.8,Yes,-108.56,-111.22,-269.78,218.78,-110.78,-109.33,East,Central,East,Atlantic,-112.0,-108.0,-260.0,215.0,-106.0,-114.0,-110.0,-110.0,-290.0,235.0,-110.0,-110.0,-115.0,-105.0,-275.0,220.0,-105.0,-115.0,-110.0,-110.0,-270.0,212.0,-110.0,-110.0,-109.0,-117.0,-286.0,215.0,-113.0,-113.0,-110.0,-110.0,-260.0,215.0,-110.0,-110.0,-101.0,-111.0,-267.0,225.0,-113.0,-102.0,-105.0,-115.0,-270.0,222.0,-115.0,-105.0,-105.0,-115.0,-250.0,210.0,-115.0,-105.0
NBA,2025-11-05 01:35:51,2025-11-05 19:00,Detroit Pistons,Utah Jazz,No,1492.1,Yes,-110.22,-109.33,-492.78,371.56,-111.11,-108.89,East,Central,West,Northwest,-106.0,-114.0,-490.0,380.0,-114.0,-106.0,-110.0,-110.0,-470.0,360.0,-115.0,-105.0,-110.0,-110.0,-500.0,375.0,-110.0,-110.0,-110.0,-110.0,-500.0,367.0,-110.0,-110.0,-110.0,-114.0,-560.0,390.0,-114.0,-112.0,-105.0,-115.0,-500.0,360.0,-110.0,-110.0,-111.0,-101.0,-455.0,364.0,-107.0,-107.0,-115.0,-105.0,-460.0,358.0,-110.0,-110.0,-115.0,-105.0,-500.0,390.0,-110.0,-110.0
NBA,2025-11-05 01:35:51,2025-11-05 19:10,Cleveland Cavaliers,Philadelphia 76ers,No,359.4,Yes,-106.11,-113.67,-411.78,317.11,-110.22,-109.78,East,Central,East,Atlantic,-108.0,-112.0,-420.0,330.0,-112.0,-108.0,-102.0,-118.0,-410.0,320.0,-110.0,-110.0,-102.0,-118.0,-475.0,350.0,-110.0,-110.0,-110.0,-110.0,-455.0,336.0,-110.0,-110.0,-112.0,-114.0,-435.0,320.0,-113.0,-113.0,-110.0,-110.0,-390.0,295.0,-110.0,-110.0,-101.0,-111.0,-371.0,304.0,-107.0,-107.0,-105.0,-115.0,-375.0,299.0,-110.0,-110.0,-105.0,-115.0,-375.0,300.0,-110.0,-110.0
NBA,2025-11-05 01:35:51,2025-11-05 19:30,Boston Celtics,Washington Wizards,No,394.0,Yes,-108.89,-110.89,-594.67,433.56,-109.33,-110.67,East,Atlantic,East,Southeast,-110.0,-110.0,-600.0,450.0,-110.0,-110.0,-110.0,-110.0,-575.0,425.0,-110.0,-110.0,-110.0,-110.0,-625.0,450.0,-105.0,-115.0,-110.0,-110.0,-625.0,430.0,-110.0,-110.0,-109.0,-117.0,-590.0,400.0,-112.0,-114.0,-105.0,-115.0,-600.0,425.0,-110.0,-110.0,-106.0,-106.0,-572.0,443.0,-107.0,-107.0,-110.0,-110.0,-580.0,434.0,-110.0,-110.0,-110.0,-110.0,-585.0,445.0,-110.0,-110.0
NBA,2025-11-05 01:35:51,2025-11-05 19:30,New York Knicks,Minnesota Timberwolves,No,1018.9,Yes,-111.33,-86.22,-206.44,172.44,-109.44,-110.56,East,Atlantic,West,Northwest,-108.0,-112.0,-205.0,172.0,-110.0,-110.0,-110.0,-110.0,-205.0,170.0,-110.0,-110.0,-110.0,-110.0,-210.0,170.0,-105.0,-115.0,-110.0,-110.0,-213.0,171.0,-110.0,-110.0,-112.0,-114.0,-215.0,170.0,-113.0,-113.0,-110.0,-110.0,-200.0,170.0,-110.0,-110.0,-114.0,102.0,-200.0,175.0,-107.0,-107.0,-118.0,-102.0,-200.0,174.0,-110.0,-110.0,-110.0,-110.0,-210.0,180.0,-110.0,-110.0
NBA,2025-11-05 01:35:51,2025-11-05 20:00,Memphis Grizzlies,Houston Rockets,Yes,483.7,Yes,-110.33,-109.44,236.78,-294.33,-109.67,-110.22,West,Southwest,West,Southwest,-110.0,-110.0,250.0,-310.0,-110.0,-110.0,-110.0,-110.0,235.0,-290.0,-110.0,-110.0,-110.0,-110.0,230.0,-295.0,-110.0,-110.0,-110.0,-110.0,235.0,-302.0,-110.0,-110.0,-117.0,-109.0,210.0,-275.0,-110.0,-115.0,-110.0,-110.0,240.0,-290.0,-110.0,-110.0,-106.0,-106.0,237.0,-282.0,-107.0,-107.0,-110.0,-110.0,234.0,-285.0,-110.0,-110.0,-110.0,-110.0,260.0,-320.0,-110.0,-110.0
NBA,2025-11-05 01:35:51,2025-11-05 20:40,Dallas Mavericks,New Orleans Pelicans,Yes,443.2,Yes,-109.71,-109.14,-292.57,237.29,-109.86,-109.29,West,Southwest,West,Southwest,-114.0,-106.0,-280.0,230.0,-110.0,-110.0,-108.0,-112.0,-298.0,240.0,-112.0,-108.0,-110.0,-110.0,-300.0,240.0,-110.0,-110.0,-110.0,-110.0,-303.0,233.0,-110.0,-110.0,,,,,,,,,,,,,-106.0,-106.0,-287.0,241.0,-107.0,-107.0,-110.0,-110.0,-290.0,237.0,-110.0,-110.0,-110.0,-110.0,-290.0,240.0,-110.0,-110.0
NBA,2025-11-05 01:35:51,2025-11-05 21:00,Denver Nuggets,Miami Heat,No,1726.7,Yes,-109.22,-110.44,-400.67,309.89,-110.56,-109.22,West,Northwest,East,Southeast,-110.0,-110.0,-375.0,300.0,-110.0,-110.0,-110.0,-110.0,-395.0,310.0,-110.0,-110.0,-110.0,-110.0,-450.0,333.0,-110.0,-110.0,-110.0,-110.0,-400.0,301.0,-110.0,-110.0,-112.0,-113.0,-400.0,295.0,-110.0,-114.0,-105.0,-115.0,-410.0,305.0,-115.0,-105.0,-106.0,-106.0,-386.0,315.0,-107.0,-107.0,-110.0,-110.0,-390.0,310.0,-110.0,-110.0,-110.0,-110.0,-400.0,320.0,-113.0,-107.0
NBA,2025-11-05 01:35:51,2025-11-05 22:00,Sacramento Kings,Golden State Warriors,Yes,74.0,Yes,-110.57,-108.29,-147.14,124.71,-109.57,-109.57,West,Pacific,West,Pacific,-110.0,-110.0,-152.0,128.0,-110.0,-110.0,-110.0,-110.0,-142.0,120.0,-110.0,-110.0,-118.0,-102.0,-150.0,125.0,-110.0,-110.0,-110.0,-110.0,-152.0,123.0,-110.0,-110.0,,,,,,,,,,,,,-106.0,-106.0,-144.0,127.0,-107.0,-107.0,-110.0,-110.0,-145.0,125.0,-110.0,-110.0,-110.0,-110.0,-145.0,125.0,-110.0,-110.0
