League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-05 20:54:26,2025-11-05 19:10,Indiana Pacers,Brooklyn Nets,No,646.8,Yes,-118.67,-80.33,-227.0,169.17,-117.5,-115.17,East,Central,East,Atlantic,-105.0,-125.0,-238.0,180.0,-120.0,-110.0,-133.0,100.0,-154.0,115.0,-111.0,-125.0,-110.0,-118.0,-250.0,190.0,-118.0,-110.0,-125.0,-106.0,-250.0,190.0,-112.0,-118.0,-124.0,-118.0,-240.0,165.0,-124.0,-118.0,-115.0,-115.0,-230.0,175.0,-120.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-05 20:54:26,2025-11-05 19:11,Detroit Pistons,Utah Jazz,No,1492.1,Yes,-119.33,-79.83,-1910.67,800.0,-120.83,-111.67,East,Central,West,Northwest,-120.0,-110.0,-1850.0,900.0,-120.0,-110.0,-111.0,-118.0,-1429.0,725.0,-125.0,-111.0,-110.0,-118.0,-1400.0,725.0,-115.0,-110.0,-140.0,106.0,-1450.0,700.0,-128.0,-104.0,-115.0,-129.0,-3335.0,850.0,-117.0,-125.0,-120.0,-110.0,-2000.0,900.0,-120.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-05 20:54:26,2025-11-05 19:12,Cleveland Cavaliers,Philadelphia 76ers,No,359.4,Yes,-117.83,-82.17,-3453.4,1110.0,-117.17,-114.33,East,Central,East,Atlantic,-110.0,-120.0,-2800.0,1200.0,-115.0,-115.0,-125.0,-111.0,-1667.0,750.0,-111.0,-118.0,-110.0,-118.0,-5000.0,1200.0,-125.0,-105.0,-136.0,102.0,-4500.0,1200.0,-110.0,-120.0,-121.0,-121.0,,,-122.0,-118.0,-105.0,-125.0,-3300.0,1200.0,-120.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-05 20:54:26,2025-11-05 19:40,Boston Celtics,Washington Wizards,No,394.0,Yes,-117.83,-80.67,-2136.17,836.67,-119.67,-112.17,East,Atlantic,East,Southeast,-115.0,-115.0,-1850.0,900.0,-120.0,-110.0,-111.0,-118.0,-1667.0,750.0,-118.0,-111.0,-118.0,-110.0,-3000.0,1000.0,-125.0,-105.0,-132.0,100.0,-2200.0,870.0,-118.0,-112.0,-121.0,-121.0,-2500.0,750.0,-122.0,-120.0,-110.0,-120.0,-1600.0,750.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-05 20:54:26,2025-11-05 19:43,New York Knicks,Minnesota Timberwolves,No,1018.9,Yes,-121.17,-111.0,28.83,-124.17,-115.33,-116.33,East,Atlantic,West,Northwest,-120.0,-110.0,100.0,-130.0,-110.0,-120.0,-118.0,-111.0,100.0,-125.0,-118.0,-111.0,-130.0,-102.0,-110.0,-115.0,-118.0,-110.0,-120.0,-110.0,100.0,-128.0,-114.0,-118.0,-129.0,-113.0,-117.0,-117.0,-117.0,-124.0,-110.0,-120.0,100.0,-130.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-05 20:54:26,2025-11-05 20:10,Memphis Grizzlies,Houston Rockets,Yes,483.7,Yes,-114.0,-116.83,388.33,-603.33,-81.67,-115.83,West,Southwest,West,Southwest,-110.0,-120.0,450.0,-720.0,-120.0,-110.0,-118.0,-105.0,330.0,-455.0,100.0,-125.0,-105.0,-125.0,375.0,-550.0,-118.0,-110.0,-118.0,-112.0,430.0,-670.0,-112.0,-118.0,-118.0,-124.0,370.0,-625.0,-120.0,-122.0,-115.0,-115.0,375.0,-600.0,-120.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-05 20:54:26,2025-11-05 20:41,Dallas Mavericks,New Orleans Pelicans,Yes,443.2,Yes,-108.78,-117.0,-205.22,164.56,-111.67,-114.67,West,Southwest,West,Southwest,-110.0,-120.0,-166.0,130.0,-110.0,-120.0,-105.0,-118.0,-154.0,125.0,-105.0,-118.0,-110.0,-115.0,-165.0,130.0,-118.0,-110.0,-110.0,-120.0,-180.0,140.0,-112.0,-118.0,-118.0,-124.0,-190.0,138.0,-118.0,-124.0,-115.0,-115.0,-155.0,120.0,-115.0,-115.0,-101.0,-111.0,-277.0,233.0,-107.0,-107.0,-105.0,-115.0,-280.0,230.0,-110.0,-110.0,-105.0,-115.0,-280.0,235.0,-110.0,-110.0
NBA,2025-11-05 20:54:26,2025-11-05 21:12,Denver Nuggets,Miami Heat,No,1726.7,Yes,-107.22,-112.56,-403.67,311.89,-112.44,-63.11,West,Northwest,East,Southeast,-108.0,-112.0,-395.0,310.0,-110.0,-110.0,-110.0,-110.0,-417.0,311.0,-110.0,-110.0,-110.0,-110.0,-425.0,325.0,-110.0,-110.0,-112.0,-108.0,-420.0,330.0,-114.0,-106.0,-109.0,-117.0,-420.0,300.0,-110.0,-115.0,-105.0,-115.0,-400.0,300.0,-110.0,-110.0,-101.0,-111.0,-376.0,308.0,-118.0,103.0,-105.0,-115.0,-380.0,303.0,-120.0,100.0,-105.0,-115.0,-400.0,320.0,-110.0,-110.0
NBA,2025-11-05 20:54:26,2025-11-05 22:00,Sacramento Kings,Golden State Warriors,Yes,74.0,Yes,-112.22,-107.56,-146.22,123.56,-109.89,-110.22,West,Pacific,West,Pacific,-115.0,-105.0,-148.0,124.0,-105.0,-115.0,-110.0,-110.0,-149.0,121.0,-110.0,-110.0,-115.0,-105.0,-150.0,125.0,-105.0,-115.0,-105.0,-115.0,-142.0,120.0,-112.0,-108.0,-114.0,-112.0,-148.0,120.0,-114.0,-112.0,-110.0,-110.0,-145.0,125.0,-105.0,-115.0,-111.0,-101.0,-144.0,127.0,-113.0,-102.0,-115.0,-105.0,-145.0,125.0,-115.0,-105.0,-115.0,-105.0,-145.0,125.0,-110.0,-110.0
NBA,2025-11-05 20:54:26,2025-11-05 22:00,Los Angeles Lakers,San Antonio Spurs,No,1208.0,Yes,-84.89,-112.56,-113.88,-105.62,-109.67,-110.33,West,Pacific,West,Southwest,-102.0,-118.0,-115.0,-105.0,-110.0,-110.0,-110.0,-110.0,-115.0,-106.0,-110.0,-110.0,100.0,-120.0,-115.0,-105.0,-110.0,-110.0,-108.0,-112.0,-110.0,-106.0,-106.0,-114.0,-113.0,-112.0,-117.0,-106.0,-114.0,-112.0,-105.0,-115.0,-115.0,-105.0,-110.0,-110.0,-106.0,-106.0,-111.0,-105.0,-107.0,-107.0,-110.0,-110.0,-113.0,-107.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0
