League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds
NBA,2025-11-06 13:35:41,2025-11-06 21:00,Phoenix Suns,Los Angeles Clippers,Yes,362.6,Yes,-111.11,-86.22,-149.33,126.22,-109.11,-110.89,West,Pacific,West,Pacific,-120.0,100.0,-148.0,124.0,-115.0,-105.0,-106.0,-106.0,-149.0,132.0,-102.0,-113.0,-110.0,-110.0,-150.0,130.0,-105.0,-115.0,-110.0,-110.0,-154.0,130.0,-110.0,-110.0,-115.0,-105.0,-140.0,120.0,-110.0,-110.0,-110.0,-110.0,-155.0,126.0,-110.0,-110.0,-110.0,-110.0,-150.0,125.0,-110.0,-110.0,-110.0,-110.0,-150.0,129.0,-110.0,-110.0,-109,-115,-148,120,-110,-115
NBA,2025-11-06 13:35:41,2025-11-07 19:10,Orlando Magic,Boston Celtics,No,1115.0,Yes,-108.25,-113.25,-151.0,125.5,-111.0,-110.5,East,Southeast,East,Atlantic,-105.0,-115.0,-142.0,120.0,-110.0,-110.0,,,,,,,,,,,,,-110.0,-110.0,-158.0,134.0,-110.0,-110.0,,,,,,,,,,,,,-105.0,-115.0,-145.0,120.0,-110.0,-110.0,,,,,,,-113,-113,-159,128,-114,-112
NBA,2025-11-06 13:35:41,2025-11-07 19:10,Washington Wizards,Cleveland Cavaliers,No,305.1,Yes,-110.5,-111.0,488.75,-692.5,-110.0,-111.5,East,Southeast,East,Central,-110.0,-110.0,490.0,-675.0,-110.0,-110.0,,,,,,,,,,,,,-110.0,-110.0,520.0,-720.0,-106.0,-114.0,,,,,,,,,,,,,-110.0,-110.0,525.0,-750.0,-110.0,-110.0,,,,,,,-112,-114,420,-625,-114,-112
NBA,2025-11-06 13:35:41,2025-11-07 19:40,Atlanta Hawks,Toronto Raptors,No,733.5,Yes,-111.75,-109.75,101.75,-122.5,-108.5,-113.0,East,Southeast,East,Atlantic,-110.0,-110.0,102.0,-122.0,-105.0,-115.0,,,,,,,,,,,,,-114.0,-106.0,100.0,-118.0,-110.0,-110.0,,,,,,,,,,,,,-110.0,-110.0,100.0,-120.0,-105.0,-115.0,,,,,,,-113,-113,105,-130,-114,-112
NBA,2025-11-06 13:35:41,2025-11-07 19:40,Brooklyn Nets,Detroit Pistons,No,484.4,Yes,-107.5,-113.75,270.0,-340.0,-111.0,-110.5,East,Atlantic,East,Central,-105.0,-115.0,275.0,-345.0,-115.0,-105.0,,,,,,,,,,,,,-110.0,-110.0,260.0,-320.0,-110.0,-110.0,,,,,,,,,,,,,-105.0,-115.0,280.0,-350.0,-105.0,-115.0,,,,,,,-110,-115,265,-345,-114,-112
NBA,2025-11-06 13:35:41,2025-11-07 19:40,San Antonio Spurs,Houston Rockets,Yes,186.5,Yes,-109.75,-111.75,111.25,-134.25,-110.75,-110.75,West,Southwest,West,Southwest,-118.0,-102.0,110.0,-130.0,-110.0,-110.0,,,,,,,,,,,,,-106.0,-114.0,120.0,-142.0,-110.0,-110.0,,,,,,,,,,,,,-102.0,-118.0,110.0,-135.0,-110.0,-110.0,,,,,,,-113,-113,105,-130,-113,-113
NBA,2025-11-06 13:35:41,2025-11-07 20:10,Miami Heat,Charlotte Hornets,Yes,651.7,Yes,-110.75,-110.75,-260.0,210.0,-110.75,-110.75,East,Southeast,East,Southeast,-110.0,-110.0,-265.0,215.0,-115.0,-105.0,,,,,,,,,,,,,-110.0,-110.0,-250.0,205.0,-110.0,-110.0,,,,,,,,,,,,,-110.0,-110.0,-275.0,220.0,-105.0,-115.0,,,,,,,-113,-113,-250,200,-113,-113
NBA,2025-11-06 13:35:41,2025-11-07 20:10,Milwaukee Bucks,Chicago Bulls,Yes,81.3,Yes,-110.75,-110.75,-195.5,160.75,-110.75,-110.75,East,Central,East,Central,-110.0,-110.0,-192.0,160.0,-105.0,-115.0,,,,,,,,,,,,,-110.0,-110.0,-200.0,168.0,-110.0,-110.0,,,,,,,,,,,,,-110.0,-110.0,-190.0,155.0,-115.0,-105.0,,,,,,,-113,-113,-200,160,-113,-113
NBA,2025-11-06 13:35:41,2025-11-07 20:10,Memphis Grizzlies,Dallas Mavericks,Yes,420.5,Yes,-111.75,-109.75,-162.0,134.75,-110.75,-110.75,West,Southwest,West,Southwest,-110.0,-110.0,-162.0,136.0,-115.0,-105.0,,,,,,,,,,,,,-110.0,-110.0,-164.0,138.0,-110.0,-110.0,,,,,,,,,,,,,-110.0,-110.0,-160.0,135.0,-105.0,-115.0,,,,,,,-117,-109,-162,130,-113,-113
NBA,2025-11-06 13:35:41,2025-11-07 20:10,Minnesota Timberwolves,Utah Jazz,Yes,986.7,Yes,-110.75,-110.75,-990.0,628.75,-110.75,-110.5,West,Northwest,West,Northwest,-118.0,-102.0,-1000.0,650.0,-110.0,-110.0,,,,,,,,,,,,,-106.0,-114.0,-950.0,640.0,-110.0,-110.0,,,,,,,,,,,,,-105.0,-115.0,-1100.0,675.0,-110.0,-110.0,,,,,,,-114,-112,-910,550,-113,-112
