League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-06 22:45:29,2025-11-06 21:10,Phoenix Suns,Los Angeles Clippers,Yes,362.6,Yes,-118.83,-113.17,-5562.5,1275.0,-112.83,-120.0,West,Pacific,West,Pacific,-115.0,-115.0,-6500.0,1800.0,-120.0,-110.0,-110.0,-120.0,-4500.0,1200.0,-106.0,-125.0,-120.0,-110.0,,,-110.0,-120.0,-125.0,-105.0,-1250.0,650.0,-111.0,-125.0,-125.0,-105.0,-10000.0,1450.0,-110.0,-118.0,-118,-124,,,-120,-122,,,,,,,,,,,,,,,,,,
NBA,2025-11-06 22:45:29,2025-11-07 19:10,Orlando Magic,Boston Celtics,No,1115.0,Yes,-109.11,-110.56,-161.17,133.83,-109.56,-110.44,East,Southeast,East,Atlantic,-110.0,-110.0,-166.0,140.0,-105.0,-115.0,-106.0,-114.0,-152.0,128.0,-112.0,-108.0,-105.0,-115.0,-150.0,130.0,-110.0,-110.0,-110.0,-110.0,-164.0,133.0,-110.0,-110.0,-110.0,-110.0,-170.0,140.0,-110.0,-110.0,-115,-110,-165.0,132.0,-112,-114,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-06 22:45:29,2025-11-07 19:10,Washington Wizards,Cleveland Cavaliers,No,305.1,Yes,-111.0,-108.67,547.67,-817.17,-109.44,-110.56,East,Southeast,East,Central,-118.0,-102.0,550.0,-800.0,-105.0,-115.0,-110.0,-110.0,570.0,-800.0,-114.0,-106.0,-110.0,-110.0,525.0,-800.0,-105.0,-115.0,-110.0,-110.0,531.0,-833.0,-110.0,-110.0,-110.0,-110.0,600.0,-900.0,-110.0,-110.0,-115,-110,510.0,-770.0,-114,-112,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-06 22:45:29,2025-11-07 19:40,Atlanta Hawks,Toronto Raptors,No,733.5,Yes,-108.0,-111.78,-119.17,-1.5,-109.67,-110.33,East,Southeast,East,Atlantic,-102.0,-118.0,-115.0,-105.0,-110.0,-110.0,-110.0,-110.0,-120.0,102.0,-108.0,-112.0,-105.0,-115.0,-120.0,100.0,-110.0,-110.0,-110.0,-110.0,-118.0,-104.0,-110.0,-110.0,-105.0,-115.0,-118.0,-102.0,-110.0,-110.0,-114,-112,-124.0,100.0,-112,-114,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-06 22:45:29,2025-11-07 19:40,Brooklyn Nets,Detroit Pistons,No,484.4,Yes,-108.67,-111.11,357.83,-481.0,-111.0,-109.11,East,Atlantic,East,Central,-110.0,-110.0,370.0,-485.0,-110.0,-110.0,-110.0,-110.0,360.0,-460.0,-108.0,-112.0,-110.0,-110.0,370.0,-510.0,-105.0,-115.0,-110.0,-110.0,347.0,-476.0,-110.0,-110.0,-110.0,-110.0,360.0,-475.0,-110.0,-110.0,-117,-109,340.0,-480.0,-113,-113,-105.0,-115.0,,,-115.0,-105.0,-101.0,-111.0,,,-113.0,-102.0,-105.0,-115.0,,,-115.0,-105.0
NBA,2025-11-06 22:45:29,2025-11-07 19:40,San Antonio Spurs,Houston Rockets,Yes,186.5,Yes,-107.44,-112.33,121.67,-146.5,-109.89,-110.11,West,Southwest,West,Southwest,-105.0,-115.0,124.0,-148.0,-112.0,-108.0,-108.0,-112.0,122.0,-144.0,-108.0,-112.0,-110.0,-110.0,125.0,-145.0,-110.0,-110.0,-110.0,-110.0,118.0,-145.0,-110.0,-110.0,-110.0,-110.0,118.0,-145.0,-110.0,-110.0,-113,-113,123.0,-152.0,-112,-114,-105.0,-115.0,,,-110.0,-110.0,-101.0,-111.0,,,-107.0,-107.0,-105.0,-115.0,,,-110.0,-110.0
NBA,2025-11-06 22:45:29,2025-11-07 20:10,Miami Heat,Charlotte Hornets,Yes,651.7,Yes,-112.22,-107.56,-196.33,162.17,-110.0,-110.0,East,Southeast,East,Southeast,-118.0,-102.0,-198.0,164.0,-110.0,-110.0,-110.0,-110.0,-205.0,172.0,-110.0,-110.0,-115.0,-105.0,-175.0,150.0,-110.0,-110.0,-110.0,-110.0,-200.0,162.0,-110.0,-110.0,-118.0,-102.0,-200.0,165.0,-110.0,-110.0,-113,-113,-200.0,160.0,-113,-113,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-06 22:45:29,2025-11-07 20:10,Milwaukee Bucks,Chicago Bulls,Yes,81.3,Yes,-111.56,-108.11,-171.5,141.33,-109.89,-110.11,East,Central,East,Central,-118.0,-102.0,-166.0,140.0,-110.0,-110.0,-112.0,-108.0,-174.0,144.0,-110.0,-110.0,-105.0,-115.0,-170.0,145.0,-110.0,-110.0,-110.0,-110.0,-172.0,139.0,-110.0,-110.0,-118.0,-102.0,-170.0,140.0,-110.0,-110.0,-115,-110,-177.0,140.0,-112,-114,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-06 22:45:29,2025-11-07 20:10,Memphis Grizzlies,Dallas Mavericks,Yes,420.5,Yes,-109.67,-110.11,-175.83,145.5,-109.89,-109.89,West,Southwest,West,Southwest,-108.0,-112.0,-175.0,145.0,-105.0,-115.0,-110.0,-110.0,-178.0,150.0,-112.0,-108.0,-110.0,-110.0,-170.0,145.0,-110.0,-110.0,-110.0,-110.0,-175.0,143.0,-110.0,-110.0,-110.0,-110.0,-175.0,145.0,-115.0,-105.0,-113,-113,-182.0,145.0,-110,-114,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-06 22:45:29,2025-11-07 20:10,Minnesota Timberwolves,Utah Jazz,Yes,986.7,Yes,-111.78,-108.0,-639.17,451.33,-109.56,-110.44,West,Northwest,West,Northwest,-115.0,-105.0,-625.0,455.0,-110.0,-110.0,-112.0,-108.0,-620.0,460.0,-106.0,-114.0,-115.0,-105.0,-625.0,430.0,-110.0,-110.0,-110.0,-110.0,-625.0,438.0,-110.0,-110.0,-115.0,-105.0,-625.0,450.0,-110.0,-110.0,-113,-113,-715.0,475.0,-113,-113,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
