League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-07 10:24:54,2025-11-07 19:10,Orlando Magic,Boston Celtics,No,1115.0,Yes,-108.56,-111.22,-153.78,129.44,-109.89,-110.11,East,Southeast,East,Atlantic,-104.0,-118.0,-146.0,124.0,-110.0,-110.0,-109,-115,-167,133,-112,-114,-108.0,-112.0,-155.0,130.0,-110.0,-110.0,-105.0,-115.0,-155.0,125.0,-110.0,-110.0,-115.0,-105.0,-153.0,133.0,-110.0,-110.0,-111.0,-101.0,-152.0,134.0,-107.0,-107.0,-110.0,-110.0,-156.0,127.0,-110.0,-110.0,-105.0,-115.0,-150.0,130.0,-110.0,-110.0,-110.0,-110.0,-150.0,129.0,-110.0,-110.0
NBA,2025-11-07 10:24:54,2025-11-07 19:10,Washington Wizards,Cleveland Cavaliers,No,305.1,Yes,-108.0,-111.67,569.44,-852.56,-111.11,-108.78,East,Southeast,East,Central,-108.0,-112.0,610.0,-900.0,-110.0,-110.0,-110,-115,540,-835,-113,-112,-108.0,-112.0,575.0,-850.0,-115.0,-105.0,-110.0,-110.0,625.0,-1000.0,-115.0,-105.0,-105.0,-115.0,566.0,-810.0,-110.0,-110.0,-101.0,-111.0,581.0,-795.0,-107.0,-107.0,-110.0,-110.0,528.0,-833.0,-110.0,-110.0,-110.0,-110.0,550.0,-850.0,-110.0,-110.0,-110.0,-110.0,550.0,-800.0,-110.0,-110.0
NBA,2025-11-07 10:24:54,2025-11-07 19:40,Atlanta Hawks,Toronto Raptors,No,733.5,Yes,-108.89,-110.78,-135.56,113.89,-111.56,-108.44,East,Southeast,East,Atlantic,-114.0,-106.0,-142.0,120.0,-112.0,-108.0,-115,-110,-132,106,-113,-113,-105.0,-115.0,-135.0,114.0,-112.0,-108.0,-105.0,-115.0,-140.0,115.0,-115.0,-105.0,-105.0,-115.0,-132.0,112.0,-110.0,-110.0,-101.0,-111.0,-130.0,114.0,-107.0,-107.0,-110.0,-110.0,-139.0,114.0,-110.0,-110.0,-115.0,-105.0,-135.0,115.0,-115.0,-105.0,-110.0,-110.0,-135.0,115.0,-110.0,-110.0
NBA,2025-11-07 10:24:54,2025-11-07 19:40,Brooklyn Nets,Detroit Pistons,No,484.4,Yes,-111.78,-108.0,364.0,-480.44,-110.22,-109.78,East,Atlantic,East,Central,-110.0,-110.0,360.0,-460.0,-110.0,-110.0,-113,-113,350,-480,-112,-114,-112.0,-108.0,370.0,-485.0,-108.0,-112.0,-115.0,-105.0,375.0,-500.0,-115.0,-105.0,-115.0,-105.0,361.0,-465.0,-110.0,-110.0,-111.0,-101.0,367.0,-459.0,-107.0,-107.0,-110.0,-110.0,358.0,-500.0,-110.0,-110.0,-110.0,-110.0,370.0,-510.0,-110.0,-110.0,-110.0,-110.0,365.0,-465.0,-110.0,-110.0
NBA,2025-11-07 10:24:54,2025-11-07 19:40,San Antonio Spurs,Houston Rockets,Yes,186.5,Yes,-109.11,-110.33,137.22,-163.67,-110.33,-109.67,West,Southwest,West,Southwest,-110.0,-110.0,140.0,-166.0,-110.0,-110.0,-113,-113,135,-175,-112,-114,-108.0,-112.0,140.0,-166.0,-110.0,-110.0,-110.0,-110.0,135.0,-165.0,-110.0,-110.0,-115.0,-102.0,140.0,-160.0,-112.0,-108.0,-101.0,-111.0,141.0,-160.0,-109.0,-105.0,-110.0,-110.0,131.0,-161.0,-110.0,-110.0,-105.0,-115.0,135.0,-160.0,-110.0,-110.0,-110.0,-110.0,138.0,-160.0,-110.0,-110.0
NBA,2025-11-07 10:24:54,2025-11-07 20:10,Miami Heat,Charlotte Hornets,Yes,651.7,Yes,-87.0,-110.44,-185.56,155.89,-109.33,-110.67,East,Southeast,East,Southeast,-106.0,-114.0,-190.0,160.0,-110.0,-110.0,-115,-110,-177,140,-114,-112,-112.0,-108.0,-192.0,160.0,-108.0,-112.0,-118.0,-102.0,-190.0,155.0,-105.0,-115.0,-103.0,-117.0,-180.0,157.0,-110.0,-110.0,101.0,-113.0,-180.0,158.0,-107.0,-107.0,-110.0,-110.0,-196.0,158.0,-110.0,-110.0,-110.0,-110.0,-185.0,160.0,-110.0,-110.0,-110.0,-110.0,-180.0,155.0,-110.0,-110.0
NBA,2025-11-07 10:24:54,2025-11-07 20:10,Milwaukee Bucks,Chicago Bulls,Yes,81.3,Yes,-108.78,-111.0,-173.11,145.56,-109.44,-110.56,East,Central,East,Central,-112.0,-108.0,-174.0,146.0,-110.0,-110.0,-114,-112,-177,140,-113,-113,-102.0,-118.0,-175.0,145.0,-110.0,-110.0,-105.0,-115.0,-175.0,145.0,-105.0,-115.0,-110.0,-110.0,-170.0,149.0,-110.0,-110.0,-106.0,-106.0,-170.0,150.0,-107.0,-107.0,-110.0,-110.0,-172.0,140.0,-110.0,-110.0,-110.0,-110.0,-170.0,145.0,-110.0,-110.0,-110.0,-110.0,-175.0,150.0,-110.0,-110.0
NBA,2025-11-07 10:24:54,2025-11-07 20:10,Memphis Grizzlies,Dallas Mavericks,Yes,420.5,Yes,-109.22,-110.56,-180.89,151.67,-109.89,-110.11,West,Southwest,West,Southwest,-110.0,-110.0,-184.0,154.0,-110.0,-110.0,-114,-112,-182,145,-112,-114,-108.0,-112.0,-180.0,150.0,-115.0,-105.0,-110.0,-110.0,-185.0,150.0,-105.0,-115.0,-110.0,-110.0,-180.0,157.0,-110.0,-110.0,-106.0,-106.0,-180.0,158.0,-107.0,-107.0,-110.0,-110.0,-182.0,146.0,-110.0,-110.0,-105.0,-115.0,-180.0,155.0,-110.0,-110.0,-110.0,-110.0,-175.0,150.0,-110.0,-110.0
NBA,2025-11-07 10:24:54,2025-11-07 20:10,Minnesota Timberwolves,Utah Jazz,Yes,986.7,Yes,-110.44,-109.33,-574.78,422.33,-111.33,-108.78,West,Northwest,West,Northwest,-106.0,-114.0,-550.0,410.0,-112.0,-108.0,-112,-114,-625,430,-112,-114,-115.0,-105.0,-575.0,425.0,-110.0,-110.0,-115.0,-105.0,-625.0,450.0,-110.0,-110.0,-110.0,-110.0,-550.0,415.0,-115.0,-105.0,-106.0,-106.0,-542.0,423.0,-113.0,-102.0,-110.0,-110.0,-556.0,398.0,-110.0,-110.0,-110.0,-110.0,-600.0,425.0,-110.0,-110.0,-110.0,-110.0,-550.0,425.0,-110.0,-110.0
NBA,2025-11-07 10:24:54,2025-11-07 22:10,Denver Nuggets,Golden State Warriors,No,947.0,Yes,-109.78,-110.0,-452.22,344.78,-109.89,-110.11,West,Northwest,West,Pacific,-114.0,-106.0,-480.0,370.0,-110.0,-110.0,-117,-109,-455,330,-114,-112,-105.0,-115.0,-440.0,340.0,-108.0,-112.0,-105.0,-115.0,-475.0,350.0,-110.0,-110.0,-113.0,-107.0,-425.0,334.0,-110.0,-110.0,-109.0,-103.0,-420.0,340.0,-107.0,-107.0,-110.0,-110.0,-455.0,339.0,-110.0,-110.0,-105.0,-115.0,-470.0,345.0,-110.0,-110.0,-110.0,-110.0,-450.0,355.0,-110.0,-110.0
