League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds
NBA,2025-11-07 22:37:22,2025-11-07 20:11,Minnesota Timberwolves,Utah Jazz,Yes,986.7,Yes,-76.67,30.67,,,-130.0,100.0,West,Northwest,West,Northwest,140.0,-188.0,,,,,-135.0,105.0,,,-130.0,100.0,-235.0,175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-07 22:37:22,2025-11-07 20:12,Miami Heat,Charlotte Hornets,Yes,651.7,Yes,-1724.5,120.33,-5000.0,1200.0,340.0,-3251.0,East,Southeast,East,Southeast,-118.0,-112.0,,,-148.0,112.0,130.0,-166.0,,,,,-10000.0,1350.0,,,1350.0,-10000.0,-109.0,-134.0,,,,,-125.0,-111.0,-5000.0,1200.0,-182.0,135.0,-125.0,-105.0,,,,,,,,,,,,,,,,
NBA,2025-11-07 22:37:22,2025-11-07 20:12,Memphis Grizzlies,Dallas Mavericks,Yes,420.5,Yes,14.5,-160.33,,,-45.67,-119.67,West,Southwest,West,Southwest,104.0,-138.0,,,-112.0,-118.0,100.0,-130.0,,,100.0,-130.0,250.0,-350.0,,,,,-132.0,-113.0,,,,,-125.0,-111.0,,,-125.0,-111.0,-110.0,-120.0,,,,,,,,,,,,,,,,
NBA,2025-11-07 22:37:22,2025-11-07 22:11,Sacramento Kings,Oklahoma City Thunder,No,1339.6,Yes,-119.83,-77.17,290.83,-415.83,-114.67,-117.17,West,Pacific,West,Northwest,-132.0,100.0,265.0,-370.0,-110.0,-122.0,-115.0,-115.0,300.0,-425.0,-110.0,-120.0,-115.0,-110.0,275.0,-375.0,-118.0,-110.0,-124.0,-118.0,285.0,-435.0,-122.0,-120.0,-118.0,-105.0,330.0,-455.0,-118.0,-111.0,-115.0,-115.0,290.0,-435.0,-110.0,-120.0,,,,,,,,,,,,
NBA,2025-11-07 22:37:22,2025-11-07 22:13,Denver Nuggets,Golden State Warriors,No,947.0,Yes,-113.17,-117.17,-1244.5,638.33,-115.5,-114.33,West,Northwest,West,Pacific,-108.0,-122.0,-1200.0,630.0,-122.0,-108.0,-110.0,-120.0,-1050.0,600.0,-110.0,-120.0,-118.0,-110.0,-1100.0,600.0,-110.0,-115.0,-122.0,-120.0,-1250.0,575.0,-120.0,-122.0,-111.0,-111.0,-1667.0,775.0,-111.0,-111.0,-110.0,-120.0,-1200.0,650.0,-120.0,-110.0,,,,,,,,,,,,
NBA,2025-11-07 22:37:22,2025-11-08 19:30,Philadelphia 76ers,Toronto Raptors,Yes,337.5,Yes,-111.83,-106.83,-192.25,159.5,-109.5,-109.5,East,Atlantic,East,Atlantic,,,,,,,-112.0,-108.0,-198.0,164.0,-110.0,-110.0,-118.0,-102.0,-190.0,155.0,-110.0,-110.0,,,,,,,-110.0,-110.0,-196.0,159.0,-110.0,-110.0,-115.0,-105.0,-185.0,160.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-07 22:37:22,2025-11-08 20:00,Atlanta Hawks,Los Angeles Lakers,No,1937.7,Yes,-110.17,-108.5,127.75,-152.25,-110.33,-108.67,East,Southeast,West,Pacific,,,,,,,-115.0,-105.0,136.0,-162.0,-115.0,-105.0,-105.0,-115.0,125.0,-150.0,-110.0,-110.0,,,,,,,-110.0,-110.0,120.0,-147.0,-110.0,-110.0,-115.0,-105.0,130.0,-150.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-07 22:37:22,2025-11-08 20:00,San Antonio Spurs,New Orleans Pelicans,Yes,503.7,Yes,-109.0,-109.67,-591.5,426.5,-109.5,-109.5,West,Southwest,West,Southwest,,,,,,,-108.0,-112.0,-535.0,400.0,-110.0,-110.0,-105.0,-115.0,-650.0,475.0,-110.0,-110.0,,,,,,,-110.0,-110.0,-556.0,401.0,-110.0,-110.0,-115.0,-105.0,-625.0,430.0,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0
NBA,2025-11-07 22:37:22,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-07 22:37:22,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-114.0,-112.0,-195.0,150.0,-115.0,-110.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,-114.0,-112.0,-195.0,150.0,-115.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-07 22:37:22,2025-12-25 22:30,Denver Nuggets,Minnesota Timberwolves,Yes,699.6,Yes,-117.0,-109.0,-220.0,175.0,-112.0,-114.0,West,Northwest,West,Northwest,,,,,,,,,,,,,,,,,,,-117.0,-109.0,-220.0,175.0,-112.0,-114.0,,,,,,,,,,,,,,,,,,,,,,,,
