League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds
NBA,2025-11-08 01:32:37,2025-11-08 19:10,Washington Wizards,Dallas Mavericks,No,1185.0,Yes,-110.0,-110.0,132.0,-156.0,-108.0,-112.0,East,Southeast,West,Southwest,-110.0,-110.0,132.0,-156.0,-108.0,-112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-08 01:32:37,2025-11-08 19:30,Philadelphia 76ers,Toronto Raptors,Yes,337.5,Yes,-109.56,-110.22,-199.86,165.57,-109.44,-110.44,East,Atlantic,East,Atlantic,-110.0,-110.0,-190.0,160.0,-108.0,-112.0,-112.0,-108.0,-205.0,170.0,-105.0,-115.0,-101.0,-111.0,-190.0,166.0,-107.0,-107.0,-105.0,-115.0,-190.0,165.0,-110.0,-110.0,-110.0,-110.0,-204.0,163.0,-110.0,-110.0,-115.0,-105.0,,,-110.0,-110.0,-115.0,-105.0,-210.0,170.0,-110.0,-110.0,-105.0,-115.0,,,-110.0,-110.0,-113.0,-113.0,-210.0,165.0,-115.0,-110.0
NBA,2025-11-08 01:32:37,2025-11-08 20:00,Atlanta Hawks,Los Angeles Lakers,No,1937.7,Yes,-113.0,-106.62,133.12,-158.25,-110.44,-109.44,East,Southeast,West,Pacific,-112.0,-108.0,130.0,-154.0,-110.0,-110.0,-115.0,-105.0,140.0,-166.0,-115.0,-105.0,-109.0,-103.0,134.0,-152.0,-107.0,-107.0,-113.0,-107.0,133.0,-153.0,-110.0,-110.0,-110.0,-110.0,130.0,-159.0,-110.0,-110.0,-115.0,-105.0,135.0,-160.0,-110.0,-110.0,,,135.0,-160.0,-110.0,-110.0,-115.0,-105.0,,,-110.0,-110.0,-115.0,-110.0,128.0,-162.0,-112.0,-113.0
NBA,2025-11-08 01:32:37,2025-11-08 20:00,San Antonio Spurs,New Orleans Pelicans,Yes,503.7,Yes,-111.89,-107.89,-587.5,421.88,-109.11,-111.0,West,Southwest,West,Southwest,-110.0,-110.0,-550.0,410.0,-106.0,-114.0,-108.0,-112.0,-575.0,425.0,-110.0,-110.0,-111.0,-101.0,-542.0,423.0,-102.0,-113.0,-115.0,-105.0,-550.0,415.0,-110.0,-110.0,-110.0,-110.0,-588.0,407.0,-110.0,-110.0,-115.0,-105.0,-625.0,430.0,-110.0,-110.0,-110.0,-110.0,-600.0,425.0,-115.0,-105.0,-115.0,-105.0,,,-105.0,-115.0,-113.0,-113.0,-670.0,440.0,-114.0,-112.0
NBA,2025-11-08 01:32:37,2025-11-08 20:10,Cleveland Cavaliers,Chicago Bulls,Yes,310.7,Yes,-51.14,-111.29,-337.57,268.14,-109.0,-111.14,East,Central,East,Central,-112.0,-108.0,-330.0,270.0,-112.0,-108.0,-115.0,-105.0,-310.0,250.0,-110.0,-110.0,104.0,-116.0,-345.0,285.0,-102.0,-113.0,100.0,-120.0,-350.0,280.0,-105.0,-115.0,-110.0,-110.0,-333.0,257.0,-110.0,-110.0,-115.0,-105.0,-350.0,275.0,-110.0,-110.0,,,,,,,,,,,,,-110.0,-115.0,-345.0,260.0,-114.0,-112.0
NBA,2025-11-08 01:32:37,2025-11-08 20:10,Miami Heat,Portland Trail Blazers,No,2707.3,Yes,-110.33,-109.33,121.83,-143.83,-111.67,-108.5,East,Southeast,West,Northwest,-112.0,-108.0,124.0,-146.0,-110.0,-110.0,,,,,,,-111.0,-101.0,122.0,-138.0,-113.0,-102.0,-115.0,-105.0,120.0,-140.0,-115.0,-105.0,-110.0,-110.0,112.0,-137.0,-110.0,-110.0,-105.0,-115.0,125.0,-145.0,-110.0,-110.0,,,,,,,,,,,,,-109.0,-117.0,128.0,-157.0,-112.0,-114.0
NBA,2025-11-08 01:32:37,2025-11-08 21:10,Denver Nuggets,Indiana Pacers,No,1002.0,Yes,-110.5,-109.17,-613.8,439.4,-110.83,-109.17,West,Northwest,East,Central,-114.0,-106.0,-590.0,430.0,-114.0,-106.0,,,,,,,-106.0,-106.0,-567.0,440.0,-107.0,-107.0,-110.0,-110.0,-575.0,431.0,-110.0,-110.0,-110.0,-110.0,-667.0,456.0,-110.0,-110.0,,,,,,,,,,,,,-110.0,-110.0,,,-110.0,-110.0,-113.0,-113.0,-670.0,440.0,-114.0,-112.0
NBA,2025-11-08 01:32:37,2025-11-08 22:30,Los Angeles Clippers,Phoenix Suns,Yes,362.6,Yes,-110.38,-109.38,-186.0,156.43,-110.12,-109.88,West,Pacific,West,Pacific,-112.0,-108.0,-188.0,158.0,-112.0,-108.0,-112.0,-108.0,-185.0,154.0,-110.0,-110.0,-106.0,-106.0,-180.0,158.0,-107.0,-107.0,-110.0,-110.0,-180.0,157.0,-110.0,-110.0,-110.0,-110.0,-189.0,153.0,-110.0,-110.0,-110.0,-110.0,-185.0,160.0,-110.0,-110.0,,,,,,,-110.0,-110.0,,,-110.0,-110.0,-113.0,-113.0,-195.0,155.0,-112.0,-114.0
NBA,2025-11-08 01:32:37,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-113.0,-113.0,-143.0,117.0,-113.0,-113.0
NBA,2025-11-08 01:32:37,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-114.0,-112.0,-195.0,150.0,-115.0,-110.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-114.0,-112.0,-195.0,150.0,-115.0,-110.0
NBA,2025-11-08 01:32:37,2025-12-25 22:30,Denver Nuggets,Minnesota Timberwolves,Yes,699.6,Yes,-117.0,-109.0,-220.0,175.0,-112.0,-114.0,West,Northwest,West,Northwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-117.0,-109.0,-220.0,175.0,-112.0,-114.0
