League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-08 20:57:13,2025-11-08 19:12,Washington Wizards,Dallas Mavericks,No,1185.0,Yes,-114.17,-117.33,-270.83,196.67,-114.6,-119.4,East,Southeast,West,Southwest,-105.0,-125.0,-270.0,200.0,-115.0,-115.0,-105.0,-125.0,-200.0,150.0,-111.0,-125.0,-110.0,-120.0,-390.0,265.0,-110.0,-122.0,-120.0,-122.0,-240.0,170.0,-117.0,-125.0,-120.0,-110.0,-300.0,220.0,-120.0,-110.0,-125.0,-102.0,-225.0,175.0,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-08 20:57:13,2025-11-08 19:42,Philadelphia 76ers,Toronto Raptors,Yes,337.5,Yes,-118.5,-113.33,-352.17,251.67,-116.33,-114.17,East,Atlantic,East,Atlantic,-115.0,-115.0,-345.0,250.0,-110.0,-120.0,-118.0,-111.0,-333.0,245.0,-118.0,-105.0,-130.0,-102.0,-360.0,260.0,-122.0,-108.0,-115.0,-127.0,-400.0,265.0,-120.0,-122.0,-115.0,-115.0,-350.0,250.0,-110.0,-120.0,-118.0,-110.0,-325.0,240.0,-118.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-08 20:57:13,2025-11-08 20:10,Atlanta Hawks,Los Angeles Lakers,No,1937.7,Yes,-116.5,-113.83,-213.17,160.5,-116.83,-114.0,East,Southeast,West,Pacific,-125.0,-105.0,-220.0,170.0,-115.0,-115.0,-118.0,-105.0,-222.0,165.0,-118.0,-105.0,-104.0,-128.0,-192.0,148.0,-118.0,-112.0,-122.0,-120.0,-215.0,150.0,-120.0,-122.0,-115.0,-115.0,-210.0,160.0,-115.0,-115.0,-115.0,-110.0,-220.0,170.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-08 20:57:13,2025-11-08 20:10,San Antonio Spurs,New Orleans Pelicans,Yes,503.7,Yes,-114.83,-117.0,-4106.6,1115.0,-114.33,-115.83,West,Southwest,West,Southwest,-115.0,-115.0,-3200.0,1300.0,-110.0,-120.0,-111.0,-118.0,-3333.0,1075.0,-105.0,-118.0,-112.0,-118.0,-4000.0,1100.0,-114.0,-114.0,-121.0,-121.0,-5000.0,1000.0,-124.0,-118.0,-115.0,-115.0,,,-115.0,-115.0,-115.0,-115.0,-5000.0,1100.0,-118.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-08 20:57:13,2025-11-08 20:11,Cleveland Cavaliers,Chicago Bulls,Yes,310.7,Yes,-111.83,-118.0,-156.5,121.17,-117.0,-114.5,East,Central,East,Central,-110.0,-120.0,-140.0,110.0,-120.0,-110.0,-111.0,-111.0,-167.0,135.0,-111.0,-118.0,-112.0,-118.0,-150.0,118.0,-112.0,-118.0,-118.0,-124.0,-157.0,114.0,-121.0,-121.0,-110.0,-120.0,-170.0,130.0,-120.0,-110.0,-110.0,-115.0,-155.0,120.0,-118.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-08 20:57:13,2025-11-08 20:12,Miami Heat,Portland Trail Blazers,No,2707.3,Yes,-117.0,-113.83,-177.83,138.17,-112.67,-117.5,East,Southeast,West,Northwest,-110.0,-120.0,-166.0,130.0,-110.0,-120.0,-118.0,-105.0,-133.0,110.0,-105.0,-118.0,-112.0,-118.0,-205.0,158.0,-118.0,-112.0,-117.0,-125.0,-143.0,106.0,-118.0,-122.0,-120.0,-110.0,-185.0,140.0,-115.0,-115.0,-125.0,-105.0,-235.0,185.0,-110.0,-118.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-08 20:57:13,2025-11-08 21:10,Denver Nuggets,Indiana Pacers,No,1002.0,Yes,-86.56,-88.78,-431.67,331.22,-109.67,-110.44,West,Northwest,East,Central,100.0,-120.0,-440.0,340.0,-108.0,-112.0,-110.0,-110.0,-435.0,325.0,-110.0,-110.0,-106.0,-114.0,-400.0,310.0,-114.0,-106.0,-112.0,-114.0,-400.0,300.0,-113.0,-113.0,-120.0,100.0,-450.0,335.0,-110.0,-110.0,-105.0,-115.0,-475.0,350.0,-115.0,-105.0,-110.0,-110.0,-420.0,330.0,-105.0,-115.0,-106.0,-106.0,-415.0,336.0,-102.0,-113.0,-110.0,-110.0,-450.0,355.0,-110.0,-110.0
NBA,2025-11-08 20:57:13,2025-11-08 22:30,Los Angeles Clippers,Phoenix Suns,Yes,362.6,Yes,-110.12,-109.38,-183.86,153.57,-111.67,-108.44,West,Pacific,West,Pacific,-110.0,-110.0,-192.0,160.0,-105.0,-115.0,-110.0,-110.0,-161.0,131.0,-110.0,-110.0,-110.0,-110.0,-188.0,158.0,-110.0,-110.0,-110.0,-114.0,-186.0,148.0,-112.0,-114.0,,,,,-115.0,-105.0,-110.0,-110.0,-190.0,155.0,-115.0,-105.0,-115.0,-105.0,-185.0,161.0,-115.0,-105.0,-111.0,-101.0,-185.0,162.0,-113.0,-102.0,-105.0,-115.0,,,-110.0,-110.0
NBA,2025-11-08 20:57:13,2025-11-09 15:30,Milwaukee Bucks,Houston Rockets,No,1005.2,No,-109.29,-109.57,136.4,-163.2,-108.86,-110.29,East,Central,West,Southwest,-115.0,-105.0,136.0,-162.0,-110.0,-110.0,-110.0,-110.0,132.0,-161.0,-110.0,-110.0,-110.0,-110.0,134.0,-158.0,-110.0,-110.0,,,,,,,-110.0,-110.0,145.0,-170.0,-110.0,-110.0,-110.0,-110.0,135.0,-165.0,-105.0,-115.0,-107.0,-113.0,,,-110.0,-110.0,-103.0,-109.0,,,-107.0,-107.0,,,,,,
NBA,2025-11-08 20:57:13,2025-11-09 18:00,New York Knicks,Brooklyn Nets,Yes,4.8,No,-109.43,-109.43,-1192.2,718.8,-110.29,-108.86,East,Atlantic,East,Atlantic,-110.0,-110.0,-1050.0,675.0,-110.0,-110.0,-110.0,-110.0,-1111.0,669.0,-110.0,-110.0,-110.0,-110.0,-1200.0,750.0,-110.0,-110.0,,,,,,,-110.0,-110.0,-1200.0,700.0,-110.0,-110.0,-110.0,-110.0,-1400.0,800.0,-115.0,-105.0,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,,,,,,
