League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-09 16:19:22,2025-11-09 15:40,Milwaukee Bucks,Houston Rockets,No,1005.2,No,-116.33,-115.5,-182.17,138.17,-113.83,-117.83,East,Central,West,Southwest,-105.0,-125.0,-166.0,130.0,-120.0,-110.0,-118.0,-111.0,-154.0,120.0,-105.0,-125.0,-122.0,-108.0,-188.0,146.0,-110.0,-120.0,-120.0,-110.0,-185.0,140.0,-120.0,-110.0,-115.0,-115.0,-190.0,145.0,-110.0,-118.0,-118,-124,-210,148,-118,-124,,,,,,,,,,,,,,,,,,
NBA,2025-11-09 16:19:22,2025-11-09 18:00,New York Knicks,Brooklyn Nets,Yes,4.8,No,-110.89,-108.89,-1259.56,756.33,-110.0,-110.0,East,Atlantic,East,Atlantic,-115.0,-105.0,-1200.0,750.0,-105.0,-115.0,-110.0,-110.0,-1262.0,737.0,-110.0,-110.0,-114.0,-106.0,-1350.0,810.0,-114.0,-106.0,-105.0,-115.0,-1300.0,725.0,-110.0,-110.0,-115.0,-105.0,-1400.0,800.0,-110.0,-110.0,-113,-113,-1250,700,-114,-112,-106.0,-106.0,-1174.0,781.0,-107.0,-107.0,-110.0,-110.0,-1200.0,754.0,-110.0,-110.0,-110.0,-110.0,-1200.0,750.0,-110.0,-110.0
NBA,2025-11-09 16:19:22,2025-11-09 18:10,Orlando Magic,Boston Celtics,No,1115.0,No,-112.67,-107.11,-160.22,135.44,-110.11,-109.78,East,Southeast,East,Atlantic,-112.0,-108.0,-155.0,130.0,-112.0,-108.0,-110.0,-110.0,-167.0,135.0,-110.0,-110.0,-112.0,-108.0,-158.0,134.0,-115.0,-105.0,-115.0,-105.0,-165.0,140.0,-110.0,-110.0,-110.0,-110.0,-160.0,135.0,-105.0,-115.0,-114,-112,-162,130,-112,-113,-111.0,-101.0,-160.0,141.0,-107.0,-107.0,-115.0,-105.0,-160.0,140.0,-110.0,-110.0,-115.0,-105.0,-155.0,134.0,-110.0,-110.0
NBA,2025-11-09 16:19:22,2025-11-09 18:10,Memphis Grizzlies,Oklahoma City Thunder,No,422.4,No,-109.0,-110.67,386.44,-520.44,-109.0,-111.11,West,Southwest,West,Northwest,-108.0,-112.0,390.0,-520.0,-110.0,-110.0,-110.0,-110.0,380.0,-526.0,-110.0,-110.0,-112.0,-108.0,370.0,-480.0,-110.0,-110.0,-110.0,-110.0,375.0,-525.0,-110.0,-110.0,-110.0,-110.0,400.0,-550.0,-110.0,-110.0,-115,-110,380,-560,-114,-112,-101.0,-111.0,398.0,-503.0,-102.0,-113.0,-105.0,-115.0,390.0,-510.0,-105.0,-115.0,-110.0,-110.0,395.0,-510.0,-110.0,-110.0
NBA,2025-11-09 16:19:22,2025-11-09 19:30,Philadelphia 76ers,Detroit Pistons,No,444.3,Yes,-110.78,-109.0,149.78,-178.56,-109.89,-110.11,East,Atlantic,East,Central,-110.0,-110.0,150.0,-180.0,-112.0,-108.0,-110.0,-110.0,145.0,-179.0,-110.0,-110.0,-114.0,-106.0,148.0,-178.0,-108.0,-112.0,-110.0,-110.0,150.0,-175.0,-110.0,-110.0,-110.0,-110.0,150.0,-185.0,-110.0,-110.0,-113,-113,148,-186,-112,-114,-108.0,-104.0,156.0,-177.0,-107.0,-107.0,-112.0,-108.0,155.0,-177.0,-110.0,-110.0,-110.0,-110.0,146.0,-170.0,-110.0,-110.0
NBA,2025-11-09 16:19:22,2025-11-09 20:40,Golden State Warriors,Indiana Pacers,No,1948.2,Yes,-110.88,-108.75,-891.5,590.75,-110.5,-109.5,West,Pacific,East,Central,-108.0,-112.0,-900.0,600.0,-108.0,-112.0,-110.0,-110.0,-714.0,467.0,-110.0,-110.0,-110.0,-110.0,-1100.0,700.0,-112.0,-108.0,-115.0,-105.0,-800.0,525.0,-110.0,-110.0,-105.0,-115.0,-1000.0,650.0,-115.0,-105.0,-113,-112,-835,540,-112,-114,-111.0,-101.0,-883.0,631.0,-107.0,-107.0,-115.0,-105.0,-900.0,613.0,-110.0,-110.0,,,,,,
NBA,2025-11-09 16:19:22,2025-11-09 21:10,Sacramento Kings,Minnesota Timberwolves,No,1514.6,Yes,-112.0,-107.78,179.67,-216.56,-110.33,-109.56,West,Pacific,West,Northwest,-115.0,-105.0,180.0,-218.0,-108.0,-112.0,-110.0,-110.0,176.0,-217.0,-110.0,-110.0,-112.0,-108.0,190.0,-225.0,-112.0,-108.0,-115.0,-105.0,180.0,-220.0,-110.0,-110.0,-110.0,-110.0,180.0,-220.0,-110.0,-110.0,-114,-112,180,-235,-112,-113,-109.0,-103.0,179.0,-204.0,-109.0,-105.0,-113.0,-107.0,177.0,-205.0,-112.0,-108.0,-110.0,-110.0,175.0,-205.0,-110.0,-110.0
NBA,2025-11-09 16:19:22,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-113,-113,-143,117,-113,-113,,,,,,,,,,,,,,,,,,
NBA,2025-11-09 16:19:22,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-114.0,-112.0,-195.0,150.0,-115.0,-110.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-114,-112,-195,150,-115,-110,,,,,,,,,,,,,,,,,,
NBA,2025-11-09 16:19:22,2025-12-25 22:30,Denver Nuggets,Minnesota Timberwolves,Yes,699.6,Yes,-117.0,-109.0,-220.0,175.0,-112.0,-114.0,West,Northwest,West,Northwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-117,-109,-220,175,-112,-114,,,,,,,,,,,,,,,,,,
