League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-09 20:58:41,2025-11-09 19:41,Philadelphia 76ers,Detroit Pistons,No,444.3,Yes,-115.83,-114.83,-239.5,179.5,-116.17,-115.0,East,Atlantic,East,Central,-120.0,-110.0,-260.0,195.0,-120.0,-110.0,-102.0,-130.0,-240.0,182.0,-106.0,-122.0,-120.0,-110.0,-230.0,175.0,-120.0,-110.0,-111.0,-111.0,-222.0,165.0,-111.0,-118.0,-124.0,-118.0,-250.0,180.0,-122.0,-120.0,-118.0,-110.0,-235.0,180.0,-118.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-09 20:58:41,2025-11-09 20:43,Golden State Warriors,Indiana Pacers,No,1948.2,Yes,-118.5,-113.0,-1165.67,608.33,-116.67,-114.83,West,Pacific,East,Central,-115.0,-115.0,-950.0,575.0,-115.0,-115.0,-118.0,-112.0,-1100.0,600.0,-120.0,-110.0,-120.0,-110.0,-1400.0,700.0,-115.0,-115.0,-118.0,-111.0,-1429.0,675.0,-111.0,-118.0,-122.0,-120.0,-1115.0,525.0,-121.0,-121.0,-118.0,-110.0,-1000.0,575.0,-118.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-09 20:58:41,2025-11-09 21:10,Sacramento Kings,Minnesota Timberwolves,No,1514.6,Yes,-106.44,-113.11,161.89,-194.0,-111.11,-108.78,West,Pacific,West,Northwest,-105.0,-115.0,160.0,-192.0,-115.0,-105.0,-108.0,-112.0,166.0,-198.0,-114.0,-106.0,-110.0,-110.0,165.0,-195.0,-110.0,-110.0,-110.0,-110.0,158.0,-196.0,-110.0,-110.0,-109.0,-115.0,160.0,-205.0,-110.0,-115.0,-105.0,-115.0,154.0,-190.0,-110.0,-110.0,-101.0,-111.0,166.0,-190.0,-109.0,-105.0,-105.0,-115.0,165.0,-190.0,-112.0,-108.0,-105.0,-115.0,163.0,-190.0,-110.0,-110.0
NBA,2025-11-09 20:58:41,2025-11-10 19:00,Detroit Pistons,Washington Wizards,No,396.2,Yes,-110.67,-109.33,-893.0,594.33,-110.0,-110.0,East,Central,East,Southeast,-110.0,-110.0,-950.0,625.0,-110.0,-110.0,-112.0,-108.0,-820.0,570.0,-110.0,-110.0,,,,,,,-110.0,-110.0,-909.0,588.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-09 20:58:41,2025-11-10 19:10,Charlotte Hornets,Los Angeles Lakers,No,2121.4,Yes,-112.33,-107.67,233.0,-290.33,-110.0,-110.0,East,Southeast,West,Pacific,-115.0,-105.0,235.0,-290.0,-110.0,-110.0,-112.0,-108.0,240.0,-295.0,-110.0,-110.0,,,,,,,-110.0,-110.0,224.0,-286.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-09 20:58:41,2025-11-10 19:10,Orlando Magic,Portland Trail Blazers,No,2528.5,Yes,-112.33,-107.67,-142.33,118.33,-109.33,-110.67,East,Southeast,West,Northwest,-115.0,-105.0,-148.0,124.0,-110.0,-110.0,-112.0,-108.0,-134.0,114.0,-108.0,-112.0,,,,,,,-110.0,-110.0,-145.0,117.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-09 20:58:41,2025-11-10 19:30,Miami Heat,Cleveland Cavaliers,No,1086.5,Yes,-110.2,-108.2,223.33,-271.67,-109.4,-109.4,East,Southeast,East,Central,-110.0,-110.0,215.0,-265.0,-110.0,-110.0,-110.0,-110.0,215.0,-260.0,-110.0,-110.0,-105.0,-115.0,240.0,-290.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,-111.0,-101.0,,,-107.0,-107.0,-115.0,-105.0,,,-110.0,-110.0,,,,,,
NBA,2025-11-09 20:58:41,2025-11-10 20:10,Chicago Bulls,San Antonio Spurs,No,1048.8,Yes,-108.67,-110.0,138.0,-164.75,-109.5,-109.5,East,Central,West,Southwest,-110.0,-110.0,136.0,-162.0,-110.0,-110.0,-110.0,-110.0,142.0,-168.0,-110.0,-110.0,-110.0,-110.0,145.0,-170.0,-110.0,-110.0,-110.0,-110.0,129.0,-159.0,-110.0,-110.0,,,,,,,,,,,,,-104.0,-108.0,,,-107.0,-107.0,-108.0,-112.0,,,-110.0,-110.0,,,,,,
NBA,2025-11-09 20:58:41,2025-11-10 20:30,Dallas Mavericks,Milwaukee Bucks,No,856.9,Yes,-109.33,-110.67,147.0,-178.0,-110.0,-110.0,West,Southwest,East,Central,-110.0,-110.0,164.0,-198.0,-110.0,-110.0,-108.0,-112.0,122.0,-144.0,-110.0,-110.0,,,,,,,-110.0,-110.0,155.0,-192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-09 20:58:41,2025-11-10 21:00,Utah Jazz,Minnesota Timberwolves,Yes,986.7,Yes,-109.0,-109.0,260.0,-325.0,-109.25,-109.25,West,Northwest,West,Northwest,-110.0,-110.0,285.0,-360.0,-110.0,-110.0,-110.0,-110.0,235.0,-290.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,-106.0,-106.0,,,-107.0,-107.0,-110.0,-110.0,,,-110.0,-110.0,,,,,,
