League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-10 10:27:12,2025-11-10 19:00,Detroit Pistons,Washington Wizards,No,396.2,Yes,-110.89,-108.67,-640.44,459.22,-109.44,-110.56,East,Central,East,Southeast,-112.0,-108.0,-650.0,470.0,-105.0,-115.0,-109.0,-103.0,-640.0,487.0,-105.0,-109.0,-113.0,-107.0,-650.0,476.0,-108.0,-112.0,-110.0,-110.0,-714.0,470.0,-110.0,-110.0,-110.0,-110.0,-650.0,475.0,-110.0,-110.0,-110.0,-110.0,-620.0,460.0,-114.0,-106.0,-114,-110,-590,400,-113,-113,-110.0,-110.0,-625.0,430.0,-110.0,-110.0,-110.0,-110.0,-625.0,465.0,-110.0,-110.0
NBA,2025-11-10 10:27:12,2025-11-10 19:10,Charlotte Hornets,Los Angeles Lakers,No,2121.4,Yes,-110.33,-109.56,256.0,-320.0,-110.56,-109.44,East,Southeast,West,Pacific,-118.0,-102.0,260.0,-325.0,-110.0,-110.0,-106.0,-106.0,260.0,-312.0,-109.0,-105.0,-110.0,-110.0,256.0,-315.0,-112.0,-108.0,-110.0,-110.0,255.0,-333.0,-110.0,-110.0,-115.0,-105.0,260.0,-325.0,-110.0,-110.0,-104.0,-118.0,265.0,-330.0,-112.0,-108.0,-110,-115,230,-305,-112,-114,-110.0,-110.0,260.0,-320.0,-110.0,-110.0,-110.0,-110.0,258.0,-315.0,-110.0,-110.0
NBA,2025-11-10 10:27:12,2025-11-10 19:10,Orlando Magic,Portland Trail Blazers,No,2528.5,Yes,-83.44,-113.89,-133.44,111.78,-111.44,-108.56,East,Southeast,West,Northwest,-105.0,-115.0,-135.0,114.0,-115.0,-105.0,102.0,-114.0,-128.0,112.0,-107.0,-107.0,-102.0,-118.0,-130.0,110.0,-110.0,-110.0,-110.0,-110.0,-139.0,113.0,-110.0,-110.0,-105.0,-115.0,-135.0,110.0,-110.0,-110.0,-106.0,-114.0,-132.0,112.0,-112.0,-108.0,-110,-114,-137,110,-114,-112,-105.0,-115.0,-135.0,115.0,-115.0,-105.0,-110.0,-110.0,-130.0,110.0,-110.0,-110.0
NBA,2025-11-10 10:27:12,2025-11-10 19:30,Miami Heat,Cleveland Cavaliers,No,1086.5,Yes,-107.67,-112.0,236.78,-292.56,-107.56,-112.56,East,Southeast,East,Central,-105.0,-115.0,240.0,-298.0,-105.0,-115.0,-101.0,-111.0,241.0,-287.0,-102.0,-113.0,-105.0,-115.0,237.0,-290.0,-105.0,-115.0,-110.0,-110.0,238.0,-303.0,-110.0,-110.0,-110.0,-110.0,225.0,-285.0,-105.0,-115.0,-108.0,-112.0,240.0,-295.0,-108.0,-112.0,-110,-115,230,-295,-113,-113,-110.0,-110.0,240.0,-290.0,-110.0,-110.0,-110.0,-110.0,240.0,-290.0,-110.0,-110.0
NBA,2025-11-10 10:27:12,2025-11-10 20:10,Chicago Bulls,San Antonio Spurs,No,1048.8,Yes,-109.89,-109.89,136.89,-163.22,-110.56,-109.56,East,Central,West,Southwest,-110.0,-110.0,140.0,-166.0,-105.0,-115.0,-104.0,-108.0,139.0,-158.0,-113.0,-102.0,-108.0,-112.0,138.0,-158.0,-115.0,-105.0,-110.0,-110.0,137.0,-171.0,-110.0,-110.0,-110.0,-110.0,135.0,-165.0,-110.0,-110.0,-110.0,-110.0,140.0,-166.0,-110.0,-110.0,-112,-114,130,-165,-112,-114,-115.0,-105.0,135.0,-160.0,-110.0,-110.0,-110.0,-110.0,138.0,-160.0,-110.0,-110.0
NBA,2025-11-10 10:27:12,2025-11-10 20:30,Dallas Mavericks,Milwaukee Bucks,No,856.9,Yes,-110.89,-108.89,107.89,-129.0,-109.44,-110.56,West,Southwest,East,Central,-115.0,-105.0,110.0,-130.0,-110.0,-110.0,-104.0,-108.0,109.0,-125.0,-107.0,-107.0,-108.0,-112.0,107.0,-127.0,-110.0,-110.0,-110.0,-110.0,106.0,-130.0,-110.0,-110.0,-115.0,-105.0,110.0,-135.0,-105.0,-115.0,-112.0,-108.0,110.0,-130.0,-110.0,-110.0,-114,-112,104,-129,-113,-113,-110.0,-110.0,110.0,-130.0,-110.0,-110.0,-110.0,-110.0,105.0,-125.0,-110.0,-110.0
NBA,2025-11-10 10:27:12,2025-11-10 21:00,Utah Jazz,Minnesota Timberwolves,Yes,986.7,Yes,-110.67,-109.11,244.22,-302.78,-110.89,-109.22,West,Northwest,West,Northwest,-112.0,-108.0,245.0,-305.0,-108.0,-112.0,-111.0,-101.0,245.0,-292.0,-113.0,-102.0,-115.0,-105.0,241.0,-295.0,-115.0,-105.0,-110.0,-110.0,242.0,-313.0,-110.0,-110.0,-110.0,-110.0,240.0,-300.0,-110.0,-110.0,-110.0,-110.0,260.0,-320.0,-110.0,-110.0,-113,-113,230,-305,-112,-114,-105.0,-115.0,250.0,-300.0,-110.0,-110.0,-110.0,-110.0,245.0,-295.0,-110.0,-110.0
NBA,2025-11-10 10:27:12,2025-11-10 21:10,Phoenix Suns,New Orleans Pelicans,No,1315.0,Yes,-109.0,-110.67,-350.33,276.22,-110.78,-109.22,West,Pacific,West,Southwest,-105.0,-115.0,-345.0,275.0,-112.0,-108.0,-101.0,-111.0,-336.0,278.0,-107.0,-107.0,-105.0,-115.0,-340.0,274.0,-110.0,-110.0,-110.0,-110.0,-357.0,269.0,-110.0,-110.0,-110.0,-110.0,-350.0,280.0,-110.0,-110.0,-110.0,-110.0,-355.0,285.0,-114.0,-106.0,-115,-110,-360,265,-114,-112,-115.0,-105.0,-370.0,285.0,-110.0,-110.0,-110.0,-110.0,-340.0,275.0,-110.0,-110.0
NBA,2025-11-10 10:27:12,2025-11-10 22:30,Los Angeles Clippers,Atlanta Hawks,No,1943.0,Yes,-111.11,-108.67,-186.89,156.67,-109.44,-110.33,West,Pacific,East,Southeast,-112.0,-108.0,-185.0,154.0,-108.0,-112.0,-104.0,-108.0,-180.0,158.0,-107.0,-107.0,-108.0,-112.0,-180.0,157.0,-110.0,-110.0,-110.0,-110.0,-192.0,155.0,-110.0,-110.0,-118.0,-102.0,-190.0,155.0,-110.0,-110.0,-110.0,-110.0,-198.0,166.0,-110.0,-110.0,-113,-113,-182,145,-110,-114,-115.0,-105.0,-195.0,165.0,-110.0,-110.0,-110.0,-110.0,-180.0,155.0,-110.0,-110.0
NBA,2025-11-10 10:27:12,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-113,-113,-143,117,-113,-113,,,,,,,,,,,,
