League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-10 22:48:13,2025-11-10 19:43,Miami Heat,Cleveland Cavaliers,No,1086.5,Yes,,,-1241.67,596.67,,,East,Southeast,East,Central,,,-1450.0,750.0,,,,,-2000.0,830.0,,,,,-275.0,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-11-10 22:48:13,2025-11-10 20:40,Dallas Mavericks,Milwaukee Bucks,No,856.9,Yes,-119.83,-78.83,98.5,-159.17,-116.17,-116.17,West,Southwest,East,Central,-105.0,-125.0,310.0,-445.0,-110.0,-120.0,-118.0,-112.0,116.0,-148.0,-130.0,-102.0,-130.0,100.0,140.0,-180.0,-105.0,-125.0,-125.0,-105.0,-250.0,185.0,-125.0,-105.0,-120.0,-110.0,140.0,-185.0,-110.0,-120.0,-121.0,-121.0,135.0,-182.0,-117.0,-125.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-10 22:48:13,2025-11-10 21:11,Phoenix Suns,New Orleans Pelicans,No,1315.0,Yes,-113.33,-118.5,-10000.0,3300.0,-113.67,-117.83,West,Pacific,West,Southwest,-120.0,-110.0,,,-115.0,-115.0,-102.0,-130.0,,,-114.0,-114.0,-110.0,-118.0,-10000.0,3300.0,-105.0,-125.0,-118.0,-111.0,,,-118.0,-111.0,-110.0,-120.0,,,-110.0,-120.0,-120.0,-122.0,,,-120.0,-122.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-10 22:48:13,2025-11-10 21:11,Utah Jazz,Minnesota Timberwolves,Yes,986.7,Yes,-118.0,-114.5,1375.0,-5575.0,-119.83,-111.67,West,Northwest,West,Northwest,-120.0,-110.0,1400.0,-3500.0,-125.0,-105.0,-130.0,-102.0,1400.0,-6000.0,-118.0,-112.0,-115.0,-110.0,1600.0,-10000.0,-118.0,-110.0,-111.0,-125.0,,,-118.0,-111.0,-115.0,-115.0,1100.0,-2800.0,-120.0,-110.0,-117.0,-125.0,,,-120.0,-122.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-10 22:48:13,2025-11-10 22:41,Los Angeles Clippers,Atlanta Hawks,No,1943.0,Yes,-88.25,-113.38,-278.12,209.38,-112.62,-113.75,West,Pacific,East,Southeast,-125.0,-105.0,-360.0,260.0,-115.0,-115.0,106.0,-140.0,-340.0,250.0,-114.0,-114.0,-110.0,-115.0,-300.0,225.0,-110.0,-118.0,,,,,,,-115.0,-115.0,-325.0,230.0,-115.0,-115.0,-120.0,-122.0,-335.0,220.0,-120.0,-121.0,-110.0,-102.0,-190.0,166.0,-107.0,-107.0,-117.0,-103.0,-190.0,165.0,-110.0,-110.0,-115.0,-105.0,-185.0,159.0,-110.0,-110.0
NBA,2025-11-10 22:48:13,2025-11-11 19:30,Brooklyn Nets,Toronto Raptors,Yes,344.5,Yes,-109.56,-110.22,329.67,-428.33,-109.89,-110.11,East,Atlantic,East,Atlantic,-110.0,-110.0,340.0,-440.0,-110.0,-110.0,-106.0,-114.0,350.0,-450.0,-110.0,-110.0,-110.0,-110.0,340.0,-450.0,-110.0,-110.0,-110.0,-110.0,340.0,-455.0,-110.0,-110.0,-115.0,-105.0,320.0,-430.0,-110.0,-110.0,-109.0,-117.0,320.0,-435.0,-112.0,-114.0,-106.0,-106.0,321.0,-395.0,-107.0,-107.0,-110.0,-110.0,316.0,-400.0,-110.0,-110.0,-110.0,-110.0,320.0,-400.0,-110.0,-110.0
NBA,2025-11-10 22:48:13,2025-11-11 19:30,New York Knicks,Memphis Grizzlies,No,956.7,Yes,-109.89,-109.89,-421.67,324.33,-110.33,-109.67,East,Atlantic,West,Southwest,-110.0,-110.0,-440.0,340.0,-110.0,-110.0,-106.0,-114.0,-405.0,320.0,-114.0,-106.0,-110.0,-110.0,-450.0,333.0,-110.0,-110.0,-110.0,-110.0,-435.0,324.0,-110.0,-110.0,-115.0,-105.0,-415.0,310.0,-110.0,-110.0,-112.0,-114.0,-455.0,335.0,-112.0,-114.0,-106.0,-106.0,-395.0,321.0,-107.0,-107.0,-110.0,-110.0,-400.0,316.0,-110.0,-110.0,-110.0,-110.0,-400.0,320.0,-110.0,-110.0
NBA,2025-11-10 22:48:13,2025-11-11 20:00,Philadelphia 76ers,Boston Celtics,Yes,273.6,Yes,-110.44,-109.11,-132.56,111.11,-110.11,-109.78,East,Atlantic,East,Atlantic,-110.0,-110.0,-148.0,124.0,-110.0,-110.0,-114.0,-106.0,-132.0,112.0,-106.0,-114.0,-110.0,-110.0,-140.0,115.0,-115.0,-105.0,-110.0,-110.0,-135.0,110.0,-110.0,-110.0,-110.0,-110.0,-125.0,105.0,-110.0,-110.0,-114.0,-110.0,-125.0,102.0,-113.0,-112.0,-106.0,-106.0,-128.0,112.0,-107.0,-107.0,-110.0,-110.0,-130.0,110.0,-110.0,-110.0,-110.0,-110.0,-130.0,110.0,-110.0,-110.0
NBA,2025-11-10 22:48:13,2025-11-11 20:00,Oklahoma City Thunder,Golden State Warriors,No,1387.6,Yes,-110.22,-109.56,-310.56,250.44,-110.0,-110.0,West,Northwest,West,Pacific,-110.0,-110.0,-310.0,250.0,-110.0,-110.0,-112.0,-108.0,-320.0,260.0,-110.0,-110.0,-115.0,-105.0,-300.0,240.0,-110.0,-110.0,-110.0,-110.0,-313.0,243.0,-110.0,-110.0,-105.0,-115.0,-320.0,260.0,-110.0,-110.0,-114.0,-112.0,-305.0,235.0,-113.0,-113.0,-106.0,-106.0,-312.0,260.0,-107.0,-107.0,-110.0,-110.0,-315.0,256.0,-110.0,-110.0,-110.0,-110.0,-300.0,250.0,-110.0,-110.0
NBA,2025-11-10 22:48:13,2025-11-11 21:00,Utah Jazz,Indiana Pacers,No,1357.7,Yes,-110.0,-111.0,-21.2,-119.6,-111.2,-110.0,West,Northwest,East,Central,-110.0,-110.0,102.0,-122.0,-110.0,-110.0,-110.0,-110.0,-102.0,-116.0,-114.0,-106.0,-110.0,-110.0,100.0,-120.0,-110.0,-110.0,-110.0,-110.0,-101.0,-120.0,-110.0,-110.0,,,,,,,-110.0,-115.0,-105.0,-120.0,-112.0,-114.0,,,,,,,,,,,,,,,,,,
